X,Y
0,1
0.0078125,0.83776
0.015625,0.60605
0.023438,0.4766
0.03125,0.36009
0.039062,0.25473
0.046875,0.17351
0.054688,0.11597
0.0625,0.074247
0.070312,0.042791
0.078125,0.02067
0.085938,0.0056007
0.09375,-0.0049645
0.10156,-0.012648
0.10938,-0.01923
0.11719,-0.025149
0.125,-0.028246
0.13281,-0.028077
0.14062,-0.027111
0.14844,-0.024633
0.15625,-0.01752
0.16406,-0.0066447
0.17188,0.00637
0.17969,0.021192
0.1875,0.036746
0.19531,0.050034
0.20312,0.056837
0.21094,0.057257
0.21875,0.054678
0.22656,0.049557
0.23438,0.038455
0.24219,0.02193
0.25,0.0057256
0.25781,-0.0062912
0.26562,-0.013023
0.27344,-0.0173
0.28125,-0.021493
0.28906,-0.022402
0.29688,-0.014066
0.30469,-0.00057123
0.3125,0.008817
0.32031,0.016022
0.32812,0.020936
0.33594,0.02231
0.34375,0.023078
0.35156,0.020958
0.35938,0.017216
0.36719,0.020125
0.375,0.026733
0.38281,0.029423
0.39062,0.037085
0.39844,0.057008
0.40625,0.079582
0.41406,0.098706
0.42188,0.11681
0.42969,0.13324
0.4375,0.14712
0.44531,0.15724
0.45312,0.15459
0.46094,0.14135
0.46875,0.13261
0.47656,0.12594
0.48438,0.11828
0.49219,0.11399
0.5,0.10921
0.50781,0.10379
0.51562,0.10165
0.52344,0.10079
0.53125,0.099012
0.53906,0.096714
0.54688,0.095
0.55469,0.094344
0.5625,0.094497
0.57031,0.096786
0.57812,0.094571
0.58594,0.086403
0.59375,0.082821
0.60156,0.082878
0.60938,0.080117
0.61719,0.074199
0.625,0.069078
0.63281,0.06978
0.64062,0.073406
0.64844,0.075207
0.65625,0.077193
0.66406,0.079449
0.67188,0.083423
0.67969,0.094486
0.6875,0.11175
0.69531,0.12744
0.70312,0.13469
0.71094,0.13164
0.71875,0.12404
0.72656,0.11911
0.73438,0.11171
0.74219,0.10053
0.75,0.091475
0.75781,0.085544
0.76562,0.094069
0.77344,0.11773
0.78125,0.134
0.78906,0.13712
0.79688,0.13541
0.80469,0.12493
0.8125,0.10515
0.82031,0.086352
0.82812,0.071491
0.83594,0.061018
0.84375,0.052396
0.85156,0.043333
0.85938,0.036942
0.86719,0.032139
0.875,0.028774
0.88281,0.02871
0.89062,0.035531
0.89844,0.051077
0.90625,0.072454
0.91406,0.093215
0.92188,0.10276
0.92969,0.098274
0.9375,0.087521
0.94531,0.073393
0.95312,0.062042
0.96094,0.06194
0.96875,0.071073
0.97656,0.08169
0.98438,0.087832
0.99219,0.091256
1,0.091256
1.0078,0.087832
1.0156,0.08169
1.0234,0.071073
1.0312,0.06194
1.0391,0.062042
1.0469,0.073393
1.0547,0.087521
1.0625,0.098274
1.0703,0.10276
1.0781,0.093215
1.0859,0.072454
1.0938,0.051077
1.1016,0.035531
1.1094,0.02871
1.1172,0.028774
1.125,0.032139
1.1328,0.036942
1.1406,0.043333
1.1484,0.052396
1.1562,0.061018
1.1641,0.071491
1.1719,0.086352
1.1797,0.10515
1.1875,0.12493
1.1953,0.13541
1.2031,0.13712
1.2109,0.134
1.2188,0.11773
1.2266,0.094069
1.2344,0.085544
1.2422,0.091475
1.25,0.10053
1.2578,0.11171
1.2656,0.11911
1.2734,0.12404
1.2812,0.13164
1.2891,0.13469
1.2969,0.12744
1.3047,0.11175
1.3125,0.094486
1.3203,0.083423
1.3281,0.079449
1.3359,0.077193
1.3438,0.075207
1.3516,0.073406
1.3594,0.06978
1.3672,0.069078
1.375,0.074199
1.3828,0.080117
1.3906,0.082878
1.3984,0.082821
1.4062,0.086403
1.4141,0.094571
1.4219,0.096786
1.4297,0.094497
1.4375,0.094344
1.4453,0.095
1.4531,0.096714
1.4609,0.099012
1.4688,0.10079
1.4766,0.10165
1.4844,0.10379
1.4922,0.10921
1.5,0.11399
1.5078,0.11828
1.5156,0.12594
1.5234,0.13261
1.5312,0.14135
1.5391,0.15459
1.5469,0.15724
1.5547,0.14712
1.5625,0.13324
1.5703,0.11681
1.5781,0.098706
1.5859,0.079582
1.5938,0.057008
1.6016,0.037085
1.6094,0.029423
1.6172,0.026733
1.625,0.020125
1.6328,0.017216
1.6406,0.020958
1.6484,0.023078
1.6562,0.02231
1.6641,0.020936
1.6719,0.016022
1.6797,0.008817
1.6875,-0.00057123
1.6953,-0.014066
1.7031,-0.022402
1.7109,-0.021493
1.7188,-0.0173
1.7266,-0.013023
1.7344,-0.0062912
1.7422,0.0057256
1.75,0.02193
1.7578,0.038455
1.7656,0.049557
1.7734,0.054678
1.7812,0.057257
1.7891,0.056837
1.7969,0.050034
1.8047,0.036746
1.8125,0.021192
1.8203,0.00637
1.8281,-0.0066447
1.8359,-0.01752
1.8438,-0.024633
1.8516,-0.027111
1.8594,-0.028077
1.8672,-0.028246
1.875,-0.025149
1.8828,-0.01923
1.8906,-0.012648
1.8984,-0.0049645
1.9062,0.0056007
1.9141,0.02067
1.9219,0.042791
1.9297,0.074247
1.9375,0.11597
1.9453,0.17351
1.9531,0.25473
1.9609,0.36009
1.9688,0.4766
1.9766,0.60605
1.9844,0.83776
