X,Y
0.0006,0.001365
0.0018,0.00028
0.003,0.00025
0.0042,0.00027
0.0054,0.0003
0.0066,0.00039
0.0078,0.000475
0.009,0.000395
0.0102,0.00051
0.0114,0.000525
0.0126,0.0006
0.0138,0.00075
0.015,0.00082
0.0162,0.00085
0.0174,0.00107
0.0186,0.00106
0.0198,0.00133
0.021,0.001335
0.0222,0.0015
0.0234,0.001855
0.0246,0.0018
0.0258,0.00196
0.027,0.00243
0.0282,0.002575
0.0294,0.002805
0.0306,0.003065
0.0318,0.00322
0.033,0.003535
0.0342,0.004245
0.0354,0.004065
0.0366,0.004435
0.0378,0.004615
0.039,0.00533
0.0402,0.00558
0.0414,0.006435
0.0426,0.006425
0.0438,0.0067
0.045,0.007185
0.0462,0.007235
0.0474,0.008455
0.0486,0.00853
0.0498,0.008795
0.051,0.009635
0.0522,0.010355
0.0534,0.01054
0.0546,0.011195
0.0558,0.01183
0.057,0.0122
0.0582,0.012655
0.0594,0.013085
0.0606,0.01386
0.0618,0.013895
0.063,0.014355
0.0642,0.01473
0.0654,0.01556
0.0666,0.016095
0.0678,0.015785
0.069,0.0163
0.0702,0.01731
0.0714,0.01675
0.0726,0.017605
0.0738,0.017585
0.075,0.018395
0.0762,0.018075
0.0774,0.01798
0.0786,0.01855
0.0798,0.01825
0.081,0.018495
0.0822,0.01742
0.0834,0.01791
0.0846,0.01813
0.0858,0.017685
0.087,0.017395
0.0882,0.0174
0.0894,0.017215
0.0906,0.016865
0.0918,0.01715
0.093,0.016335
0.0942,0.01617
0.0954,0.01561
0.0966,0.01489
0.0978,0.01484
0.099,0.016055
0.1002,0.01775
0.1014,0.020255
0.1026,0.02482
0.1038,0.028205
0.105,0.03008
0.1062,0.03001
0.1074,0.026955
0.1086,0.021145
0.1098,0.014975
0.111,0.0093
0.1122,0.00494
0.1134,0.002595
0.1146,0.00096
0.1158,0.00036
0.117,0.0001
0.1182,4.5e-05
0.1194,1.5e-05
