X,Y
Inf,0.31277
0.8,0.31214
0.4,0.31023
0.26667,0.30697
0.2,0.30226
0.16,0.29593
0.13333,0.2878
0.11429,0.27765
0.1,0.26528
0.088889,0.25048
0.08,0.23316
0.072727,0.21342
0.066667,0.19171
0.061538,0.16894
0.057143,0.14656
0.053333,0.12638
0.05,0.10983
0.047059,0.097096
0.044444,0.087495
0.042105,0.080698
0.04,0.07664
0.038095,0.074501
0.036364,0.072356
0.034783,0.069521
0.033333,0.068302
0.032,0.068439
0.030769,0.068687
0.02963,0.068907
0.028571,0.069429
0.027586,0.070728
0.026667,0.07103
0.025806,0.069452
0.025,0.067694
0.024242,0.068723
0.023529,0.072959
0.022857,0.077223
0.022222,0.080203
0.021622,0.081083
0.021053,0.078627
0.020513,0.073405
0.02,0.068081
0.019512,0.064731
0.019048,0.063197
0.018605,0.063187
0.018182,0.064804
0.017778,0.066601
0.017391,0.06585
0.017021,0.062913
0.016667,0.060911
