X,Y
Inf,0.34529
1.9922,0.36349
0.99609,0.4073
0.66406,0.45563
0.49805,0.49356
0.39844,0.51629
0.33203,0.52386
0.2846,0.51846
0.24902,0.50746
0.22135,0.50349
0.19922,0.50948
0.18111,0.51257
0.16602,0.50059
0.15325,0.47652
0.1423,0.45395
0.13281,0.44632
0.12451,0.45804
0.11719,0.48176
0.11068,0.5036
0.10485,0.51458
0.099609,0.51707
0.094866,0.50875
0.090554,0.4767
0.086617,0.42133
0.083008,0.35465
0.079687,0.28491
0.076623,0.22109
0.073785,0.16894
0.07115,0.1279
0.068696,0.10962
0.066406,0.12659
0.064264,0.17206
0.062256,0.23074
0.060369,0.19008
0.058594,0.19217
0.05692,0.23669
0.055339,0.26311
0.053843,0.25976
0.052426,0.224
0.051082,0.21881
0.049805,0.27659
0.04859,0.29094
0.047433,0.23985
0.04633,0.23772
0.045277,0.25358
0.044271,0.22725
0.043308,0.23982
0.042387,0.24431
0.041504,0.23991
0.040657,0.26581
0.039844,0.26825
0.039062,0.25457
0.038311,0.23997
0.037588,0.24258
0.036892,0.22971
0.036222,0.22187
0.035575,0.22093
0.034951,0.20926
0.034348,0.19424
0.033766,0.20048
0.033203,0.22203
0.032659,0.23305
0.032132,0.23174
0.031622,0.22453
0.031128,0.21575
0.030649,0.21534
0.030185,0.21965
0.029734,0.21615
0.029297,0.2027
0.028872,0.19603
0.02846,0.20584
0.028059,0.22247
0.027669,0.2368
0.02729,0.2448
0.026921,0.24535
0.026562,0.2439
0.026213,0.24178
0.025873,0.24262
0.025541,0.23295
0.025218,0.22133
0.024902,0.22065
0.024595,0.22559
0.024295,0.22638
0.024002,0.22513
0.023717,0.22034
0.023438,0.21349
0.023165,0.21165
0.022899,0.21255
0.022638,0.21375
0.022384,0.21031
0.022135,0.20931
0.021892,0.21513
0.021654,0.22274
0.021421,0.22831
0.021193,0.22563
0.02097,0.21365
0.020752,0.19741
0.020538,0.18101
0.020328,0.1707
0.020123,0.17141
0.019922,0.17616
0.019725,0.18076
0.019531,0.18298
0.019342,0.18631
0.019156,0.19293
0.018973,0.19559
0.018794,0.19041
0.018619,0.18843
0.018446,0.19729
0.018277,0.19801
0.018111,0.1905
0.017948,0.18928
0.017787,0.19233
0.01763,0.1943
0.017475,0.19002
0.017323,0.18432
0.017174,0.17739
0.017027,0.16538
0.016883,0.15268
0.016741,0.14751
0.016602,0.14764
0.016464,0.14816
0.016329,0.14804
0.016197,0.14583
0.016066,0.14903
0.015938,0.16274
0.015811,0.18801
0.015687,0.21649
0.015564,0.22969
