X,Y
Inf,0.35139
0.8,0.35036
0.4,0.34724
0.26667,0.34201
0.2,0.3346
0.16,0.32493
0.13333,0.31287
0.11429,0.29833
0.1,0.28117
0.088889,0.26136
0.08,0.23895
0.072727,0.21426
0.066667,0.188
0.061538,0.1614
0.057143,0.13618
0.053333,0.11391
0.05,0.09518
0.047059,0.079744
0.044444,0.068446
0.042105,0.063584
0.04,0.064489
0.038095,0.067293
0.036364,0.069066
0.034783,0.068938
0.033333,0.067993
0.032,0.066999
0.030769,0.064431
0.02963,0.061862
0.028571,0.061384
0.027586,0.062665
0.026667,0.065002
0.025806,0.06817
0.025,0.070427
0.024242,0.070596
0.023529,0.06866
0.022857,0.064573
0.022222,0.063645
0.021622,0.065484
0.021053,0.066532
0.020513,0.067071
0.02,0.068018
0.019512,0.068949
0.019048,0.068026
0.018605,0.065103
0.018182,0.064639
0.017778,0.067003
0.017391,0.067534
0.017021,0.065875
0.016667,0.064299
