X,Y
Inf,0.26008
2.3906,0.27082
1.1953,0.30486
0.79688,0.35212
0.59766,0.4037
0.47813,0.46019
0.39844,0.51707
0.34152,0.56144
0.29883,0.58388
0.26562,0.58496
0.23906,0.57305
0.21733,0.56074
0.19922,0.55604
0.18389,0.56144
0.17076,0.5786
0.15937,0.60127
0.14941,0.61764
0.14062,0.62107
0.13281,0.61065
0.12582,0.59006
0.11953,0.56901
0.11384,0.56039
0.10866,0.56692
0.10394,0.57809
0.099609,0.58648
0.095625,0.58941
0.091947,0.58393
0.088542,0.56506
0.085379,0.52648
0.082435,0.46335
0.079687,0.37838
0.077117,0.28766
0.074707,0.21263
0.072443,0.1622
0.070312,0.13296
0.068304,0.12002
0.066406,0.12643
0.064611,0.18085
0.062911,0.17848
0.061298,0.1455
0.059766,0.12146
0.058308,0.11036
0.05692,0.10535
0.055596,0.13536
0.054332,0.14793
0.053125,0.14398
0.05197,0.15895
0.050864,0.17263
0.049805,0.1699
0.048788,0.16573
0.047813,0.14324
0.046875,0.13514
0.045974,0.14759
0.045106,0.16105
0.044271,0.15086
0.043466,0.14379
0.04269,0.13922
0.041941,0.13191
0.041218,0.13068
0.040519,0.12517
0.039844,0.1274
0.039191,0.13748
0.038558,0.14913
0.037946,0.14632
0.037354,0.1351
0.036779,0.12685
0.036222,0.1302
0.035681,0.14909
0.035156,0.16579
0.034647,0.1744
0.034152,0.17227
0.033671,0.16915
0.033203,0.177
0.032748,0.18586
0.032306,0.18734
0.031875,0.18896
0.031456,0.18799
0.031047,0.18587
0.030649,0.18508
0.030261,0.17863
0.029883,0.17185
0.029514,0.17196
0.029154,0.17107
0.028803,0.16732
0.02846,0.16225
0.028125,0.16241
0.027798,0.16205
0.027478,0.15479
0.027166,0.14744
0.026861,0.14855
0.026562,0.15161
0.026271,0.15132
0.025985,0.15281
0.025706,0.15861
0.025432,0.16461
0.025164,0.16913
0.024902,0.17299
0.024646,0.17488
0.024394,0.17815
0.024148,0.17887
0.023906,0.17497
0.02367,0.1706
0.023438,0.16634
0.02321,0.16541
0.022987,0.16761
0.022768,0.1714
0.022553,0.1735
0.022342,0.1684
0.022135,0.15604
0.021932,0.14616
0.021733,0.14541
0.021537,0.1491
0.021345,0.15221
0.021156,0.15193
0.02097,0.14663
0.020788,0.13618
0.020609,0.12598
0.020433,0.12495
0.02026,0.13222
0.020089,0.13914
0.019922,0.1436
0.019757,0.15261
0.019595,0.16838
0.019436,0.17111
0.019279,0.14689
0.019125,0.11797
0.018973,0.097985
0.018824,0.086563
0.018677,0.08253
