X,Y
Inf,0.39322
1195.3,0.424
597.66,0.48026
398.44,0.52633
298.83,0.55499
239.06,0.57042
199.22,0.5726
170.76,0.5561
149.41,0.52759
132.81,0.4979
119.53,0.47233
108.66,0.45441
99.609,0.44945
91.947,0.46004
85.379,0.47596
79.688,0.48603
74.707,0.485
70.312,0.47199
66.406,0.44915
62.911,0.4277
59.766,0.42325
56.92,0.43674
54.332,0.45064
51.97,0.45841
49.805,0.46035
47.812,0.45694
45.974,0.44712
44.271,0.42807
42.69,0.39304
41.218,0.33675
39.844,0.27018
38.558,0.20878
37.354,0.15782
36.222,0.12478
35.156,0.11629
34.152,0.12273
33.203,0.13512
32.306,0.16179
31.456,0.16026
30.649,0.15348
29.883,0.16984
29.154,0.16709
28.46,0.15505
27.798,0.13527
27.166,0.16265
26.562,0.18638
25.985,0.18164
25.432,0.1613
24.902,0.16158
24.394,0.16828
23.906,0.17097
23.438,0.1771
22.987,0.17732
22.553,0.18795
22.135,0.19059
21.733,0.18702
21.345,0.1539
20.97,0.16596
20.609,0.18007
20.26,0.17051
19.922,0.16459
19.595,0.17494
19.279,0.17859
18.973,0.17682
18.677,0.18202
18.389,0.19009
18.111,0.19093
17.84,0.19143
17.578,0.18682
17.323,0.18429
17.076,0.17777
16.835,0.18721
16.602,0.19494
16.374,0.18965
16.153,0.18382
15.938,0.18174
15.728,0.19519
15.524,0.19926
15.325,0.18886
15.131,0.1718
14.941,0.16794
14.757,0.1827
14.577,0.19482
14.401,0.19214
14.23,0.19115
14.062,0.19321
13.899,0.18854
13.739,0.19085
13.583,0.19389
13.43,0.19266
13.281,0.19462
13.135,0.19881
12.993,0.19481
12.853,0.19166
12.716,0.19721
12.582,0.20382
12.451,0.19769
12.323,0.19576
12.197,0.1985
12.074,0.20118
11.953,0.20461
11.835,0.20614
11.719,0.19669
11.605,0.18463
11.493,0.18193
11.384,0.18808
11.277,0.19809
11.171,0.20681
11.068,0.20958
10.966,0.20315
10.866,0.19132
10.769,0.1831
10.672,0.1828
10.578,0.18441
10.485,0.18126
10.394,0.17667
10.304,0.17584
10.216,0.17811
10.13,0.18052
10.045,0.183
9.9609,0.18553
9.8786,0.18426
9.7976,0.17775
9.718,0.16678
9.6396,0.15812
9.5625,0.15565
9.4866,0.15484
9.4119,0.15048
9.3384,0.14618
