X,Y
Inf,0.23871
1.9922,0.3174
0.99609,0.40099
0.66406,0.44243
0.49805,0.45372
0.39844,0.44397
0.33203,0.42191
0.2846,0.39668
0.24902,0.37749
0.22135,0.37448
0.19922,0.39151
0.18111,0.42153
0.16602,0.45045
0.15325,0.4724
0.1423,0.48925
0.13281,0.49712
0.12451,0.49984
0.11719,0.51058
0.11068,0.52458
0.10485,0.53269
0.099609,0.53505
0.094866,0.52367
0.090554,0.48596
0.086617,0.42304
0.083008,0.35138
0.079687,0.2827
0.076623,0.21319
0.073785,0.14731
0.07115,0.10315
0.068696,0.086726
0.066406,0.086966
0.064264,0.10154
0.062256,0.13832
0.060369,0.14863
0.058594,0.11472
0.05692,0.1214
0.055339,0.14588
0.053843,0.15978
0.052426,0.14789
0.051082,0.12063
0.049805,0.13461
0.04859,0.15855
0.047433,0.16488
0.04633,0.11445
0.045277,0.10434
0.044271,0.13577
0.043308,0.15371
0.042387,0.13699
0.041504,0.1175
0.040657,0.11187
0.039844,0.12836
0.039062,0.1491
0.038311,0.12998
0.037588,0.12464
0.036892,0.14134
0.036222,0.13065
0.035575,0.12074
0.034951,0.12621
0.034348,0.12857
0.033766,0.111
0.033203,0.11114
0.032659,0.12929
0.032132,0.13132
0.031622,0.11431
0.031128,0.11892
0.030649,0.12974
0.030185,0.12972
0.029734,0.13076
0.029297,0.12556
0.028872,0.11233
0.02846,0.10738
0.028059,0.10996
0.027669,0.1265
0.02729,0.14736
0.026921,0.14379
0.026562,0.1348
0.026213,0.1474
0.025873,0.1505
0.025541,0.13723
0.025218,0.12798
0.024902,0.12281
0.024595,0.12308
0.024295,0.13589
0.024002,0.15576
0.023717,0.16885
0.023438,0.17371
0.023165,0.17727
0.022899,0.17789
0.022638,0.17124
0.022384,0.15984
0.022135,0.15072
0.021892,0.14147
0.021654,0.13714
0.021421,0.14757
0.021193,0.16029
0.02097,0.16222
0.020752,0.16163
0.020538,0.16461
0.020328,0.16433
0.020123,0.1627
0.019922,0.1682
0.019725,0.16974
0.019531,0.16153
0.019342,0.15582
0.019156,0.15533
0.018973,0.15458
0.018794,0.15577
0.018619,0.16013
0.018446,0.16177
0.018277,0.15894
0.018111,0.15526
0.017948,0.14668
0.017787,0.13586
0.01763,0.13023
0.017475,0.13007
0.017323,0.1323
0.017174,0.13536
0.017027,0.13898
0.016883,0.13987
0.016741,0.13138
0.016602,0.11601
0.016464,0.1081
0.016329,0.11323
0.016197,0.12327
0.016066,0.12543
0.015938,0.12558
0.015811,0.12711
0.015687,0.12945
0.015564,0.13068
