X,Y
Inf,0.31407
0.8,0.3133
0.4,0.31097
0.26667,0.30704
0.2,0.30144
0.16,0.29403
0.13333,0.28469
0.11429,0.27324
0.1,0.2595
0.088889,0.2433
0.08,0.22459
0.072727,0.20351
0.066667,0.18057
0.061538,0.15689
0.057143,0.13421
0.053333,0.11449
0.05,0.098959
0.047059,0.087541
0.044444,0.079441
0.042105,0.07426
0.04,0.071105
0.038095,0.068663
0.036364,0.067054
0.034783,0.066619
0.033333,0.065976
0.032,0.06475
0.030769,0.065024
0.02963,0.066748
0.028571,0.068989
0.027586,0.068725
0.026667,0.066712
0.025806,0.065321
0.025,0.066082
0.024242,0.06815
0.023529,0.069666
0.022857,0.068488
0.022222,0.066142
0.021622,0.065766
0.021053,0.066659
0.020513,0.067233
0.02,0.066209
0.019512,0.063506
0.019048,0.058375
0.018605,0.05224
0.018182,0.052405
0.017778,0.058322
0.017391,0.059596
0.017021,0.05339
0.016667,0.047822
