X,Y
Inf,0.43829
1.9922,0.44676
0.99609,0.46926
0.66406,0.49154
0.49805,0.50038
0.39844,0.48914
0.33203,0.4618
0.2846,0.43672
0.24902,0.4329
0.22135,0.44622
0.19922,0.45992
0.18111,0.4687
0.16602,0.47569
0.15325,0.48085
0.1423,0.47983
0.13281,0.4675
0.12451,0.44087
0.11719,0.40382
0.11068,0.36775
0.10485,0.34455
0.099609,0.33698
0.094866,0.33842
0.090554,0.33966
0.086617,0.33248
0.083008,0.31209
0.079687,0.27884
0.076623,0.2372
0.073785,0.19538
0.07115,0.16937
0.068696,0.17358
0.066406,0.19243
0.064264,0.1816
0.062256,0.15895
0.060369,0.13976
0.058594,0.17755
0.05692,0.16584
0.055339,0.18341
0.053843,0.17347
0.052426,0.17961
0.051082,0.1633
0.049805,0.12639
0.04859,0.11285
0.047433,0.12464
0.04633,0.15083
0.045277,0.16787
0.044271,0.14514
0.043308,0.13964
0.042387,0.14895
0.041504,0.15693
0.040657,0.14417
0.039844,0.14067
0.039062,0.14768
0.038311,0.15261
0.037588,0.17492
0.036892,0.17536
0.036222,0.16771
0.035575,0.1712
0.034951,0.19396
0.034348,0.1973
0.033766,0.17474
0.033203,0.17048
0.032659,0.19506
0.032132,0.19604
0.031622,0.1794
0.031128,0.17081
0.030649,0.16607
0.030185,0.16253
0.029734,0.16023
0.029297,0.15619
0.028872,0.15509
0.02846,0.16375
0.028059,0.17147
0.027669,0.16653
0.02729,0.15356
0.026921,0.14495
0.026562,0.14964
0.026213,0.15811
0.025873,0.15544
0.025541,0.14722
0.025218,0.14882
0.024902,0.15875
0.024595,0.16346
0.024295,0.163
0.024002,0.16064
0.023717,0.15705
0.023438,0.15281
0.023165,0.14726
0.022899,0.14266
0.022638,0.14293
0.022384,0.14781
0.022135,0.15253
0.021892,0.15635
0.021654,0.16046
0.021421,0.15947
0.021193,0.15747
0.02097,0.16295
0.020752,0.17309
0.020538,0.17415
0.020328,0.17307
0.020123,0.17484
0.019922,0.17637
0.019725,0.17922
0.019531,0.17627
0.019342,0.16109
0.019156,0.14309
0.018973,0.13546
0.018794,0.13901
0.018619,0.14674
0.018446,0.15338
0.018277,0.15777
0.018111,0.15785
0.017948,0.1505
0.017787,0.14126
0.01763,0.1427
0.017475,0.15255
0.017323,0.15693
0.017174,0.15161
0.017027,0.14552
0.016883,0.14224
0.016741,0.1423
0.016602,0.1488
0.016464,0.1528
0.016329,0.15262
0.016197,0.15213
0.016066,0.145
0.015938,0.13326
0.015811,0.12202
0.015687,0.11217
0.015564,0.10751
