X,Y
Inf,0.13032
1195.3,0.19369
597.66,0.30786
398.44,0.39644
298.83,0.45638
239.06,0.50001
199.22,0.52914
170.76,0.54262
149.41,0.54642
132.81,0.55126
119.53,0.56246
108.66,0.57272
99.609,0.57298
91.947,0.56483
85.379,0.55433
79.688,0.55104
74.707,0.56164
70.312,0.57652
66.406,0.5801
62.911,0.56944
59.766,0.55161
56.92,0.53242
54.332,0.51335
51.97,0.50138
49.805,0.50268
47.812,0.50846
45.974,0.50059
44.271,0.4678
42.69,0.41492
41.218,0.35317
39.844,0.29221
38.558,0.23922
37.354,0.19324
36.222,0.15418
35.156,0.12806
34.152,0.11787
33.203,0.12711
32.306,0.16299
31.456,0.15008
30.649,0.11069
29.883,0.12515
29.154,0.16836
28.46,0.1532
27.798,0.10879
27.166,0.11649
26.562,0.14471
25.985,0.1445
25.432,0.14781
24.902,0.15754
24.394,0.15063
23.906,0.15041
23.438,0.17152
22.987,0.15094
22.553,0.13622
22.135,0.14414
21.733,0.16545
21.345,0.15861
20.97,0.15091
20.609,0.15544
20.26,0.13811
19.922,0.12706
19.595,0.13005
19.279,0.13484
18.973,0.13778
18.677,0.1432
18.389,0.15211
18.111,0.15761
17.84,0.14929
17.578,0.14475
17.323,0.14851
17.076,0.14704
16.835,0.14412
16.602,0.14502
16.374,0.1496
16.153,0.15428
15.938,0.16146
15.728,0.16106
15.524,0.15005
15.325,0.14302
15.131,0.14302
14.941,0.13412
14.757,0.11838
14.577,0.11367
14.401,0.11966
14.23,0.1288
14.062,0.14124
13.899,0.1526
13.739,0.15247
13.583,0.13984
13.43,0.13108
13.281,0.13123
13.135,0.13194
12.993,0.13524
12.853,0.14092
12.716,0.14464
12.582,0.14695
12.451,0.149
12.323,0.14862
12.197,0.14599
12.074,0.14427
11.953,0.14192
11.835,0.13895
11.719,0.13563
11.605,0.13268
11.493,0.13262
11.384,0.13785
11.277,0.14761
11.171,0.15511
11.068,0.15743
10.966,0.15811
10.866,0.1577
10.769,0.15549
10.672,0.15383
10.578,0.15127
10.485,0.14965
10.394,0.1544
10.304,0.16164
10.216,0.16239
10.13,0.15665
10.045,0.14961
9.9609,0.14337
9.8786,0.14239
9.7976,0.14182
9.718,0.13944
9.6396,0.14058
9.5625,0.14801
9.4866,0.15958
9.4119,0.17069
9.3384,0.17574
