X,Y
Inf,0.46222
1.9922,0.48136
0.99609,0.52395
0.66406,0.5631
0.49805,0.58376
0.39844,0.58643
0.33203,0.58235
0.2846,0.58204
0.24902,0.58208
0.22135,0.57302
0.19922,0.55917
0.18111,0.54821
0.16602,0.54033
0.15325,0.53353
0.1423,0.52732
0.13281,0.5237
0.12451,0.52558
0.11719,0.53137
0.11068,0.53423
0.10485,0.52721
0.099609,0.5032
0.094866,0.46018
0.090554,0.40777
0.086617,0.35716
0.083008,0.31295
0.079687,0.27115
0.076623,0.22852
0.073785,0.18569
0.07115,0.14543
0.068696,0.11695
0.066406,0.12032
0.064264,0.16361
0.062256,0.21199
0.060369,0.1602
0.058594,0.17005
0.05692,0.19473
0.055339,0.20355
0.053843,0.15414
0.052426,0.16812
0.051082,0.18639
0.049805,0.19063
0.04859,0.18294
0.047433,0.22748
0.04633,0.24409
0.045277,0.21545
0.044271,0.22431
0.043308,0.23462
0.042387,0.23988
0.041504,0.25495
0.040657,0.26109
0.039844,0.27197
0.039062,0.2887
0.038311,0.27881
0.037588,0.25794
0.036892,0.25801
0.036222,0.24909
0.035575,0.25543
0.034951,0.2791
0.034348,0.28061
0.033766,0.27963
0.033203,0.27736
0.032659,0.26796
0.032132,0.26248
0.031622,0.26343
0.031128,0.26642
0.030649,0.26745
0.030185,0.26105
0.029734,0.26031
0.029297,0.26412
0.028872,0.26789
0.02846,0.27238
0.028059,0.27665
0.027669,0.28002
0.02729,0.28527
0.026921,0.29044
0.026562,0.28982
0.026213,0.28607
0.025873,0.28702
0.025541,0.29401
0.025218,0.30422
0.024902,0.31623
0.024595,0.32984
0.024295,0.32675
0.024002,0.30595
0.023717,0.28849
0.023438,0.27987
0.023165,0.26976
0.022899,0.25354
0.022638,0.24158
0.022384,0.2399
0.022135,0.24391
0.021892,0.25384
0.021654,0.25945
0.021421,0.25796
0.021193,0.25336
0.02097,0.25126
0.020752,0.25797
0.020538,0.27367
0.020328,0.28513
0.020123,0.28305
0.019922,0.2733
0.019725,0.26473
0.019531,0.25625
0.019342,0.24615
0.019156,0.23949
0.018973,0.2387
0.018794,0.24345
0.018619,0.25181
0.018446,0.25487
0.018277,0.25146
0.018111,0.24456
0.017948,0.23395
0.017787,0.22281
0.01763,0.21424
0.017475,0.2049
0.017323,0.19504
0.017174,0.19177
0.017027,0.19555
0.016883,0.19864
0.016741,0.19422
0.016602,0.18947
0.016464,0.19469
0.016329,0.20329
0.016197,0.20266
0.016066,0.194
0.015938,0.18584
0.015811,0.17831
0.015687,0.16862
0.015564,0.16305
