X,Y
Inf,0.34523
0.8,0.34419
0.4,0.34108
0.26667,0.33587
0.2,0.32853
0.16,0.31902
0.13333,0.30726
0.11429,0.29324
0.1,0.27698
0.088889,0.25861
0.08,0.23845
0.072727,0.21707
0.066667,0.19529
0.061538,0.17407
0.057143,0.15424
0.053333,0.13632
0.05,0.1205
0.047059,0.10689
0.044444,0.09573
0.042105,0.087132
0.04,0.080548
0.038095,0.074758
0.036364,0.068924
0.034783,0.065014
0.033333,0.069693
0.032,0.085568
0.030769,0.097204
0.02963,0.095384
0.028571,0.087108
0.027586,0.078072
0.026667,0.071037
0.025806,0.067096
0.025,0.067399
0.024242,0.073141
0.023529,0.082239
0.022857,0.087502
0.022222,0.084525
0.021622,0.077947
0.021053,0.072207
0.020513,0.068803
0.02,0.068471
0.019512,0.071511
0.019048,0.076673
0.018605,0.080086
0.018182,0.079181
0.017778,0.074008
0.017391,0.067006
0.017021,0.060693
0.016667,0.057583
