X,Y
Inf,0.20768
1.9922,0.23055
0.99609,0.28993
0.66406,0.3679
0.49805,0.44814
0.39844,0.52417
0.33203,0.59634
0.2846,0.66103
0.24902,0.70579
0.22135,0.72378
0.19922,0.7226
0.18111,0.71293
0.16602,0.70217
0.15325,0.69553
0.1423,0.69291
0.13281,0.69193
0.12451,0.69096
0.11719,0.68529
0.11068,0.67088
0.10485,0.64809
0.099609,0.61947
0.094866,0.58664
0.090554,0.55155
0.086617,0.51729
0.083008,0.48201
0.079687,0.43582
0.076623,0.36851
0.073785,0.28485
0.07115,0.2091
0.068696,0.16587
0.066406,0.16087
0.064264,0.1719
0.062256,0.14899
0.060369,0.15857
0.058594,0.16197
0.05692,0.10074
0.055339,0.10722
0.053843,0.1825
0.052426,0.14468
0.051082,0.14253
0.049805,0.14671
0.04859,0.14202
0.047433,0.14749
0.04633,0.11823
0.045277,0.11155
0.044271,0.13364
0.043308,0.14959
0.042387,0.15388
0.041504,0.14799
0.040657,0.12496
0.039844,0.14787
0.039062,0.16526
0.038311,0.17921
0.037588,0.17482
0.036892,0.15161
0.036222,0.16862
0.035575,0.16464
0.034951,0.14888
0.034348,0.16915
0.033766,0.17937
0.033203,0.17666
0.032659,0.19512
0.032132,0.19829
0.031622,0.18318
0.031128,0.1696
0.030649,0.16453
0.030185,0.16986
0.029734,0.16688
0.029297,0.17347
0.028872,0.19083
0.02846,0.2024
0.028059,0.207
0.027669,0.19688
0.02729,0.19649
0.026921,0.2064
0.026562,0.20606
0.026213,0.18906
0.025873,0.1735
0.025541,0.17159
0.025218,0.17675
0.024902,0.18249
0.024595,0.19356
0.024295,0.20667
0.024002,0.21189
0.023717,0.21513
0.023438,0.22854
0.023165,0.2389
0.022899,0.24274
0.022638,0.24073
0.022384,0.22917
0.022135,0.20801
0.021892,0.18652
0.021654,0.17748
0.021421,0.18236
0.021193,0.19409
0.02097,0.2073
0.020752,0.22111
0.020538,0.23023
0.020328,0.23146
0.020123,0.22248
0.019922,0.20778
0.019725,0.19558
0.019531,0.19115
0.019342,0.1956
0.019156,0.20262
0.018973,0.2055
0.018794,0.20331
0.018619,0.20214
0.018446,0.20378
0.018277,0.20492
0.018111,0.20053
0.017948,0.19148
0.017787,0.18274
0.01763,0.17545
0.017475,0.16941
0.017323,0.17084
0.017174,0.18084
0.017027,0.18915
0.016883,0.19022
0.016741,0.18755
0.016602,0.18124
0.016464,0.17608
0.016329,0.18244
0.016197,0.18913
0.016066,0.19102
0.015938,0.189
0.015811,0.18523
0.015687,0.18324
0.015564,0.18323
