X,Y
Inf,0.23765
1195.3,0.26224
597.66,0.31268
398.44,0.36463
298.83,0.41903
239.06,0.48231
199.22,0.54704
170.76,0.59737
149.41,0.62181
132.81,0.62305
119.53,0.61595
108.66,0.61005
99.609,0.60436
91.947,0.59785
85.379,0.5925
79.688,0.59107
74.707,0.59394
70.312,0.60141
66.406,0.61281
62.911,0.61829
59.766,0.60693
56.92,0.58138
54.332,0.55041
51.97,0.52319
49.805,0.50348
47.812,0.49068
45.974,0.48352
44.271,0.47443
42.69,0.44827
41.218,0.39397
39.844,0.31515
38.558,0.23398
37.354,0.18061
36.222,0.15971
35.156,0.14674
34.152,0.1233
33.203,0.1084
32.306,0.17186
31.456,0.2023
30.649,0.14044
29.883,0.1397
29.154,0.16672
28.46,0.19561
27.798,0.17431
27.166,0.15501
26.562,0.15446
25.985,0.16641
25.432,0.15815
24.902,0.15854
24.394,0.16484
23.906,0.16719
23.438,0.16945
22.987,0.16509
22.553,0.17003
22.135,0.17179
21.733,0.17707
21.345,0.18373
20.97,0.18702
20.609,0.19673
20.26,0.20335
19.922,0.20194
19.595,0.20108
19.279,0.18042
18.973,0.17127
18.677,0.19988
18.389,0.20926
18.111,0.21795
17.84,0.2343
17.578,0.25046
17.323,0.2424
17.076,0.2483
16.835,0.25315
16.602,0.25282
16.374,0.26406
16.153,0.27623
15.938,0.26798
15.728,0.24898
15.524,0.23569
15.325,0.23084
15.131,0.2302
14.941,0.22485
14.757,0.22638
14.577,0.23665
14.401,0.23627
14.23,0.22487
14.062,0.21107
13.899,0.21376
13.739,0.22324
13.583,0.21842
13.43,0.20648
13.281,0.2063
13.135,0.21109
12.993,0.21561
12.853,0.22587
12.716,0.23623
12.582,0.23054
12.451,0.21771
12.323,0.21221
12.197,0.21094
12.074,0.20992
11.953,0.21133
11.835,0.215
11.719,0.22244
11.605,0.22339
11.493,0.21792
11.384,0.21689
11.277,0.22258
11.171,0.23573
11.068,0.24373
10.966,0.24026
10.866,0.23396
10.769,0.23129
10.672,0.23022
10.578,0.22805
10.485,0.22734
10.394,0.23195
10.304,0.23815
10.216,0.24187
10.13,0.24364
10.045,0.23879
9.9609,0.22811
9.8786,0.2195
9.7976,0.20781
9.718,0.1866
9.6396,0.16845
9.5625,0.16103
9.4866,0.16039
9.4119,0.16182
9.3384,0.16253
