X,Y
Inf,0.36914
1.2401,0.38939
0.62006,0.43478
0.41337,0.48
0.31003,0.51067
0.24802,0.52387
0.20669,0.52381
0.17716,0.51527
0.15502,0.49745
0.13779,0.46826
0.12401,0.43983
0.11274,0.41767
0.10334,0.39907
0.095394,0.388
0.08858,0.37937
0.082675,0.35577
0.077508,0.30586
0.072948,0.2376
0.068896,0.1735
0.06527,0.13627
0.062006,0.1238
0.059053,0.11102
0.056369,0.092147
0.053918,0.16383
0.051672,0.16392
0.049605,0.13273
0.047697,0.10785
0.04593,0.087466
0.04429,0.12168
0.042763,0.14069
0.041337,0.12759
0.040004,0.11492
0.038754,0.11179
0.037579,0.14184
0.036474,0.15809
0.035432,0.13717
0.034448,0.14804
0.033517,0.14172
0.032635,0.14613
0.031798,0.16303
0.031003,0.14186
0.030247,0.13022
0.029527,0.13006
0.02884,0.13452
0.028185,0.14503
0.027558,0.15011
0.026959,0.15648
0.026386,0.15787
0.025836,0.14534
0.025309,0.13532
0.024802,0.12941
0.024316,0.1232
0.023849,0.11404
0.023399,0.10273
0.022965,0.10928
0.022548,0.13
0.022145,0.1465
0.021757,0.15047
0.021381,0.13204
0.021019,0.11971
0.020669,0.13068
0.02033,0.13476
0.020002,0.12469
0.019684,0.11316
0.019377,0.10901
0.019079,0.11935
0.01879,0.12774
0.018509,0.1264
0.018237,0.12404
0.017973,0.12248
0.017716,0.11971
0.017467,0.1175
0.017224,0.12029
0.016988,0.12501
0.016758,0.12213
0.016535,0.1188
0.016317,0.1226
0.016105,0.12624
0.015899,0.12869
0.015698,0.13055
0.015502,0.13034
0.01531,0.12786
0.015123,0.12301
0.014941,0.11946
0.014763,0.11873
0.01459,0.11899
0.01442,0.11776
0.014254,0.1138
0.014092,0.11371
0.013934,0.11975
0.013779,0.12324
0.013628,0.11811
0.01348,0.10822
0.013335,0.10186
0.013193,0.10319
0.013054,0.10918
0.012918,0.11477
0.012785,0.11648
0.012654,0.11705
0.012526,0.12043
0.012401,0.12422
0.012278,0.12408
0.012158,0.12186
0.01204,0.12488
0.011924,0.13445
0.011811,0.14164
0.011699,0.14257
0.01159,0.13862
0.011483,0.13381
0.011377,0.13307
0.011274,0.13704
0.011172,0.14362
0.011073,0.1481
0.010975,0.14558
0.010878,0.14031
0.010784,0.13788
0.010691,0.13527
0.010599,0.13103
0.01051,0.12896
0.010421,0.13027
0.010334,0.13148
0.010249,0.12828
0.010165,0.12149
0.010082,0.11519
0.010001,0.11272
0.009921,0.11425
0.0098422,0.11514
0.0097648,0.11213
0.0096885,0.10964
