X,Y
Inf,0.39793
996.09,0.42912
498.05,0.47945
332.03,0.51569
249.02,0.54082
199.22,0.56456
166.02,0.58925
142.3,0.60144
124.51,0.58589
110.68,0.54486
99.609,0.49629
90.554,0.46432
83.008,0.46034
76.623,0.46182
71.15,0.44959
66.406,0.43918
62.256,0.44577
58.594,0.464
55.339,0.48152
52.426,0.49219
49.805,0.49321
47.433,0.4812
45.277,0.45286
43.308,0.40724
41.504,0.346
39.844,0.27817
38.311,0.21356
36.892,0.15554
35.575,0.10738
34.348,0.078038
33.203,0.087167
32.132,0.14913
31.128,0.20018
30.185,0.13509
29.297,0.13034
28.46,0.17566
27.669,0.16193
26.921,0.13161
26.213,0.15361
25.541,0.16951
24.902,0.18499
24.295,0.20888
23.717,0.21149
23.165,0.18183
22.638,0.1602
22.135,0.14546
21.654,0.1561
21.193,0.17033
20.752,0.16716
20.328,0.15353
19.922,0.15955
19.531,0.17961
19.156,0.19037
18.794,0.19021
18.446,0.18858
18.111,0.18481
17.787,0.17482
17.475,0.16253
17.174,0.15412
16.883,0.16032
16.602,0.17949
16.329,0.18796
16.066,0.17931
15.811,0.16455
15.564,0.1524
15.325,0.14502
15.092,0.13624
14.867,0.13041
14.648,0.12542
14.436,0.12136
14.23,0.11822
14.029,0.12341
13.835,0.14058
13.645,0.15313
13.461,0.14956
13.281,0.13826
13.106,0.13682
12.936,0.14248
12.77,0.13746
12.609,0.12121
12.451,0.10882
12.297,0.1167
12.147,0.13331
12.001,0.14259
11.858,0.14716
11.719,0.15251
11.582,0.16094
11.449,0.16852
11.319,0.16961
11.192,0.1705
11.068,0.175
10.946,0.17466
10.827,0.16241
10.711,0.14882
10.597,0.14224
10.485,0.13922
10.376,0.13932
10.269,0.14134
10.164,0.1387
10.062,0.13187
9.9609,0.1256
9.8623,0.12513
9.7656,0.13385
9.6708,0.14604
9.5778,0.15438
9.4866,0.15493
9.3971,0.15377
9.3093,0.15639
9.2231,0.15576
9.1385,0.1571
9.0554,0.16455
8.9738,0.16615
8.8937,0.15261
8.815,0.13852
8.7377,0.13541
8.6617,0.13874
8.587,0.14797
8.5136,0.14951
8.4415,0.13907
8.3705,0.13026
8.3008,0.13611
8.2322,0.152
8.1647,0.1646
8.0983,0.17118
8.033,0.17489
7.9688,0.17745
7.9055,0.17093
7.8433,0.15094
7.782,0.1368
