X,Y
-255,0.0034171
-254,0.0061187
-253,0.009004
-252,0.011544
-251,0.014086
-250,0.016077
-249,0.017812
-248,0.018073
-247,0.016901
-246,0.015173
-245,0.011392
-244,0.0050747
-243,-0.0035407
-242,-0.014254
-241,-0.028149
-240,-0.037025
-239,-0.040219
-238,-0.041395
-237,-0.042251
-236,-0.040054
-235,-0.038446
-234,-0.036479
-233,-0.034742
-232,-0.032665
-231,-0.029053
-230,-0.024218
-229,-0.019716
-228,-0.014163
-227,-0.0083336
-226,-0.0023813
-225,0.0025259
-224,0.0060065
-223,0.0076199
-222,0.0069345
-221,0.003874
-220,5.2239e-05
-219,-0.0023389
-218,-0.0059763
-217,-0.0076551
-216,-0.0098352
-215,-0.011723
-214,-0.011524
-213,-0.011703
-212,-0.01124
-211,-0.011008
-210,-0.0093558
-209,-0.0081379
-208,-0.006301
-207,-0.0062958
-206,-0.010129
-205,-0.011666
-204,-0.010361
-203,-0.0097389
-202,-0.0079748
-201,-0.0047522
-200,-0.0034878
-199,-0.0021114
-198,-0.0021608
-197,-0.002503
-196,-0.0029915
-195,-0.0032302
-194,-0.0032888
-193,-0.0021446
-192,-0.00018202
-191,0.0023055
-190,0.0048524
-189,0.01072
-188,0.017771
-187,0.025085
-186,0.031813
-185,0.037772
-184,0.041868
-183,0.044307
-182,0.044437
-181,0.042507
-180,0.036433
-179,0.028292
-178,0.018791
-177,0.015383
-176,0.013249
-175,0.012805
-174,0.011569
-173,0.011042
-172,0.0094301
-171,0.0073094
-170,0.0041031
-169,0.00025014
-168,-0.0037649
-167,-0.0079264
-166,-0.010557
-165,-0.010494
-164,-0.008735
-163,-0.0065857
-162,-0.0052516
-161,-0.0050115
-160,-0.0066352
-159,-0.010118
-158,-0.015877
-157,-0.021829
-156,-0.026554
-155,-0.02875
-154,-0.029648
-153,-0.026607
-152,-0.022152
-151,-0.016924
-150,-0.012279
-149,-0.0078408
-148,-0.0072405
-147,-0.0088422
-146,-0.013591
-145,-0.019959
-144,-0.02265
-143,-0.024397
-142,-0.024938
-141,-0.024413
-140,-0.023351
-139,-0.021726
-138,-0.022144
-137,-0.024438
-136,-0.027729
-135,-0.031363
-134,-0.037468
-133,-0.041079
-132,-0.045241
-131,-0.048356
-130,-0.047926
-129,-0.043984
-128,-0.0357
-127,-0.027948
-126,-0.020379
-125,-0.014872
-124,-0.011813
-123,-0.011931
-122,-0.01333
-121,-0.015886
-120,-0.018254
-119,-0.01782
-118,-0.016511
-117,-0.012899
-116,-0.0074675
-115,-0.00090326
-114,0.0072072
-113,0.01538
-112,0.022912
-111,0.029223
-110,0.033087
-109,0.034396
-108,0.032107
-107,0.027568
-106,0.019488
-105,0.0099465
-104,-0.00058031
-103,-0.0092146
-102,-0.015226
-101,-0.017302
-100,-0.014606
-99,-0.0075197
-98,0.0021081
-97,0.013588
-96,0.022258
-95,0.02866
-94,0.033098
-93,0.033179
-92,0.028086
-91,0.020213
-90,0.013561
-89,0.0073216
-88,0.00023333
-87,-0.0036235
-86,-0.0065842
-85,-0.0075579
-84,-0.0084473
-83,-0.0089576
-82,-0.010091
-81,-0.010153
-80,-0.011226
-79,-0.011121
-78,-0.013212
-77,-0.014453
-76,-0.014445
-75,-0.015306
-74,-0.013477
-73,-0.014207
-72,-0.013819
-71,-0.015676
-70,-0.017147
-69,-0.018757
-68,-0.018692
-67,-0.018187
-66,-0.016146
-65,-0.013824
-64,-0.010217
-63,-0.0063868
-62,-0.002254
-61,0.00043528
-60,0.004063
-59,0.0094199
-58,0.018314
-57,0.029857
-56,0.041416
-55,0.050644
-54,0.056478
-53,0.057002
-52,0.051967
-51,0.041288
-50,0.026187
-49,0.0073446
-48,-0.011102
-47,-0.027444
-46,-0.03984
-45,-0.050203
-44,-0.058401
-43,-0.070022
-42,-0.08058
-41,-0.092782
-40,-0.10383
-39,-0.11485
-38,-0.12707
-37,-0.13533
-36,-0.13204
-35,-0.12362
-34,-0.11181
-33,-0.095914
-32,-0.081155
-31,-0.067817
-30,-0.057718
-29,-0.049542
-28,-0.044066
-27,-0.039864
-26,-0.037795
-25,-0.035555
-24,-0.034171
-23,-0.032241
-22,-0.029368
-21,-0.02456
-20,-0.01703
-19,-0.0053039
-18,0.0093735
-17,0.02744
-16,0.047657
-15,0.067093
-14,0.083465
-13,0.093906
-12,0.09694
-11,0.092423
-10,0.084125
-9,0.078241
-8,0.080153
-7,0.096604
-6,0.12994
-5,0.18071
-4,0.24399
-3,0.31251
-2,0.37528
-1,0.42252
0,0.44488
1,0.43183
2,0.39044
3,0.32479
4,0.24406
5,0.1581
6,0.077152
7,0.0083583
8,-0.043121
9,-0.07723
10,-0.098007
11,-0.10878
12,-0.11412
13,-0.11802
14,-0.12243
15,-0.12559
16,-0.13344
17,-0.14392
18,-0.15042
19,-0.14922
20,-0.14302
21,-0.1298
22,-0.11358
23,-0.097
24,-0.083294
25,-0.075154
26,-0.072688
27,-0.073451
28,-0.077304
29,-0.081747
30,-0.084984
31,-0.084991
32,-0.081243
33,-0.073776
34,-0.06327
35,-0.051128
36,-0.040217
37,-0.033442
38,-0.028357
39,-0.028008
40,-0.029253
41,-0.032192
42,-0.037582
43,-0.042037
44,-0.045365
45,-0.045849
46,-0.044413
47,-0.03913
48,-0.031463
49,-0.019761
50,-0.0035537
51,0.0092523
52,0.016933
53,0.022249
54,0.023136
55,0.019539
56,0.016001
57,0.011526
58,0.0087529
59,0.0075895
60,0.0084317
61,0.010785
62,0.014332
63,0.017183
64,0.018926
65,0.019224
66,0.018222
67,0.012812
68,0.0055981
69,-0.0022315
70,-0.0090024
71,-0.014073
72,-0.015948
73,-0.014895
74,-0.010679
75,-0.0038672
76,0.0072485
77,0.020376
78,0.034251
79,0.041339
80,0.046374
81,0.048415
82,0.049553
83,0.047907
84,0.045144
85,0.040955
86,0.036354
87,0.031799
88,0.027797
89,0.025258
90,0.023099
91,0.020379
92,0.017667
93,0.0155
94,0.013949
95,0.012213
96,0.010383
97,0.0085238
98,0.0074242
99,0.005743
100,0.0029957
101,-0.0012286
102,-0.0050494
103,-0.011109
104,-0.017269
105,-0.023547
106,-0.029377
107,-0.035594
108,-0.038526
109,-0.039296
110,-0.035988
111,-0.029399
112,-0.024442
113,-0.018244
114,-0.012183
115,-0.0075092
116,-0.0055291
117,-0.0076833
118,-0.012003
119,-0.018349
120,-0.026218
121,-0.033969
122,-0.036946
123,-0.038276
124,-0.033449
125,-0.024211
126,-0.014559
127,-0.0066512
128,-0.0040153
129,-0.0039468
130,-0.0083433
131,-0.015763
132,-0.024915
133,-0.033102
134,-0.039777
135,-0.042672
136,-0.041495
137,-0.038064
138,-0.030672
139,-0.02168
140,-0.012244
141,-0.0033448
142,0.0030209
143,0.00715
144,0.0089645
145,0.0084565
146,0.0066085
147,0.003478
148,0.00048042
149,-0.0031584
150,-0.0051486
151,-0.006114
152,-0.0048809
153,-0.0024875
154,0.0017597
155,0.0073949
156,0.013324
157,0.018833
158,0.023893
159,0.026936
160,0.030566
161,0.032284
162,0.030963
163,0.029266
164,0.029021
165,0.028992
166,0.026967
167,0.024989
168,0.025084
169,0.023399
170,0.022125
171,0.01973
172,0.018001
173,0.016742
174,0.017096
175,0.017653
176,0.020715
177,0.023808
178,0.029756
179,0.034276
180,0.036096
181,0.036478
182,0.0316
183,0.027288
184,0.020698
185,0.016436
186,0.012982
187,0.011539
188,0.010323
189,0.0098371
190,0.0081376
191,0.0055715
192,0.00065651
193,-0.0048705
194,-0.010039
195,-0.01134
196,-0.0096641
197,-0.0047115
198,0.0016639
199,0.0089527
200,0.017156
201,0.025287
202,0.031175
203,0.034236
204,0.033603
205,0.029926
206,0.023636
207,0.016618
208,0.0079506
209,-0.0016436
210,-0.012443
211,-0.022326
212,-0.031698
213,-0.03573
214,-0.039888
215,-0.041233
216,-0.042138
217,-0.040204
218,-0.032953
219,-0.024467
220,-0.022182
221,-0.019737
222,-0.016812
223,-0.015932
224,-0.013894
225,-0.011874
226,-0.0090316
227,-0.0070203
228,-0.004775
229,-0.0033055
230,-0.001049
231,-6.9229e-05
232,0.0010597
233,0.0014256
234,0.0013161
235,0.00083278
236,0.00052378
237,-3.5092e-05
238,0.0010643
239,0.0028165
240,0.0046735
241,0.0067599
242,0.0082173
243,0.0089656
244,0.0091401
245,0.0097453
246,0.010403
247,0.010404
248,0.010724
249,0.010323
250,0.010228
251,0.0096221
252,0.0090168
253,0.0074496
254,0.0055531
255,0.0027028
