X,Y
-47,0.0083432
-46,0.015527
-45,0.02169
-44,0.02539
-43,0.028915
-42,0.031318
-41,0.033929
-40,0.035711
-39,0.037378
-38,0.039132
-37,0.042033
-36,0.045063
-35,0.047378
-34,0.047588
-33,0.047089
-32,0.045684
-31,0.044417
-30,0.044041
-29,0.045238
-28,0.048013
-27,0.052832
-26,0.058
-25,0.063718
-24,0.068229
-23,0.071502
-22,0.073616
-21,0.075163
-20,0.076047
-19,0.077151
-18,0.079388
-17,0.084481
-16,0.090827
-15,0.099275
-14,0.10776
-13,0.11623
-12,0.12296
-11,0.13041
-10,0.13713
-9,0.14617
-8,0.1579
-7,0.17653
-6,0.20191
-5,0.235
-4,0.2722
-3,0.31188
-2,0.3469
-1,0.37464
0,0.38939
1,0.37492
2,0.34862
3,0.313
4,0.27356
5,0.23278
6,0.1959
7,0.16484
8,0.14224
9,0.12722
10,0.11808
11,0.11136
12,0.10561
13,0.099577
14,0.093519
15,0.086028
16,0.078275
17,0.070715
18,0.064335
19,0.05963
20,0.057109
21,0.055968
22,0.056812
23,0.057891
24,0.05955
25,0.060656
26,0.060784
27,0.059623
28,0.058006
29,0.055929
30,0.053415
31,0.049239
32,0.045022
33,0.039375
34,0.033825
35,0.027931
36,0.023371
37,0.018462
38,0.016189
39,0.015418
40,0.017563
41,0.019807
42,0.022504
43,0.023264
44,0.02289
45,0.01902
46,0.01419
47,0.0069562
