X,Y
0.98651,-0.72172
1.2484,-0.51387
1.5411,-0.28219
1.8646,-0.027142
2.2187,0.25055
2.6036,0.54502
3.0191,0.85818
3.4653,1.1889
3.9421,1.5345
4.4496,1.8844
4.9875,2.2414
5.556,2.6015
6.155,2.9546
6.7845,3.2999
7.4444,3.6337
8.1346,3.951
8.8552,4.2487
9.6061,4.5266
10.387,4.7817
11.199,5.0124
12.04,5.2222
12.912,5.4052
13.813,5.5711
14.745,5.7107
15.706,5.8391
16.698,5.9441
17.719,6.0388
18.77,6.1153
19.851,6.1826
20.961,6.2383
22.101,6.2844
23.27,6.3246
24.469,6.3536
25.697,6.3837
26.954,6.4064
28.24,6.4256
29.556,6.4437
30.9,6.4562
32.274,6.4674
33.676,6.476
35.107,6.4808
36.567,6.4848
38.055,6.4868
39.572,6.4863
41.117,6.4849
42.691,6.4827
44.293,6.4788
45.923,6.4739
47.58,6.4694
49.266,6.4638
50.98,6.4575
52.721,6.4513
54.49,6.4452
56.286,6.4387
58.11,6.432
59.961,6.4258
61.839,6.4198
63.744,6.4139
65.676,6.4082
67.635,6.4028
69.62,6.398
71.632,6.3933
73.671,6.3888
75.735,6.3846
77.826,6.3808
79.943,6.3774
82.086,6.3742
84.254,6.3712
86.449,6.3686
88.668,6.3663
90.914,6.3643
93.184,6.3626
95.479,6.361
97.8,6.3597
100.14,6.3585
102.51,6.3576
104.91,6.3568
107.33,6.3559
109.77,6.3551
112.24,6.3542
114.73,6.3533
117.24,6.3523
119.78,6.3514
122.34,6.3504
124.93,6.3495
127.54,6.3487
130.17,6.3479
132.82,6.3474
135.5,6.3469
138.2,6.3467
140.92,6.3465
143.66,6.3465
146.43,6.3465
149.22,6.3465
152.02,6.3466
154.85,6.3466
157.71,6.3467
160.58,6.3466
163.47,6.3465
166.39,6.3464
169.32,6.3464
172.28,6.3465
175.25,6.3465
178.25,6.3466
181.26,6.3466
184.3,6.3467
187.35,6.3466
190.43,6.3466
193.52,6.3467
196.63,6.3468
199.76,6.3471
202.91,6.3473
206.08,6.3479
209.27,6.3486
212.47,6.3496
215.69,6.3507
218.93,6.352
222.19,6.3534
225.46,6.3549
228.75,6.3565
232.06,6.358
235.38,6.3597
238.72,6.3613
242.08,6.3631
245.45,6.3647
248.84,6.3664
252.24,6.3679
255.66,6.3696
259.09,6.3712
262.54,6.373
266,6.375
269.48,6.3771
272.97,6.3795
276.48,6.3816
279.99,6.3841
283.53,6.3865
287.07,6.3891
290.63,6.3916
294.21,6.3943
297.79,6.3969
301.39,6.3996
305,6.4023
308.62,6.4051
312.25,6.4081
315.9,6.4111
319.55,6.4141
323.22,6.4167
326.9,6.4195
330.59,6.4218
334.29,6.424
338,6.4256
341.72,6.4269
345.45,6.4278
349.19,6.4284
352.93,6.4289
356.69,6.4292
360.46,6.4294
364.23,6.4296
368.02,6.4301
371.81,6.4306
375.61,6.4318
379.41,6.4332
383.23,6.4351
387.05,6.437
390.88,6.4393
394.71,6.4414
398.56,6.4436
402.4,6.4456
406.26,6.4476
410.12,6.4495
413.98,6.4513
417.85,6.4533
421.73,6.4553
425.61,6.4576
429.49,6.4599
433.38,6.4626
437.28,6.4655
441.18,6.4687
445.08,6.472
448.98,6.4756
452.89,6.4793
456.8,6.4832
