X,Y
0,15.551
3.0842e-05,15.551
0.00012337,15.551
0.00027757,15.551
0.00049344,15.551
0.00077096,15.551
0.0011101,15.551
0.0015109,15.551
0.0019733,15.551
0.0024972,15.551
0.0030827,15.551
0.0037296,15.551
0.004438,15.552
0.0052079,15.552
0.006039,15.552
0.0069315,15.552
0.0078853,15.552
0.0089003,15.552
0.0099763,15.553
0.011114,15.553
0.012312,15.553
0.013571,15.554
0.014891,15.554
0.016271,15.555
0.017713,15.556
0.019215,15.557
0.020777,15.558
0.0224,15.559
0.024083,15.56
0.025827,15.562
0.02763,15.563
0.029494,15.564
0.031417,15.565
0.0334,15.565
0.035443,15.564
0.037545,15.561
0.039706,15.555
0.041927,15.545
0.044207,15.529
0.046546,15.506
0.048943,15.472
0.0514,15.425
0.053915,15.363
0.056488,15.282
0.059119,15.179
0.061809,15.052
0.064556,14.896
0.067361,14.707
0.070224,14.485
0.073143,14.229
0.07612,13.941
0.079155,13.624
0.082245,13.285
0.085393,12.932
0.088597,12.572
0.091857,12.21
0.095173,11.849
0.098545,11.496
0.10197,11.158
0.10546,10.837
0.10899,10.535
0.11259,10.252
0.11623,9.9889
0.11994,9.744
0.12369,9.5143
0.1275,9.3043
0.13137,9.1131
0.13529,8.937
0.13926,8.7734
0.14328,8.6199
0.14736,8.4748
0.15149,8.3368
0.15567,8.2049
0.15991,8.0783
0.16419,7.9564
0.16853,7.8387
0.17292,7.7247
0.17736,7.6141
0.18185,7.5065
0.18639,7.4017
0.19098,7.2995
0.19562,7.1997
0.20032,7.1022
0.20506,7.0068
0.20984,6.9134
0.21468,6.8218
0.21957,6.7318
0.2245,6.6434
0.22949,6.5564
0.23452,6.4709
0.23959,6.3866
0.24472,6.3034
0.24989,6.2213
0.25511,6.1402
0.26037,6.06
0.26568,5.9806
0.27103,5.9019
0.27643,5.8239
0.28187,5.7464
0.28736,5.6695
0.29289,5.5931
0.29847,5.5174
0.30409,5.4422
0.30975,5.3676
0.31545,5.2936
0.3212,5.22
0.32699,5.1467
0.33282,5.0735
0.33869,5.0004
0.3446,4.9273
0.35055,4.8542
0.35654,4.7812
0.36258,4.7083
0.36865,4.6355
0.37476,4.5627
0.38091,4.4899
0.38709,4.417
0.39332,4.3437
0.39958,4.2702
0.40588,4.1966
0.41221,4.1228
0.41859,4.0491
0.42499,3.9753
0.43144,3.9016
0.43792,3.828
0.44443,3.7544
0.45098,3.681
0.45756,3.6079
0.46417,3.5349
0.47082,3.4622
0.4775,3.3898
0.48421,3.3175
0.49096,3.2454
0.49773,3.1734
0.50454,3.1015
0.51138,3.0298
0.51825,2.9584
0.52514,2.8873
0.53207,2.8165
0.53903,2.7461
0.54601,2.676
0.55302,2.6063
0.56006,2.5371
0.56713,2.4683
0.57422,2.3999
0.58134,2.332
0.58849,2.2643
0.59566,2.1971
0.60285,2.1302
0.61007,2.0639
0.61732,1.9981
0.62458,1.9329
0.63188,1.8683
0.63919,1.8044
0.64653,1.7411
0.65388,1.6785
0.66126,1.6163
0.66866,1.5547
0.67608,1.4935
0.68352,1.433
0.69098,1.373
0.69846,1.3139
0.70596,1.2555
0.71348,1.198
0.72101,1.1412
0.72856,1.0853
0.73613,1.0302
0.74371,0.97594
0.75131,0.92266
0.75892,0.87048
0.76655,0.81937
0.7742,0.76948
0.78186,0.72081
0.78953,0.67349
0.79721,0.62752
0.80491,0.58302
0.81262,0.54003
0.82034,0.49859
0.82807,0.45864
0.83581,0.42024
0.84357,0.38336
0.85133,0.34804
0.8591,0.31419
0.86688,0.28186
0.87467,0.25099
0.88246,0.22166
0.89027,0.19384
0.89808,0.16761
0.90589,0.143
0.91371,0.12013
0.92154,0.099047
0.92937,0.079901
0.93721,0.062726
0.94505,0.04761
0.95289,0.034509
0.96074,0.023484
0.96859,0.014503
0.97644,0.0076461
0.98429,0.0028949
0.99215,0.00034459
1,0
