X,Z,Y
-1,0.05,8.9326
-1,0.069388,11.997
-1,0.088776,14.86
-1,0.10816,17.536
-1,0.12755,20.035
-1,0.14694,22.371
-1,0.16633,24.554
-1,0.18571,26.593
-1,0.2051,28.499
-1,0.22449,30.28
-1,0.24388,31.943
-1,0.26327,33.498
-1,0.28265,34.951
-1,0.30204,36.308
-1,0.32143,37.576
-1,0.34082,38.761
-1,0.3602,39.869
-1,0.37959,40.903
-1,0.39898,41.87
-1,0.41837,42.774
-1,0.43776,43.618
-1,0.45714,44.406
-1,0.47653,45.143
-1,0.49592,45.832
-1,0.51531,46.476
-1,0.53469,47.077
-1,0.55408,47.639
-1,0.57347,48.164
-1,0.59286,48.654
-1,0.61224,49.112
-1,0.63163,49.541
-1,0.65102,49.941
-1,0.67041,50.315
-1,0.6898,50.664
-1,0.70918,50.991
-1,0.72857,51.296
-1,0.74796,51.581
-1,0.76735,51.847
-1,0.78673,52.096
-1,0.80612,52.328
-1,0.82551,52.546
-1,0.8449,52.749
-1,0.86429,52.938
-1,0.88367,53.115
-1,0.90306,53.281
-1,0.92245,53.436
-1,0.94184,53.58
-1,0.96122,53.716
-1,0.98061,53.842
-1,1,53.96
-0.95918,0.05,8.7985
-0.95918,0.069388,11.817
-0.95918,0.088776,14.637
-0.95918,0.10816,17.272
-0.95918,0.12755,19.735
-0.95918,0.14694,22.035
-0.95918,0.16633,24.185
-0.95918,0.18571,26.194
-0.95918,0.2051,28.071
-0.95918,0.22449,29.825
-0.95918,0.24388,31.464
-0.95918,0.26327,32.995
-0.95918,0.28265,34.426
-0.95918,0.30204,35.763
-0.95918,0.32143,37.012
-0.95918,0.34082,38.179
-0.95918,0.3602,39.27
-0.95918,0.37959,40.289
-0.95918,0.39898,41.241
-0.95918,0.41837,42.131
-0.95918,0.43776,42.963
-0.95918,0.45714,43.74
-0.95918,0.47653,44.466
-0.95918,0.49592,45.144
-0.95918,0.51531,45.778
-0.95918,0.53469,46.37
-0.95918,0.55408,46.923
-0.95918,0.57347,47.44
-0.95918,0.59286,47.923
-0.95918,0.61224,48.375
-0.95918,0.63163,48.797
-0.95918,0.65102,49.191
-0.95918,0.67041,49.559
-0.95918,0.6898,49.903
-0.95918,0.70918,50.225
-0.95918,0.72857,50.525
-0.95918,0.74796,50.806
-0.95918,0.76735,51.068
-0.95918,0.78673,51.313
-0.95918,0.80612,51.542
-0.95918,0.82551,51.756
-0.95918,0.8449,51.956
-0.95918,0.86429,52.143
-0.95918,0.88367,52.318
-0.95918,0.90306,52.481
-0.95918,0.92245,52.633
-0.95918,0.94184,52.776
