X,Z,Y
-1,0.08,13.588
-1,0.098776,16.263
-1,0.11755,18.767
-1,0.13633,21.112
-1,0.1551,23.308
-1,0.17388,25.365
-1,0.19265,27.29
-1,0.21143,29.093
-1,0.2302,30.782
-1,0.24898,32.363
-1,0.26776,33.843
-1,0.28653,35.23
-1,0.30531,36.528
-1,0.32408,37.743
-1,0.34286,38.882
-1,0.36163,39.947
-1,0.38041,40.945
-1,0.39918,41.88
-1,0.41796,42.755
-1,0.43673,43.575
-1,0.45551,44.342
-1,0.47429,45.061
-1,0.49306,45.734
-1,0.51184,46.364
-1,0.53061,46.954
-1,0.54939,47.506
-1,0.56816,48.023
-1,0.58694,48.508
-1,0.60571,48.961
-1,0.62449,49.386
-1,0.64327,49.784
-1,0.66204,50.156
-1,0.68082,50.505
-1,0.69959,50.832
-1,0.71837,51.138
-1,0.73714,51.424
-1,0.75592,51.692
-1,0.77469,51.943
-1,0.79347,52.178
-1,0.81224,52.398
-1,0.83102,52.605
-1,0.8498,52.798
-1,0.86857,52.978
-1,0.88735,53.148
-1,0.90612,53.306
-1,0.9249,53.455
-1,0.94367,53.594
-1,0.96245,53.724
-1,0.98122,53.846
-1,1,53.96
-0.95918,0.08,13.384
-0.95918,0.098776,16.019
-0.95918,0.11755,18.485
-0.95918,0.13633,20.795
-0.95918,0.1551,22.958
-0.95918,0.17388,24.984
-0.95918,0.19265,26.88
-0.95918,0.21143,28.656
-0.95918,0.2302,30.32
-0.95918,0.24898,31.877
-0.95918,0.26776,33.335
-0.95918,0.28653,34.701
-0.95918,0.30531,35.979
-0.95918,0.32408,37.176
-0.95918,0.34286,38.298
-0.95918,0.36163,39.347
-0.95918,0.38041,40.331
-0.95918,0.39918,41.251
-0.95918,0.41796,42.113
-0.95918,0.43673,42.92
-0.95918,0.45551,43.676
-0.95918,0.47429,44.384
-0.95918,0.49306,45.047
-0.95918,0.51184,45.667
-0.95918,0.53061,46.248
-0.95918,0.54939,46.793
-0.95918,0.56816,47.302
-0.95918,0.58694,47.779
-0.95918,0.60571,48.226
-0.95918,0.62449,48.645
-0.95918,0.64327,49.036
-0.95918,0.66204,49.403
-0.95918,0.68082,49.747
-0.95918,0.69959,50.068
-0.95918,0.71837,50.37
-0.95918,0.73714,50.652
-0.95918,0.75592,50.916
-0.95918,0.77469,51.163
-0.95918,0.79347,51.395
-0.95918,0.81224,51.612
-0.95918,0.83102,51.815
-0.95918,0.8498,52.005
-0.95918,0.86857,52.183
-0.95918,0.88735,52.35
-0.95918,0.90612,52.506
-0.95918,0.9249,52.652
-0.95918,0.94367,52.789
-0.95918,0.96245,52.917
-0.95918,0.98122,53.037
-0.95918,1,53.149
-0.91837,0.08,13.209
-0.91837,0.098776,15.809
-0.91837,0.11755,18.244
-0.91837,0.13633,20.524
-0.91837,0.1551,22.658
-0.91837,0.17388,24.657
-0.91837,0.19265,26.529
-0.91837,0.21143,28.282
-0.91837,0.2302,29.923
-0.91837,0.24898,31.46
-0.91837,0.26776,32.899
-0.91837,0.28653,34.247
-0.91837,0.30531,35.509
-0.91837,0.32408,36.691
-0.91837,0.34286,37.797
-0.91837,0.36163,38.833
-0.91837,0.38041,39.804
-0.91837,0.39918,40.712
-0.91837,0.41796,41.563
-0.91837,0.43673,42.359
-0.91837,0.45551,43.105
-0.91837,0.47429,43.804
-0.91837,0.49306,44.458
-0.91837,0.51184,45.071
-0.91837,0.53061,45.644
-0.91837,0.54939,46.181
-0.91837,0.56816,46.684
-0.91837,0.58694,47.155
-0.91837,0.60571,47.596
-0.91837,0.62449,48.009
-0.91837,0.64327,48.396
-0.91837,0.66204,48.758
-0.91837,0.68082,49.097
-0.91837,0.69959,49.414
-0.91837,0.71837,49.711
-0.91837,0.73714,49.99
-0.91837,0.75592,50.25
-0.91837,0.77469,50.495
-0.91837,0.79347,50.723
