X,Y
0,0.033455
0.0020017,0.03201
0.0040033,0.030351
0.006005,0.028637
0.0080067,0.026906
0.010008,0.025059
0.01201,0.02312
0.014012,0.021379
0.016013,0.019493
0.018015,0.01772
0.020017,0.016174
0.022018,0.014704
0.02402,0.013385
0.026022,0.012155
0.028023,0.011346
0.030025,0.010658
0.032027,0.010182
0.034028,0.0099408
0.03603,0.0099001
0.038032,0.010106
0.040033,0.0105
0.042035,0.011069
0.044037,0.011909
0.046038,0.012805
0.04804,0.014025
0.050042,0.015225
0.052043,0.01651
0.054045,0.017943
0.056047,0.019394
0.058048,0.020981
0.06005,0.02235
0.062052,0.023747
0.064053,0.025149
0.066055,0.026472
0.068057,0.027609
0.070058,0.028686
0.07206,0.029683
0.074062,0.03053
0.076063,0.03128
0.078065,0.031862
0.080067,0.032356
0.082068,0.03266
0.08407,0.032856
0.086072,0.032945
0.088073,0.032946
0.090075,0.032874
0.092077,0.032754
0.094078,0.032574
0.09608,0.032394
0.098082,0.032198
0.10008,0.032003
0.10209,0.03185
0.10409,0.031787
0.10609,0.031801
0.10809,0.031931
0.11009,0.032198
0.11209,0.032553
0.1141,0.033054
0.1161,0.033717
0.1181,0.034562
0.1201,0.035571
0.1221,0.036727
0.1241,0.038054
0.12611,0.039505
0.12811,0.041139
0.13011,0.042862
0.13211,0.044793
0.13411,0.04684
0.13611,0.048883
0.13812,0.051033
0.14012,0.053255
0.14212,0.055539
0.14412,0.057771
0.14612,0.05999
0.14812,0.062257
0.15013,0.064447
0.15213,0.066525
0.15413,0.068505
0.15613,0.070382
0.15813,0.072137
0.16013,0.073733
0.16214,0.075167
0.16414,0.076414
0.16614,0.077478
0.16814,0.078328
0.17014,0.07901
0.17214,0.07946
0.17415,0.079716
0.17615,0.079769
0.17815,0.079621
0.18015,0.079275
0.18215,0.07872
0.18415,0.077974
0.18616,0.077082
0.18816,0.075969
0.19016,0.074741
0.19216,0.073324
0.19416,0.071801
0.19616,0.070139
0.19817,0.068384
0.20017,0.066548
0.20217,0.064641
0.20417,0.062654
0.20617,0.06062
0.20817,0.058579
0.21018,0.056588
0.21218,0.054572
0.21418,0.05255
0.21618,0.05059
0.21818,0.048705
0.22018,0.046941
0.22219,0.045176
0.22419,0.043516
0.22619,0.042006
0.22819,0.040672
0.23019,0.039432
0.23219,0.03838
0.2342,0.037478
0.2362,0.036715
0.2382,0.036159
0.2402,0.035778
0.2422,0.035591
0.2442,0.035596
0.24621,0.035795
0.24821,0.036184
0.25021,0.036762
0.25221,0.037541
0.25421,0.038492
0.25621,0.039583
0.25822,0.040871
0.26022,0.042286
0.26222,0.043858
0.26422,0.045609
0.26622,0.047426
0.26822,0.049312
0.27023,0.051263
0.27223,0.053302
0.27423,0.055392
0.27623,0.057446
0.27823,0.059486
0.28023,0.061557
0.28224,0.063604
0.28424,0.065516
0.28624,0.067382
0.28824,0.06911
0.29024,0.070714
0.29224,0.072226
0.29425,0.07356
0.29625,0.074757
0.29825,0.075747
0.30025,0.076609
0.30225,0.077289
0.30425,0.077752
0.30626,0.078076
0.30826,0.078234
0.31026,0.078224
0.31226,0.078054
0.31426,0.077742
0.31626,0.077336
0.31827,0.076788
0.32027,0.076133
0.32227,0.075421
0.32427,0.074661
0.32627,0.073848
0.32827,0.072998
0.33028,0.072193
0.33228,0.071377
0.33428,0.070615
0.33628,0.069924
0.33828,0.069323
0.34028,0.068813
0.34229,0.0684
0.34429,0.068116
0.34629,0.067967
0.34829,0.067945
0.35029,0.068063
0.35229,0.068312
0.3543,0.06872
0.3563,0.069245
0.3583,0.069893
0.3603,0.070671
0.3623,0.07157
0.3643,0.072545
0.36631,0.073601
0.36831,0.074725
0.37031,0.075853
0.37231,0.077051
0.37431,0.078211
0.37631,0.079367
0.37832,0.080525
0.38032,0.081621
0.38232,0.08264
0.38432,0.083572
0.38632,0.084391
0.38832,0.08508
0.39033,0.085646
0.39233,0.086125
0.39433,0.086472
0.39633,0.086669
0.39833,0.086721
0.40033,0.086623
0.40234,0.086394
0.40434,0.086036
0.40634,0.085549
0.40834,0.085014
0.41034,0.084378
0.41234,0.083642
0.41435,0.082835
0.41635,0.081993
0.41835,0.081099
0.42035,0.080166
0.42235,0.079275
0.42435,0.078399
0.42636,0.077554
0.42836,0.076757
0.43036,0.075991
0.43236,0.075315
0.43436,0.074712
0.43636,0.074166
0.43837,0.073703
0.44037,0.073307
0.44237,0.073
0.44437,0.072779
0.44637,0.072616
0.44837,0.07251
0.45038,0.072452
0.45238,0.072434
0.45438,0.072437
0.45638,0.072448
0.45838,0.072454
0.46038,0.072438
0.46239,0.072382
0.46439,0.072282
0.46639,0.072109
0.46839,0.071845
0.47039,0.071496
0.47239,0.071048
0.4744,0.070481
0.4764,0.069807
0.4784,0.069037
0.4804,0.068119
0.4824,0.067105
0.4844,0.065963
0.48641,0.064734
0.48841,0.063416
0.49041,0.061979
0.49241,0.060488
0.49441,0.058965
0.49641,0.057467
0.49842,0.055967
0.50042,0.05445
0.50242,0.052951
0.50442,0.051554
0.50642,0.050271
0.50842,0.049103
0.51043,0.048072
0.51243,0.047238
0.51443,0.04655
0.51643,0.046045
0.51843,0.045773
0.52043,0.045737
0.52244,0.045956
0.52444,0.04644
0.52644,0.047148
0.52844,0.048082
0.53044,0.049299
0.53244,0.050748
0.53445,0.052458
0.53645,0.054388
0.53845,0.056522
0.54045,0.058774
0.54245,0.061284
0.54445,0.06394
0.54646,0.066669
0.54846,0.069471
0.55046,0.072361
0.55246,0.075277
0.55446,0.078177
0.55646,0.081099
0.55847,0.083933
0.56047,0.08669
0.56247,0.089331
0.56447,0.091794
0.56647,0.094188
0.56847,0.096417
0.57048,0.098417
0.57248,0.10018
0.57448,0.10172
0.57648,0.10308
0.57848,0.10415
0.58048,0.105
0.58249,0.10562
0.58449,0.10597
0.58649,0.10615
0.58849,0.10609
0.59049,0.10581
0.59249,0.10537
0.5945,0.10471
0.5965,0.10391
0.5985,0.10297
0.6005,0.10184
0.6025,0.10062
0.6045,0.099235
0.60651,0.097793
0.60851,0.09629
0.61051,0.094724
0.61251,0.093066
0.61451,0.091402
0.61651,0.089799
0.61852,0.088211
0.62052,0.086554
0.62252,0.084937
0.62452,0.0834
0.62652,0.081855
0.62852,0.080329
0.63053,0.078872
0.63253,0.077489
0.63453,0.076134
0.63653,0.074858
0.63853,0.073628
0.64053,0.072445
0.64254,0.07132
0.64454,0.070265
0.64654,0.069259
0.64854,0.068309
0.65054,0.06744
0.65254,0.066599
0.65455,0.065822
0.65655,0.065111
0.65855,0.06447
0.66055,0.063889
0.66255,0.063374
0.66455,0.062899
0.66656,0.062532
0.66856,0.062236
0.67056,0.062024
0.67256,0.061905
0.67456,0.061879
0.67656,0.061953
0.67857,0.062125
0.68057,0.062407
0.68257,0.06279
0.68457,0.063309
0.68657,0.063918
0.68857,0.064635
0.69058,0.065453
0.69258,0.066399
0.69458,0.067467
0.69658,0.068595
0.69858,0.06984
0.70058,0.071191
0.70259,0.072625
0.70459,0.074137
0.70659,0.075678
0.70859,0.07732
0.71059,0.078962
0.71259,0.080678
0.7146,0.082383
0.7166,0.084096
0.7186,0.085757
0.7206,0.087469
0.7226,0.0891
0.7246,0.090627
0.72661,0.092143
0.72861,0.093612
0.73061,0.094988
0.73261,0.096224
0.73461,0.097364
0.73661,0.098384
0.73862,0.099245
0.74062,0.099997
0.74262,0.10064
0.74462,0.1011
0.74662,0.10138
0.74862,0.10154
0.75063,0.10158
0.75263,0.10147
0.75463,0.10121
0.75663,0.10081
0.75863,0.10028
0.76063,0.099572
0.76264,0.098776
0.76464,0.097844
0.76664,0.096808
0.76864,0.09563
0.77064,0.094356
0.77264,0.092952
0.77465,0.09149
0.77665,0.089997
0.77865,0.088457
0.78065,0.086772
0.78265,0.085039
0.78465,0.08331
0.78666,0.081496
0.78866,0.079626
0.79066,0.077772
0.79266,0.075922
0.79466,0.074072
0.79666,0.072207
0.79867,0.070334
0.80067,0.068504
0.80267,0.066718
0.80467,0.064951
0.80667,0.063256
0.80867,0.061568
0.81068,0.059969
0.81268,0.0585
0.81468,0.057121
0.81668,0.05585
0.81868,0.054654
0.82068,0.053572
0.82269,0.052617
0.82469,0.051803
0.82669,0.051144
0.82869,0.050646
0.83069,0.050298
0.83269,0.050111
0.8347,0.050083
0.8367,0.050219
0.8387,0.050516
0.8407,0.050981
0.8427,0.051597
0.8447,0.052401
0.84671,0.053316
0.84871,0.054407
0.85071,0.055603
0.85271,0.056894
0.85471,0.058282
0.85671,0.059741
0.85872,0.061351
0.86072,0.062994
0.86272,0.06465
0.86472,0.066303
0.86672,0.067974
0.86872,0.069597
0.87073,0.071193
0.87273,0.072733
0.87473,0.074194
0.87673,0.075524
0.87873,0.076772
0.88073,0.077855
0.88274,0.078828
0.88474,0.07963
0.88674,0.080297
0.88874,0.080814
0.89074,0.081119
0.89274,0.081259
0.89475,0.081229
0.89675,0.081027
0.89875,0.080658
0.90075,0.080097
0.90275,0.079423
0.90475,0.078629
0.90676,0.077705
0.90876,0.076699
0.91076,0.075576
0.91276,0.074419
0.91476,0.073143
0.91676,0.071867
0.91877,0.070559
0.92077,0.069268
0.92277,0.067999
0.92477,0.066758
0.92677,0.065552
0.92877,0.064441
0.93078,0.063388
0.93278,0.062394
0.93478,0.061496
0.93678,0.060709
0.93878,0.060035
0.94078,0.05948
0.94279,0.059038
0.94479,0.058703
0.94679,0.058489
0.94879,0.058366
0.95079,0.058329
0.95279,0.058376
0.9548,0.058493
0.9568,0.058671
0.9588,0.058906
0.9608,0.059193
0.9628,0.059515
0.9648,0.059844
0.96681,0.060206
0.96881,0.060554
0.97081,0.060886
0.97281,0.061205
0.97481,0.061474
0.97681,0.061714
0.97882,0.061913
0.98082,0.062045
0.98282,0.062131
0.98482,0.062154
0.98682,0.062118
0.98882,0.062019
0.99083,0.061858
0.99283,0.061638
0.99483,0.061368
0.99683,0.061039
0.99883,0.060659
1.0008,0.060233
1.0028,0.059751
1.0048,0.059268
