X,Y
-0.56605,2.0575
1.1461,2.415
2.8884,2.7897
4.6605,3.1749
6.4625,3.5623
8.2942,3.9454
10.156,4.3152
12.046,4.662
13.966,4.9855
15.916,5.2867
17.894,5.5671
19.902,5.8288
21.938,6.0681
24.004,6.2854
26.098,6.4843
28.22,6.6681
30.371,6.84
32.55,7.0024
34.757,7.1573
36.992,7.3061
39.255,7.45
41.545,7.5901
43.863,7.7269
46.209,7.8612
48.582,7.9935
50.981,8.1241
53.408,8.2533
55.862,8.3814
58.342,8.5086
60.849,8.6352
63.383,8.7614
65.942,8.8873
68.528,9.0131
71.139,9.1389
73.776,9.2646
76.439,9.3906
79.127,9.517
81.84,9.6438
84.579,9.771
87.342,9.8987
90.13,10.027
92.942,10.156
95.779,10.285
98.64,10.415
101.53,10.546
104.43,10.678
107.37,10.811
110.32,10.944
113.3,11.079
116.31,11.214
119.33,11.351
122.38,11.489
125.45,11.628
128.54,11.767
131.66,11.908
134.8,12.05
137.96,12.193
141.14,12.336
144.34,12.481
147.56,12.626
150.81,12.772
154.07,12.918
157.36,13.065
160.66,13.213
163.99,13.361
167.34,13.509
170.7,13.659
174.09,13.809
177.5,13.959
180.92,14.11
184.36,14.262
187.83,14.413
191.31,14.564
194.8,14.714
198.32,14.864
201.86,15.013
205.41,15.161
208.98,15.309
212.57,15.455
216.17,15.601
219.79,15.746
223.43,15.89
227.08,16.034
230.75,16.176
234.44,16.318
238.14,16.459
241.86,16.598
245.59,16.737
249.34,16.874
253.1,17.01
256.88,17.146
260.67,17.28
264.47,17.413
268.29,17.546
272.12,17.677
275.97,17.807
279.83,17.935
283.7,18.063
287.58,18.189
291.48,18.313
295.39,18.437
299.31,18.559
303.24,18.679
307.18,18.799
311.14,18.917
315.1,19.033
319.08,19.149
323.07,19.263
327.06,19.376
331.07,19.488
335.09,19.599
339.11,19.708
343.15,19.816
347.19,19.922
351.24,20.026
355.3,20.129
359.37,20.23
363.45,20.33
367.54,20.427
371.63,20.524
375.73,20.618
379.84,20.71
383.95,20.8
388.07,20.889
392.19,20.975
396.33,21.059
400.46,21.141
404.61,21.22
408.75,21.296
412.91,21.37
417.07,21.441
421.23,21.509
425.39,21.574
429.56,21.636
433.74,21.694
437.91,21.749
442.09,21.8
446.28,21.847
450.46,21.89
454.65,21.929
