X,Y
0.21526,2.6145
0.21626,2.6199
0.21726,2.6253
0.21825,2.6307
0.21925,2.6384
0.22025,2.6483
0.22124,2.6582
0.22224,2.6681
0.22324,2.678
0.22423,2.6879
0.22523,2.6978
0.22623,2.7076
0.22722,2.7191
0.22822,2.7314
0.22922,2.7437
0.23021,2.7559
0.23121,2.7682
0.23221,2.7805
0.2332,2.7927
0.2342,2.805
0.2352,2.8171
0.23619,2.8291
0.23719,2.8411
0.23819,2.8531
0.23918,2.8651
0.24018,2.8771
0.24118,2.8891
0.24217,2.9011
0.24317,2.9119
0.24417,2.9226
0.24516,2.9334
0.24616,2.9441
0.24715,2.9549
0.24815,2.9657
0.24915,2.9764
0.25014,2.9867
0.25114,2.9942
0.25214,3.0017
0.25313,3.0092
0.25413,3.0167
0.25513,3.0242
0.25612,3.0317
0.25712,3.0392
0.25812,3.0453
0.25911,3.0483
0.26011,3.0514
0.26111,3.0544
0.2621,3.0574
0.2631,3.0604
0.2641,3.0635
0.26509,3.0665
0.26609,3.0677
