X,Y
0.0006192,0.0012459
0.0018576,0.00028587
0.003096,0.00033
0.0043344,0.0003915
0.0055728,0.00048425
0.0068112,0.00057025
0.0080496,0.00066887
0.009288,0.00077812
0.010526,0.00091887
0.011765,0.0010773
0.013003,0.0012525
0.014242,0.0014586
0.01548,0.0016974
0.016718,0.001944
0.017957,0.0022468
0.019195,0.0025719
0.020434,0.0029136
0.021672,0.0032966
0.02291,0.0037008
0.024149,0.004211
0.025387,0.0047095
0.026626,0.0052534
0.027864,0.0058336
0.029102,0.0065188
0.030341,0.0071704
0.031579,0.0078878
0.032818,0.0086268
0.034056,0.0094448
0.035294,0.010238
0.036533,0.011156
0.037771,0.012054
0.03901,0.012936
0.040248,0.013785
0.041486,0.014887
0.042725,0.015706
0.043963,0.016615
0.045202,0.017519
0.04644,0.018395
0.047678,0.019251
0.048917,0.02023
0.050155,0.020834
0.051394,0.021585
0.052632,0.022222
0.05387,0.02286
0.055109,0.0233
0.056347,0.023756
0.057586,0.024078
0.058824,0.02442
0.060062,0.024591
0.061301,0.024611
0.062539,0.024674
0.063778,0.024567
0.065016,0.024404
0.066254,0.024085
0.067493,0.023754
0.068731,0.023234
0.06997,0.022632
0.071208,0.022122
0.072446,0.021528
0.073685,0.020722
0.074923,0.019916
0.076162,0.019105
0.0774,0.018251
0.078638,0.017347
0.079877,0.016471
0.081115,0.015446
0.082354,0.014551
0.083592,0.0137
0.08483,0.012702
0.086069,0.011873
0.087307,0.010901
0.088546,0.010088
0.089784,0.009239
0.091022,0.0084891
0.092261,0.007765
0.093499,0.0070326
0.094738,0.0063304
0.095976,0.0057345
0.097214,0.0051202
0.098453,0.0046311
0.099691,0.0041122
0.10093,0.0036186
0.10217,0.0032286
0.10341,0.0028151
0.10464,0.0024704
0.10588,0.0021756
0.10712,0.0019064
0.10836,0.0016426
0.1096,0.0013954
0.11084,0.0012214
0.11208,0.001047
0.11331,0.00090475
0.11455,0.0007465
0.11579,0.000646
0.11703,0.00053625
0.11827,0.00044062
0.11951,0.000386
0.12074,0.00031775
0.12198,0.000269
0.12322,0.0011868
