X,Y
0.00058623,0.0012831
0.0017587,0.00019513
0.0029312,0.00024413
0.0041036,0.00026388
0.0052761,0.00031075
0.0064485,0.00035388
0.007621,0.00039762
0.0087935,0.00044438
0.0099659,0.0005115
0.011138,0.00060138
0.012311,0.0006525
0.013483,0.00072413
0.014656,0.00082012
0.015828,0.00091663
0.017001,0.0010185
0.018173,0.0011195
0.019346,0.0012619
0.020518,0.0013981
0.021691,0.0015532
0.022863,0.0017407
0.024035,0.0018929
0.025208,0.002119
0.02638,0.0023404
0.027553,0.002531
0.028725,0.0028201
0.029898,0.0030516
0.03107,0.003368
0.032243,0.0036555
0.033415,0.003944
0.034588,0.0043105
0.03576,0.0046669
0.036933,0.0050451
0.038105,0.0054514
0.039278,0.0058985
0.04045,0.0063579
0.041622,0.006725
0.042795,0.0072479
0.043967,0.0077581
0.04514,0.0082699
0.046312,0.0088083
0.047485,0.009323
0.048657,0.0099109
0.04983,0.010474
0.051002,0.011127
0.052175,0.011683
0.053347,0.012316
0.05452,0.01289
0.055692,0.013476
0.056864,0.014141
0.058037,0.014646
0.059209,0.015336
0.060382,0.015913
0.061554,0.016584
0.062727,0.017174
0.063899,0.017681
0.065072,0.01831
0.066244,0.018649
0.067417,0.019308
0.068589,0.019729
0.069762,0.020091
0.070934,0.020451
0.072106,0.02076
0.073279,0.021087
0.074451,0.02134
0.075624,0.021525
0.076796,0.021722
0.077969,0.021721
0.079141,0.021851
0.080314,0.021895
0.081486,0.021774
0.082659,0.021704
0.083831,0.021366
0.085004,0.021184
0.086176,0.020896
0.087348,0.020495
0.088521,0.02013
0.089693,0.019505
0.090866,0.019116
0.092038,0.018466
0.093211,0.017858
0.094383,0.017112
0.095556,0.016515
0.096728,0.015656
0.097901,0.01481
0.099073,0.013964
0.10025,0.013003
0.10142,0.012115
0.10259,0.011225
0.10376,0.010281
0.10494,0.0092585
0.10611,0.0082956
0.10728,0.0072997
0.10845,0.0063234
0.10963,0.0052905
0.1108,0.0043612
0.11197,0.003429
0.11314,0.0025194
0.11432,0.0016665
0.11549,0.00093262
0.11666,0.000261
