X,Y
0.0035799,0.000261
0.0047524,0.00093262
0.0059249,0.0016665
0.0070973,0.0025194
0.0082698,0.003429
0.0094422,0.0043612
0.010615,0.0052905
0.011787,0.0063234
0.01296,0.0072997
0.014132,0.0082956
0.015305,0.0092585
0.016477,0.010281
0.017649,0.011225
0.018822,0.012115
0.019994,0.013003
0.021167,0.013964
0.022339,0.01481
0.023512,0.015656
0.024684,0.016515
0.025857,0.017112
0.027029,0.017858
0.028202,0.018466
0.029374,0.019116
0.030547,0.019505
0.031719,0.02013
0.032892,0.020495
0.034064,0.020896
0.035236,0.021184
0.036409,0.021366
0.037581,0.021704
0.038754,0.021774
0.039926,0.021895
0.041099,0.021851
0.042271,0.021721
0.043444,0.021722
0.044616,0.021525
0.045789,0.02134
0.046961,0.021087
0.048134,0.02076
0.049306,0.020451
0.050478,0.020091
0.051651,0.019729
0.052823,0.019308
0.053996,0.018649
0.055168,0.01831
0.056341,0.017681
0.057513,0.017174
0.058686,0.016584
0.059858,0.015913
0.061031,0.015336
0.062203,0.014646
0.063376,0.014141
0.064548,0.013476
0.06572,0.01289
0.066893,0.012316
0.068065,0.011683
0.069238,0.011127
0.07041,0.010474
0.071583,0.0099109
0.072755,0.009323
0.073928,0.0088083
0.0751,0.0082699
0.076273,0.0077581
0.077445,0.0072479
0.078618,0.006725
0.07979,0.0063579
0.080962,0.0058985
0.082135,0.0054514
0.083307,0.0050451
0.08448,0.0046669
0.085652,0.0043105
0.086825,0.003944
0.087997,0.0036555
0.08917,0.003368
0.090342,0.0030516
0.091515,0.0028201
0.092687,0.002531
0.09386,0.0023404
0.095032,0.002119
0.096205,0.0018929
0.097377,0.0017407
0.098549,0.0015532
0.099722,0.0013981
0.10089,0.0012619
0.10207,0.0011195
0.10324,0.0010185
0.10441,0.00091663
0.10558,0.00082012
0.10676,0.00072413
0.10793,0.0006525
0.1091,0.00060138
0.11027,0.0005115
0.11145,0.00044438
0.11262,0.00039762
0.11379,0.00035388
0.11496,0.00031075
0.11614,0.00026388
0.11731,0.00024413
0.11848,0.00019513
0.11965,0.0012831
