X,Y
1.173,3.8196
1.174,3.8587
1.175,3.8979
1.176,3.937
1.177,3.9761
1.178,4.0152
1.179,4.0544
1.18,4.0964
1.181,4.1458
1.182,4.1952
1.183,4.2446
1.184,4.2941
1.1849,4.3435
1.1859,4.3929
1.1869,4.4423
1.1879,4.4921
1.1889,4.5422
1.1899,4.5923
1.1909,4.6424
1.1919,4.6925
1.1929,4.7426
1.1939,4.7927
1.1949,4.8428
1.1959,4.8882
1.1969,4.9305
1.1979,4.9727
1.1989,5.015
1.1999,5.0572
1.2009,5.0995
1.2019,5.1418
1.2029,5.184
1.2039,5.2142
1.2049,5.2405
1.2059,5.2669
1.2069,5.2932
1.2079,5.3196
1.2089,5.3459
1.2099,5.3723
1.2109,5.3986
1.2119,5.406
1.2129,5.4117
1.2138,5.4174
1.2148,5.4231
1.2158,5.4288
1.2168,5.4345
1.2178,5.4402
1.2188,5.4443
