X,Y
0,0.042777
0.0020017,0.043812
0.0040033,0.044886
0.006005,0.045907
0.0080067,0.047003
0.010008,0.048119
0.01201,0.049228
0.014012,0.050317
0.016013,0.051413
0.018015,0.052375
0.020017,0.053261
0.022018,0.054085
0.02402,0.054848
0.026022,0.055523
0.028023,0.056106
0.030025,0.056586
0.032027,0.05694
0.034028,0.057156
0.03603,0.057248
0.038032,0.057206
0.040033,0.057024
0.042035,0.0567
0.044037,0.056224
0.046038,0.055644
0.04804,0.054914
0.050042,0.054091
0.052043,0.053158
0.054045,0.05215
0.056047,0.050976
0.058048,0.049687
0.06005,0.04834
0.062052,0.046942
0.064053,0.045546
0.066055,0.044121
0.068057,0.042658
0.070058,0.041164
0.07206,0.039773
0.074062,0.038336
0.076063,0.037014
0.078065,0.035761
0.080067,0.034478
0.082068,0.033345
0.08407,0.032327
0.086072,0.031435
0.088073,0.030647
0.090075,0.029925
0.092077,0.029323
0.094078,0.028907
0.09608,0.028539
0.098082,0.028325
0.10008,0.028278
0.10209,0.028353
0.10409,0.028581
0.10609,0.028939
0.10809,0.029325
0.11009,0.029881
0.11209,0.030519
0.1141,0.031183
0.1161,0.031888
0.1181,0.032662
0.1201,0.033519
0.1221,0.034385
0.1241,0.035331
0.12611,0.036292
0.12811,0.037155
0.13011,0.038041
0.13211,0.038917
0.13411,0.039799
0.13611,0.04058
0.13812,0.041357
0.14012,0.0421
0.14212,0.042749
0.14412,0.043356
0.14612,0.043879
0.14812,0.044347
0.15013,0.044716
0.15213,0.045029
0.15413,0.045258
0.15613,0.04541
0.15813,0.045506
0.16013,0.045544
0.16214,0.045516
0.16414,0.045437
0.16614,0.045319
0.16814,0.045148
0.17014,0.044943
0.17214,0.044694
0.17415,0.044439
0.17615,0.044134
0.17815,0.043835
0.18015,0.043539
0.18215,0.043254
0.18415,0.042968
0.18616,0.042717
0.18816,0.042504
0.19016,0.042318
0.19216,0.042198
0.19416,0.0421
0.19616,0.04208
0.19817,0.042123
0.20017,0.04224
0.20217,0.042427
0.20417,0.042708
0.20617,0.043061
0.20817,0.043527
0.21018,0.044083
0.21218,0.044734
0.21418,0.045464
0.21618,0.046281
0.21818,0.047251
0.22018,0.048311
0.22219,0.04948
0.22419,0.050757
0.22619,0.052111
0.22819,0.053466
0.23019,0.054915
0.23219,0.056485
0.2342,0.058159
0.2362,0.059883
0.2382,0.061633
0.2402,0.063397
0.2422,0.065198
0.2442,0.067002
0.24621,0.068794
0.24821,0.070589
0.25021,0.072336
0.25221,0.074055
0.25421,0.075772
0.25621,0.077345
0.25822,0.078816
0.26022,0.080202
0.26222,0.081459
0.26422,0.082599
0.26622,0.083608
0.26822,0.084461
0.27023,0.085167
0.27223,0.085693
0.27423,0.086044
0.27623,0.086219
0.27823,0.086205
0.28023,0.085998
0.28224,0.085617
0.28424,0.08505
0.28624,0.084314
0.28824,0.083397
0.29024,0.082337
0.29224,0.081164
0.29425,0.079828
0.29625,0.07839
0.29825,0.076841
0.30025,0.075194
0.30225,0.073435
0.30425,0.071705
0.30626,0.069926
0.30826,0.068166
0.31026,0.066424
0.31226,0.064679
0.31426,0.062998
0.31626,0.061391
0.31827,0.059872
0.32027,0.05844
0.32227,0.057128
0.32427,0.055992
0.32627,0.054978
0.32827,0.054179
0.33028,0.053541
0.33228,0.053075
0.33428,0.05279
0.33628,0.052676
0.33828,0.052727
0.34028,0.05294
0.34229,0.053344
0.34429,0.053878
0.34629,0.054589
0.34829,0.055451
0.35029,0.056446
0.35229,0.057609
0.3543,0.058843
0.3563,0.060161
0.3583,0.061554
0.3603,0.062994
0.3623,0.064469
0.3643,0.065954
0.36631,0.067419
0.36831,0.068878
0.37031,0.070342
0.37231,0.07172
0.37431,0.073039
0.37631,0.074333
0.37832,0.075564
0.38032,0.076652
0.38232,0.077634
0.38432,0.078509
0.38632,0.079277
0.38832,0.079921
0.39033,0.080459
0.39233,0.080896
0.39433,0.081188
0.39633,0.081362
0.39833,0.081438
0.40033,0.081416
0.40234,0.081296
0.40434,0.081104
0.40634,0.080806
0.40834,0.080421
0.41034,0.079968
0.41234,0.079477
0.41435,0.078908
0.41635,0.078324
0.41835,0.077684
0.42035,0.077028
0.42235,0.076338
0.42435,0.075658
0.42636,0.074936
0.42836,0.074203
0.43036,0.073496
0.43236,0.072811
0.43436,0.072151
0.43636,0.071516
0.43837,0.070881
0.44037,0.070296
0.44237,0.069715
0.44437,0.069157
0.44637,0.068665
0.44837,0.068187
0.45038,0.067726
0.45238,0.067314
0.45438,0.066917
0.45638,0.066574
0.45838,0.066254
0.46038,0.065954
0.46239,0.065679
0.46439,0.065437
0.46639,0.065222
0.46839,0.065028
0.47039,0.064873
0.47239,0.064736
0.4744,0.064623
0.4764,0.06452
0.4784,0.06444
0.4804,0.064384
0.4824,0.064331
0.4844,0.06429
0.48641,0.064255
0.48841,0.064227
0.49041,0.064197
0.49241,0.064166
0.49441,0.064134
0.49641,0.064094
0.49842,0.064036
0.50042,0.063959
0.50242,0.06387
0.50442,0.063746
0.50642,0.063606
0.50842,0.063432
0.51043,0.063233
0.51243,0.063013
0.51443,0.062745
0.51643,0.062437
0.51843,0.06211
0.52043,0.061741
0.52244,0.061354
0.52444,0.060935
0.52644,0.060455
0.52844,0.059967
0.53044,0.059478
0.53244,0.058949
0.53445,0.058431
0.53645,0.057908
0.53845,0.0574
0.54045,0.056892
0.54245,0.056413
0.54445,0.056003
0.54646,0.055607
0.54846,0.055239
0.55046,0.054962
0.55246,0.054745
0.55446,0.054605
0.55646,0.05452
0.55847,0.054523
0.56047,0.054623
0.56247,0.05479
0.56447,0.055035
0.56647,0.055391
0.56847,0.05584
0.57048,0.056346
0.57248,0.056953
0.57448,0.057638
0.57648,0.058377
0.57848,0.059182
0.58048,0.060024
0.58249,0.060933
0.58449,0.061814
0.58649,0.062734
0.58849,0.063651
0.59049,0.064568
0.59249,0.065457
0.5945,0.066334
0.5965,0.067134
0.5985,0.067901
0.6005,0.068614
0.6025,0.069238
0.6045,0.06983
0.60651,0.070352
0.60851,0.070762
0.61051,0.071114
0.61251,0.071396
0.61451,0.071602
0.61651,0.071744
0.61852,0.071829
0.62052,0.071865
0.62252,0.071865
0.62452,0.071843
0.62652,0.071806
0.62852,0.071773
0.63053,0.071758
0.63253,0.071777
0.63453,0.071839
0.63653,0.071975
0.63853,0.07217
0.64053,0.072464
0.64254,0.072856
0.64454,0.073365
0.64654,0.074013
0.64854,0.074803
0.65054,0.075722
0.65254,0.076729
0.65455,0.077882
0.65655,0.079147
0.65855,0.080551
0.66055,0.082042
0.66255,0.083666
0.66455,0.085392
0.66656,0.087159
0.66856,0.088962
0.67056,0.09085
0.67256,0.092737
0.67456,0.094574
0.67656,0.096388
0.67857,0.098165
0.68057,0.099918
0.68257,0.10148
0.68457,0.10293
0.68657,0.10424
0.68857,0.10546
0.69058,0.10644
0.69258,0.10727
0.69458,0.10788
0.69658,0.10831
0.69858,0.1085
0.70058,0.10849
0.70259,0.10829
0.70459,0.10783
0.70659,0.10722
0.70859,0.10641
0.71059,0.10546
0.71259,0.10431
0.7146,0.10309
0.7166,0.10174
0.7186,0.10034
0.7206,0.09883
0.7226,0.097285
0.7246,0.095726
0.72661,0.09421
0.72861,0.092758
0.73061,0.091331
0.73261,0.089984
0.73461,0.088756
0.73661,0.08768
0.73862,0.086747
0.74062,0.085954
0.74262,0.085325
0.74462,0.084854
0.74662,0.084572
0.74862,0.084472
0.75063,0.084545
0.75263,0.084788
0.75463,0.085198
0.75663,0.085755
0.75863,0.086444
0.76063,0.087228
0.76264,0.088109
0.76464,0.089074
0.76664,0.09013
0.76864,0.091208
0.77064,0.092322
0.77264,0.093384
0.77465,0.09444
0.77665,0.095438
0.77865,0.096405
0.78065,0.097305
0.78265,0.098083
0.78465,0.0988
0.78666,0.099404
0.78866,0.099879
0.79066,0.10023
0.79266,0.10045
0.79466,0.10058
0.79666,0.10059
0.79867,0.10049
0.80067,0.10031
0.80267,0.10006
0.80467,0.099745
0.80667,0.099352
0.80867,0.098944
0.81068,0.098497
0.81268,0.098075
0.81468,0.097668
0.81668,0.097328
0.81868,0.097012
0.82068,0.096766
0.82269,0.096584
0.82469,0.096515
0.82669,0.096538
0.82869,0.09668
0.83069,0.096919
0.83269,0.09727
0.8347,0.097714
0.8367,0.098274
0.8387,0.098971
0.8407,0.099735
0.8427,0.10055
0.8447,0.1014
0.84671,0.10231
0.84871,0.10327
0.85071,0.10423
0.85271,0.10525
0.85471,0.10619
0.85671,0.10712
0.85872,0.10799
0.86072,0.10877
0.86272,0.10943
0.86472,0.11003
0.86672,0.11053
0.86872,0.11087
0.87073,0.1111
0.87273,0.11119
0.87473,0.11109
0.87673,0.11087
0.87873,0.1105
0.88073,0.10999
0.88274,0.10933
0.88474,0.10862
0.88674,0.10776
0.88874,0.10679
0.89074,0.10572
0.89274,0.10459
0.89475,0.10342
0.89675,0.1022
0.89875,0.10098
0.90075,0.099772
0.90275,0.098494
0.90475,0.097282
0.90676,0.096089
0.90876,0.094959
