x,Curve1
5.22799,0.357019
6.40258,0.518782
6.53367,0.937086
6.80395,0.920696
8.92706,1.50199
9.75972,1.64349
12.5992,2.34623
15.3675,2.71679
15.874,3.06576
16.5307,3.13641
18.5927,3.27863
20.3269,3.57681
20.4095,3.7684
22.0435,4.06627
24.3944,4.12104
26.9961,4.64583
29.3947,4.82205
33.0614,5.2428
34.8503,5.47043
37.7933,5.52469
39.8382,5.75232
43.3779,6.05039
46.0972,6.41749
53.3395,6.57783
59.0282,7.03298
69.4186,7.47226
84.6712,7.96467
99.9799,8.36924
121.454,8.98341
141.68,9.14395
171.414,9.4969
194.366,9.88303
