X,Y
0,0.023988
0.0020017,0.024243
0.0040033,0.024419
0.006005,0.024524
0.0080067,0.024551
0.010008,0.024514
0.01201,0.024416
0.014012,0.024263
0.016013,0.024076
0.018015,0.023852
0.020017,0.023595
0.022018,0.023345
0.02402,0.02311
0.026022,0.022876
0.028023,0.02265
0.030025,0.022452
0.032027,0.022292
0.034028,0.022181
0.03603,0.022133
0.038032,0.022145
0.040033,0.02222
0.042035,0.022385
0.044037,0.022618
0.046038,0.022931
0.04804,0.023301
0.050042,0.023779
0.052043,0.024345
0.054045,0.024986
0.056047,0.025715
0.058048,0.026478
0.06005,0.027312
0.062052,0.028181
0.064053,0.029102
0.066055,0.030082
0.068057,0.031041
0.070058,0.032054
0.07206,0.033098
0.074062,0.034136
0.076063,0.03513
0.078065,0.036101
0.080067,0.037078
0.082068,0.038001
0.08407,0.038918
0.086072,0.039788
0.088073,0.040604
0.090075,0.041386
0.092077,0.042091
0.094078,0.042753
0.09608,0.043366
0.098082,0.043941
0.10008,0.044475
0.10209,0.044941
0.10409,0.045378
0.10609,0.045774
0.10809,0.046131
0.11009,0.046482
0.11209,0.046805
0.1141,0.04711
0.1161,0.047413
0.1181,0.047701
0.1201,0.04799
0.1221,0.048285
0.1241,0.048562
0.12611,0.048866
0.12811,0.049174
0.13011,0.049484
0.13211,0.049778
0.13411,0.050086
0.13611,0.050412
0.13812,0.050708
0.14012,0.050995
0.14212,0.051261
0.14412,0.051504
0.14612,0.051709
0.14812,0.051884
0.15013,0.052012
0.15213,0.052072
0.15413,0.05207
0.15613,0.051996
0.15813,0.051825
0.16013,0.051581
0.16214,0.051231
0.16414,0.050785
0.16614,0.050232
0.16814,0.049559
0.17014,0.048762
0.17214,0.047858
0.17415,0.046853
0.17615,0.045753
0.17815,0.044539
0.18015,0.043199
0.18215,0.041782
0.18415,0.040261
0.18616,0.038659
0.18816,0.036993
0.19016,0.035276
0.19216,0.033529
0.19416,0.031677
0.19616,0.029872
0.19817,0.028039
0.20017,0.026218
0.20217,0.024401
0.20417,0.022659
0.20617,0.020925
0.20817,0.019279
0.21018,0.017667
0.21218,0.016165
0.21418,0.014772
0.21618,0.013474
0.21818,0.012244
0.22018,0.011148
0.22219,0.010195
0.22419,0.0093996
0.22619,0.0086769
0.22819,0.0080542
0.23019,0.0075618
0.23219,0.0071808
0.2342,0.0069358
0.2362,0.0067956
0.2382,0.0067699
0.2402,0.0068284
0.2422,0.006992
0.2442,0.0072322
0.24621,0.0075773
0.24821,0.0079425
0.25021,0.008424
0.25221,0.0088906
0.25421,0.0093973
0.25621,0.0099258
0.25822,0.010449
0.26022,0.011006
0.26222,0.011618
0.26422,0.012174
0.26622,0.01277
0.26822,0.013368
0.27023,0.013936
0.27223,0.014465
0.27423,0.015008
0.27623,0.0155
0.27823,0.015996
0.28023,0.016483
0.28224,0.016959
0.28424,0.017408
0.28624,0.017818
0.28824,0.018248
0.29024,0.018653
0.29224,0.01906
0.29425,0.019447
0.29625,0.019807
0.29825,0.020155
0.30025,0.020483
0.30225,0.020809
0.30425,0.021109
0.30626,0.021397
0.30826,0.021676
0.31026,0.021935
0.31226,0.02215
0.31426,0.022335
0.31626,0.022483
0.31827,0.022588
0.32027,0.022653
0.32227,0.022664
0.32427,0.022627
0.32627,0.022531
0.32827,0.022375
0.33028,0.022156
0.33228,0.021864
0.33428,0.021499
0.33628,0.021072
0.33828,0.020596
0.34028,0.020056
0.34229,0.019462
0.34429,0.018772
0.34629,0.018052
0.34829,0.017313
0.35029,0.016518
0.35229,0.015713
0.3543,0.014927
0.3563,0.014118
0.3583,0.013312
0.3603,0.012514
0.3623,0.011798
0.3643,0.011103
0.36631,0.010517
0.36831,0.010042
0.37031,0.0096279
0.37231,0.0093795
0.37431,0.0092392
