X,Y
0.7604,2.4428
0.7614,2.5117
0.76239,2.5806
0.76339,2.6496
0.76439,2.7185
0.76538,2.7874
0.76638,2.8539
0.76738,2.9195
0.76837,2.9852
0.76937,3.0508
0.77037,3.1165
0.77136,3.1821
0.77236,3.2478
0.77336,3.3134
0.77435,3.3664
0.77535,3.4183
0.77635,3.4702
0.77734,3.522
0.77834,3.5739
0.77933,3.6258
0.78033,3.6776
0.78133,3.7281
0.78232,3.762
0.78332,3.7959
0.78432,3.8299
0.78531,3.8638
0.78631,3.8977
0.78731,3.9316
0.7883,3.9656
0.7893,3.9946
0.7903,4.008
0.79129,4.0215
0.79229,4.0349
0.79329,4.0483
0.79428,4.0618
0.79528,4.0752
0.79628,4.0887
0.79727,4.0943
