X,Y
5.61,0.0032762
5.6283,0.0047269
5.6466,0.0067239
5.6648,0.00943
5.6831,0.01304
5.7014,0.01778
5.7197,0.023907
5.738,0.031702
5.7563,0.041459
5.7745,0.053477
5.7928,0.068043
5.8111,0.085408
5.8294,0.10577
5.8477,0.12925
5.866,0.15587
5.8842,0.18553
5.9025,0.21802
5.9208,0.25298
5.9391,0.28993
5.9574,0.32827
5.9757,0.36735
5.9939,0.40644
6.0122,0.44482
6.0305,0.48184
6.0488,0.51693
6.0671,0.54965
6.0854,0.57975
6.1036,0.60718
6.1219,0.63206
6.1402,0.65472
6.1585,0.67563
6.1768,0.69536
6.1951,0.71452
6.2133,0.73374
6.2316,0.75355
6.2499,0.77438
6.2682,0.79647
6.2865,0.81993
6.3047,0.84464
6.323,0.87036
6.3413,0.89669
6.3596,0.92316
6.3779,0.94927
6.3962,0.97454
6.4144,0.99855
6.4327,1.021
6.451,1.0416
6.4693,1.0604
6.4876,1.0772
6.5059,1.0923
6.5241,1.1057
6.5424,1.1176
6.5607,1.1281
6.579,1.1371
6.5973,1.1446
6.6156,1.1504
6.6338,1.1543
6.6521,1.1559
6.6704,1.1548
6.6887,1.1505
6.707,1.1426
6.7253,1.1308
6.7435,1.1148
6.7618,1.0943
6.7801,1.0692
6.7984,1.0397
6.8167,1.0058
6.8349,0.96784
6.8532,0.92614
6.8715,0.88115
6.8898,0.83338
6.9081,0.78336
6.9264,0.73166
6.9446,0.67887
6.9629,0.62556
6.9812,0.57232
6.9995,0.5197
7.0178,0.46821
7.0361,0.41837
7.0543,0.37062
7.0726,0.32537
7.0909,0.28295
7.1092,0.24365
7.1275,0.20767
7.1458,0.17512
7.164,0.14605
7.1823,0.12043
7.2006,0.09814
7.2189,0.079019
7.2372,0.062844
7.2555,0.049353
7.2737,0.038263
7.292,0.02928
7.3103,0.02211
7.3286,0.016473
7.3469,0.012107
7.3652,0.0087765
7.3834,0.0062745
7.4017,0.0044233
7.42,0.0030747
