X,Y
0,0
0.1,1.314e-15
0.2,4.9213e-16
0.22361,2.2517e-15
0.28284,6.1333e-16
0.3,1.1975e-15
0.36056,7.7516e-16
0.4,3.3237e-15
0.41231,4.2823e-15
0.44721,8.747e-16
0.5,5.5975e-15
0.53852,3.0352e-15
0.56569,4.5561e-16
0.6,3.8091e-15
0.60828,4.4748e-15
0.63246,3.378e-15
0.64031,8.672e-15
0.67082,1.3055e-16
0.7,3.3966e-15
0.72111,1.6612e-15
0.72801,1.0699e-15
0.78102,5.8787e-15
0.8,1.0334e-15
0.80623,1.0761e-14
0.82462,3.877e-15
0.84853,1.961e-14
0.8544,4.8468e-15
0.89443,2.7068e-15
0.9,2.6258e-15
0.92195,2.7081e-15
0.9434,1.1379e-15
0.98489,1.1316e-15
1,2.1409e-05
1.005,2.1303e-05
1.0198,2.0993e-05
1.044,2.0507e-05
1.063,2.0141e-05
1.077,1.9878e-05
1.0817,1.9793e-05
1.1,1.9463e-05
1.118,1.915e-05
1.118,1.9149e-05
1.1314,1.8924e-05
1.1662,1.8358e-05
1.1705,1.8292e-05
1.2,1.7841e-05
1.2042,1.7779e-05
1.2166,1.7598e-05
1.2207,1.754e-05
1.2369,1.731e-05
1.253,1.7087e-05
1.2649,1.6926e-05
1.2806,1.6717e-05
1.3,1.6469e-05
1.3,1.6469e-05
1.3153,1.6277e-05
1.3416,1.5957e-05
1.3454,1.5913e-05
1.3601,1.574e-05
1.3601,1.5741e-05
1.3892,1.5411e-05
1.4,1.5293e-05
1.4036,1.5254e-05
1.4142,1.5138e-05
1.4142,1.514e-05
1.4318,1.4953e-05
1.4318,1.4953e-05
1.4422,1.4845e-05
1.456,1.4704e-05
1.4866,1.4402e-05
1.5,1.4273e-05
1.5,1.4274e-05
1.5133,1.4147e-05
1.5232,1.4057e-05
1.5264,1.4026e-05
1.5524,1.3791e-05
1.562,1.3705e-05
1.5652,1.3678e-05
1.6,1.3381e-05
1.6031,1.3354e-05
1.6125,1.3278e-05
1.6155,1.3252e-05
1.6279,1.3151e-05
1.6401,1.3053e-05
1.6492,1.2982e-05
1.6643,1.2864e-05
1.6763,1.2771e-05
1.6971,1.2616e-05
1.7,1.2594e-05
1.7088,1.253e-05
1.7117,1.2507e-05
1.7205,1.2444e-05
1.7464,1.2258e-05
1.7692,1.2101e-05
1.7804,1.2023e-05
1.7889,1.1968e-05
1.8,1.1895e-05
1.8028,1.1876e-05
1.8111,1.1821e-05
1.8248,1.1732e-05
1.8358,1.1663e-05
1.8439,1.1611e-05
1.8682,1.1461e-05
1.8788,1.1395e-05
1.8868,1.1348e-05
1.8974,1.1284e-05
1.9,1.1269e-05
1.9105,1.1206e-05
1.9105,1.1207e-05
1.9209,1.1145e-05
1.9313,1.1086e-05
1.9416,1.1027e-05
1.9698,1.087e-05
1.9723,1.0855e-05
1.9799,1.0814e-05
1.9925,1.0746e-05
2,1.0705e-05
2.0025,1.0692e-05
2.01,1.0652e-05
2.0125,1.0639e-05
2.0224,1.0587e-05
2.0396,1.0497e-05
2.0518,1.0434e-05
2.0591,1.0397e-05
2.0616,1.0386e-05
2.0809,1.0289e-05
2.0881,1.0254e-05
2.1,1.0194e-05
2.1095,1.0148e-05
2.119,1.0104e-05
2.126,1.007e-05
2.1378,1.0015e-05
2.1471,9.971e-06
2.1541,9.9401e-06
2.1633,9.897e-06
2.184,9.8029e-06
2.1932,9.7613e-06
2.2,9.7316e-06
2.2023,9.7213e-06
2.2023,9.7219e-06
2.2091,9.6906e-06
2.2204,9.642e-06
2.2361,9.5753e-06
2.2361,9.5758e-06
2.2472,9.5264e-06
2.2561,9.4893e-06
2.2627,9.4616e-06
2.2804,9.3884e-06
2.2804,9.3885e-06
2.2825,9.3804e-06
2.3,9.3086e-06
2.3087,9.2734e-06
2.3259,9.2041e-06
2.3324,9.179e-06
2.3345,9.1704e-06
2.3409,9.1453e-06
2.3431,9.1371e-06
2.3601,9.0711e-06
2.377,9.0075e-06
2.377,9.0072e-06
2.3854,8.9757e-06
2.4,8.9207e-06
2.4021,8.9125e-06
2.4083,8.89e-06
2.4166,8.8594e-06
2.4187,8.8521e-06
2.4187,8.851e-06
2.4331,8.7994e-06
2.4352,8.7919e-06
2.4413,8.7689e-06
2.4515,8.7327e-06
2.4597,8.704e-06
2.4739,8.6548e-06
2.4759,8.6477e-06
2.4839,8.6187e-06
2.5,8.564e-06
2.506,8.5434e-06
2.508,8.5357e-06
2.508,8.5363e-06
2.5239,8.4829e-06
2.5298,8.4627e-06
2.5318,8.4559e-06
2.5456,8.4104e-06
2.5554,8.378e-06
2.5612,8.3585e-06
2.5632,8.3527e-06
2.571,8.3272e-06
2.5942,8.2536e-06
2.6,8.2347e-06
2.6,8.2339e-06
2.6019,8.2283e-06
2.6077,8.21e-06
2.6077,8.2105e-06
2.6173,8.181e-06
2.6173,8.1801e-06
2.6249,8.1565e-06
2.6306,8.1386e-06
2.6401,8.1096e-06
2.6476,8.0854e-06
2.6627,8.0411e-06
2.6683,8.0238e-06
2.6833,7.9793e-06
2.6907,7.9565e-06
2.6926,7.9512e-06
2.6926,7.9524e-06
2.7,7.9294e-06
2.7074,7.9078e-06
2.7203,7.8697e-06
2.7203,7.8711e-06
2.7295,7.8436e-06
2.7295,7.8431e-06
2.7514,7.7811e-06
2.7586,7.7615e-06
2.7659,7.7401e-06
2.7659,7.7405e-06
2.7731,7.7201e-06
2.7785,7.706e-06
2.7803,7.7001e-06
2.7857,7.6855e-06
2.8,7.6455e-06
2.8018,7.6414e-06
2.8018,7.6419e-06
2.8071,7.6266e-06
2.816,7.6031e-06
2.8231,7.5836e-06
2.8284,7.5695e-06
2.8284,7.5699e-06
2.8302,7.5638e-06
2.8425,7.532e-06
2.8443,7.5275e-06
2.8636,7.4771e-06
2.8636,7.4769e-06
2.8653,7.4715e-06
2.8792,7.4358e-06
2.8844,7.4221e-06
2.8862,7.4177e-06
2.9,7.3828e-06
2.9069,7.3654e-06
2.9069,7.365e-06
2.912,7.3521e-06
2.9206,7.3306e-06
2.9275,7.3132e-06
2.9411,7.279e-06
2.9411,7.279e-06
2.953,7.2514e-06
2.9547,7.2472e-06
2.9614,7.2298e-06
2.9682,7.2131e-06
2.9732,7.2008e-06
3,7.137e-06
3,7.1359e-06
3.0017,7.1326e-06
3.0017,7.133e-06
3.0067,7.1213e-06
3.0083,7.1171e-06
3.0083,7.1172e-06
3.015,7.1013e-06
3.0265,7.0734e-06
3.0414,7.0396e-06
3.0463,7.0283e-06
3.048,7.0244e-06
3.0529,7.0124e-06
3.0594,6.998e-06
3.061,6.9944e-06
3.0676,6.9794e-06
3.0806,6.9488e-06
3.0806,6.9504e-06
3.0871,6.935e-06
3.1,6.9067e-06
3.1048,6.8966e-06
3.1064,6.892e-06
3.1064,6.8917e-06
3.1113,6.8818e-06
3.1241,6.8524e-06
3.1257,6.8494e-06
3.1305,6.8386e-06
3.1321,6.8356e-06
3.1385,6.8214e-06
3.1385,6.8217e-06
3.1575,6.7796e-06
3.1623,6.7698e-06
3.1623,6.7701e-06
3.1765,6.7397e-06
3.1828,6.7263e-06
3.189,6.7139e-06
3.1953,6.6999e-06
3.2,6.6907e-06
3.2016,6.6875e-06
3.2062,6.678e-06
3.214,6.6609e-06
3.2202,6.6482e-06
3.2249,6.6392e-06
3.2311,6.6264e-06
3.2388,6.611e-06
3.245,6.5983e-06
3.2558,6.5754e-06
3.2573,6.5728e-06
3.2696,6.548e-06
3.2757,6.5356e-06
3.2802,6.527e-06
3.2985,6.49e-06
3.3,6.4876e-06
3.3061,6.4754e-06
3.3106,6.4671e-06
3.3121,6.4641e-06
3.3242,6.4403e-06
3.3242,6.4413e-06
3.3287,6.4324e-06
3.3302,6.4287e-06
3.3422,6.4058e-06
3.3526,6.3853e-06
3.3541,6.3827e-06
3.3541,6.3837e-06
3.3601,6.3719e-06
3.3838,6.3268e-06
3.3941,6.3074e-06
3.3956,6.3049e-06
3.4,6.2975e-06
3.4015,6.2945e-06
3.4015,6.2946e-06
3.4059,6.286e-06
3.4132,6.2721e-06
3.4176,6.2648e-06
3.4234,6.2541e-06
3.4366,6.2296e-06
3.4409,6.2226e-06
3.4482,6.2092e-06
3.4482,6.2092e-06
3.4525,6.2016e-06
3.454,6.1987e-06
3.4655,6.1782e-06
3.4713,6.1681e-06
3.4713,6.1672e-06
3.4828,6.147e-06
3.4886,6.1368e-06
3.4928,6.1297e-06
3.4986,6.1198e-06
3.5,6.1165e-06
3.5057,6.1067e-06
3.5114,6.0965e-06
3.5171,6.0879e-06
3.5228,6.0776e-06
3.5228,6.0781e-06
3.5341,6.0575e-06
3.5384,6.0509e-06
3.544,6.0408e-06
3.5511,6.0293e-06
3.5511,6.028e-06
3.5609,6.0114e-06
3.5735,5.9914e-06
3.5777,5.9829e-06
3.5847,5.9733e-06
3.5847,5.9714e-06
3.5903,5.9633e-06
3.6,5.9476e-06
3.6014,5.9447e-06
3.6056,5.9384e-06
3.6069,5.935e-06
3.6125,5.9267e-06
3.6222,5.9106e-06
3.6235,5.9087e-06
3.6346,5.8914e-06
3.6401,5.8814e-06
3.6497,5.867e-06
3.662,5.8466e-06
3.6674,5.838e-06
3.6674,5.8377e-06
3.6715,5.8305e-06
3.677,5.8218e-06
3.677,5.8238e-06
3.6878,5.8056e-06
3.6892,5.803e-06
3.7,5.7873e-06
3.7054,5.7784e-06
3.7108,5.7691e-06
3.7162,5.7618e-06
3.7202,5.7547e-06
3.7216,5.7526e-06
3.7363,5.7307e-06
3.7483,5.7114e-06
3.7483,5.7117e-06
3.7537,5.7044e-06
3.7577,5.6965e-06
3.759,5.6954e-06
3.7643,5.6875e-06
3.7643,5.6868e-06
3.7696,5.679e-06
3.7736,5.6731e-06
3.7802,5.663e-06
3.7855,5.6552e-06
3.7947,5.6416e-06
