X,Y
0.023277,1.3221
2.399,1.61
4.8202,1.9265
7.2867,2.2657
9.7984,2.6188
12.355,2.979
14.957,3.3412
17.603,3.7024
20.294,4.055
23.029,4.3932
25.808,4.7143
28.632,5.0161
31.499,5.2987
34.41,5.5621
37.364,5.807
40.362,6.0366
43.403,6.2466
46.487,6.4379
49.614,6.6139
52.783,6.7775
55.994,6.9311
59.248,7.0762
62.544,7.2142
65.881,7.3461
69.26,7.4726
72.681,7.5945
76.142,7.7122
79.645,7.8262
83.188,7.9368
86.772,8.0444
90.396,8.1492
94.06,8.2514
97.763,8.3512
101.51,8.4487
105.29,8.5441
109.11,8.6375
112.97,8.7292
116.87,8.8192
120.81,8.9076
124.79,8.9945
128.8,9.08
132.85,9.1643
136.94,9.2475
141.07,9.3296
145.23,9.4107
149.43,9.4909
153.67,9.5703
157.94,9.649
162.25,9.7271
166.59,9.8046
170.97,9.8815
175.38,9.9578
179.83,10.034
184.32,10.109
188.84,10.183
193.39,10.257
197.97,10.331
202.59,10.404
207.24,10.477
211.93,10.551
216.65,10.624
221.4,10.697
226.18,10.77
230.99,10.843
235.84,10.915
240.71,10.988
245.62,11.061
250.56,11.134
255.52,11.207
260.52,11.281
265.55,11.354
270.6,11.428
275.69,11.502
280.8,11.576
285.94,11.649
291.11,11.723
296.31,11.796
301.54,11.87
306.79,11.943
312.07,12.016
317.37,12.089
322.7,12.161
328.06,12.233
333.44,12.306
338.85,12.378
344.28,12.449
349.74,12.521
355.22,12.593
360.72,12.664
366.25,12.734
371.8,12.805
377.37,12.875
382.97,12.945
388.58,13.014
394.22,13.083
399.88,13.151
405.57,13.219
411.27,13.287
416.99,13.354
422.73,13.421
428.49,13.487
434.28,13.553
440.07,13.618
445.89,13.683
451.73,13.746
457.58,13.81
463.46,13.872
469.34,13.935
475.25,13.996
481.17,14.057
487.11,14.118
493.06,14.178
499.03,14.237
505.01,14.295
511.01,14.353
517.02,14.41
523.05,14.466
529.09,14.521
535.14,14.575
541.2,14.628
547.28,14.68
553.37,14.732
559.47,14.781
565.58,14.83
571.7,14.877
577.83,14.923
583.98,14.968
590.13,15.011
596.29,15.052
602.46,15.092
608.64,15.131
614.82,15.168
621.02,15.203
627.22,15.237
633.43,15.269
639.64,15.3
645.86,15.329
652.09,15.357
658.32,15.383
664.56,15.408
670.8,15.431
677.05,15.452
683.3,15.471
689.55,15.488
