X,Y
0.75919,0.75881
1.0932,1.0922
1.4878,1.4853
1.9431,1.9372
2.4591,2.4456
3.0356,3.007
3.6727,3.6157
4.3702,4.2637
5.1283,4.9407
5.9468,5.6346
6.8257,6.3325
7.7648,7.0216
8.7643,7.6906
9.8239,8.33
10.944,8.9331
12.124,9.4959
13.363,10.017
14.663,10.495
16.023,10.933
17.442,11.333
18.921,11.697
20.46,12.029
22.058,12.332
23.715,12.608
25.432,12.862
27.208,13.094
29.043,13.308
30.937,13.506
32.89,13.689
34.901,13.859
36.971,14.018
39.1,14.168
41.287,14.308
43.532,14.441
45.835,14.568
48.196,14.689
50.615,14.805
53.091,14.917
55.625,15.025
58.216,15.129
60.865,15.231
63.57,15.33
66.332,15.427
69.151,15.522
72.026,15.615
74.958,15.706
77.945,15.795
80.989,15.883
84.088,15.97
87.243,16.056
90.454,16.14
93.719,16.224
97.04,16.306
100.41,16.388
103.84,16.469
107.33,16.55
110.87,16.63
114.46,16.71
118.1,16.789
121.8,16.867
125.56,16.945
129.36,17.023
133.22,17.101
137.13,17.179
141.09,17.256
145.11,17.334
149.18,17.411
153.29,17.487
157.46,17.564
161.68,17.64
165.96,17.716
170.28,17.792
174.65,17.868
179.07,17.944
183.54,18.02
188.07,18.096
192.64,18.171
197.26,18.247
201.92,18.322
206.64,18.397
211.4,18.472
216.22,18.547
221.07,18.622
225.98,18.696
230.93,18.771
235.93,18.846
240.98,18.92
246.07,18.995
251.21,19.07
256.39,19.145
261.62,19.22
266.89,19.294
272.21,19.369
277.57,19.444
282.97,19.52
288.42,19.595
293.91,19.671
299.44,19.747
305.02,19.824
310.63,19.9
316.29,19.977
321.99,20.054
327.73,20.13
333.51,20.207
339.34,20.283
345.2,20.359
351.1,20.436
357.04,20.512
363.02,20.588
369.03,20.664
375.09,20.74
381.18,20.815
387.31,20.89
393.48,20.965
399.68,21.039
405.92,21.113
412.19,21.188
418.5,21.262
424.85,21.337
431.23,21.411
437.64,21.485
444.09,21.559
450.57,21.634
457.08,21.708
463.63,21.783
470.21,21.857
476.82,21.931
483.46,22.005
490.13,22.078
496.83,22.15
503.57,22.222
510.33,22.293
517.12,22.363
523.94,22.433
530.79,22.502
537.67,22.571
544.57,22.639
551.51,22.707
558.46,22.773
565.45,22.84
572.46,22.906
579.5,22.972
586.56,23.038
593.64,23.104
600.75,23.169
607.89,23.234
615.04,23.298
622.22,23.362
629.43,23.424
636.65,23.485
643.89,23.545
651.16,23.604
658.45,23.662
665.76,23.72
673.08,23.778
680.43,23.836
687.79,23.892
695.18,23.948
702.58,24.003
710,24.057
717.43,24.11
724.88,24.163
732.35,24.215
739.83,24.266
747.33,24.316
754.85,24.365
762.37,24.414
769.91,24.461
777.47,24.508
785.03,24.553
792.61,24.597
800.21,24.64
807.81,24.681
815.42,24.721
823.05,24.759
830.68,24.795
838.32,24.83
845.98,24.862
853.64,24.894
861.31,24.923
868.98,24.95
876.67,24.975
884.36,24.999
892.05,25.02
899.76,25.04
907.46,25.058
915.18,25.075
922.89,25.089
930.61,25.101
938.34,25.111
946.06,25.119
953.79,25.125
961.52,25.128
969.26,25.131
976.99,25.131
