X,Y
0.98615,0.98495
1.248,1.2458
1.5406,1.5368
1.8639,1.8573
2.2179,2.2067
2.6026,2.5838
3.018,2.9873
3.4641,3.4149
3.9407,3.8641
4.4479,4.3316
4.9857,4.8135
5.554,5.3055
6.1528,5.8029
6.782,6.3011
7.4417,6.7954
8.1317,7.2814
8.852,7.7553
9.6026,8.2138
10.383,8.6544
11.195,9.0751
12.036,9.4748
12.907,9.8528
13.808,10.209
14.74,10.544
15.701,10.858
16.692,11.151
17.713,11.426
18.763,11.683
19.843,11.923
20.953,12.148
22.093,12.358
23.261,12.554
24.46,12.738
25.687,12.911
26.944,13.074
28.23,13.227
29.545,13.371
30.889,13.507
32.262,13.636
33.664,13.759
35.094,13.876
36.554,13.988
38.041,14.095
39.558,14.197
41.102,14.296
42.675,14.392
44.277,14.485
45.906,14.575
47.563,14.663
49.248,14.749
50.961,14.834
52.702,14.917
54.47,14.999
56.266,15.08
58.089,15.16
59.939,15.24
61.816,15.319
63.721,15.398
65.652,15.477
67.61,15.557
69.595,15.636
71.606,15.716
73.644,15.795
75.708,15.875
77.798,15.956
79.914,16.037
82.056,16.118
84.224,16.201
86.417,16.283
88.636,16.366
90.88,16.45
93.15,16.535
95.444,16.62
97.764,16.706
100.11,16.792
102.48,16.879
104.87,16.966
107.29,17.055
109.73,17.143
112.2,17.233
114.69,17.322
117.2,17.413
119.74,17.504
122.3,17.595
124.88,17.688
127.49,17.781
130.12,17.875
132.77,17.969
135.45,18.065
138.15,18.161
140.87,18.258
143.61,18.356
146.37,18.455
149.16,18.554
151.97,18.654
154.8,18.754
157.65,18.855
160.52,18.956
163.41,19.058
166.33,19.16
169.26,19.263
172.22,19.367
175.19,19.471
178.18,19.575
181.2,19.68
184.23,19.785
187.29,19.889
190.36,19.994
193.45,20.1
196.56,20.205
199.69,20.31
202.84,20.416
206.01,20.521
209.19,20.627
212.39,20.733
215.61,20.839
218.85,20.945
222.11,21.05
225.38,21.155
228.67,21.26
231.97,21.365
235.29,21.469
238.63,21.573
241.99,21.677
245.36,21.78
248.74,21.883
252.15,21.985
255.56,22.087
259,22.188
262.44,22.289
265.9,22.389
269.38,22.489
272.87,22.588
276.37,22.686
279.89,22.784
283.42,22.88
286.97,22.976
290.53,23.071
294.1,23.164
297.68,23.257
301.28,23.349
304.89,23.44
308.51,23.53
312.14,23.619
315.78,23.707
319.44,23.795
323.1,23.881
326.78,23.966
330.47,24.05
334.17,24.133
337.87,24.214
341.59,24.294
345.32,24.372
349.06,24.45
352.81,24.526
356.56,24.601
360.33,24.675
364.1,24.748
367.88,24.819
371.67,24.89
375.47,24.96
379.28,25.028
383.09,25.096
386.91,25.162
390.74,25.227
394.57,25.291
398.41,25.353
402.26,25.413
406.11,25.472
409.97,25.528
413.83,25.584
417.7,25.637
421.58,25.689
425.45,25.738
429.34,25.786
433.23,25.832
437.12,25.876
441.01,25.918
444.91,25.957
448.82,25.995
452.72,26.03
456.63,26.063
460.54,26.093
464.46,26.121
468.37,26.146
472.29,26.168
476.21,26.188
480.13,26.204
484.06,26.218
487.98,26.228
491.9,26.236
495.83,26.24
499.75,26.241
