X,Y
0.98651,0.98531
1.2484,1.2463
1.5411,1.5373
1.8646,1.8579
2.2187,2.2074
2.6036,2.5847
3.0191,2.9882
3.4653,3.4158
3.9421,3.865
4.4496,4.3324
4.9875,4.8143
5.556,5.3063
6.155,5.8039
6.7845,6.3024
7.4444,6.7972
8.1346,7.2841
8.8552,7.7592
9.6061,8.2193
10.387,8.6619
11.199,9.0849
12.04,9.4873
12.912,9.8682
13.813,10.227
14.745,10.565
15.706,10.883
16.698,11.18
17.719,11.458
18.77,11.718
19.851,11.962
20.961,12.19
22.101,12.403
23.27,12.603
24.469,12.791
25.697,12.967
26.954,13.133
28.24,13.289
29.556,13.436
30.9,13.576
32.274,13.708
33.676,13.834
35.107,13.953
36.567,14.067
38.055,14.176
39.572,14.28
41.117,14.381
42.691,14.477
44.293,14.57
45.923,14.66
47.58,14.747
49.266,14.832
50.98,14.914
52.721,14.995
54.49,15.073
56.286,15.15
58.11,15.224
59.961,15.298
61.839,15.37
63.744,15.441
65.676,15.511
67.635,15.58
69.62,15.647
71.632,15.714
73.671,15.78
75.735,15.845
77.826,15.909
79.943,15.972
82.086,16.034
84.254,16.096
86.449,16.157
88.668,16.217
90.914,16.276
93.184,16.335
95.479,16.394
97.8,16.452
100.14,16.509
102.51,16.566
104.91,16.623
107.33,16.679
109.77,16.735
112.24,16.79
114.73,16.845
117.24,16.899
119.78,16.954
122.34,17.007
124.93,17.061
127.54,17.114
130.17,17.167
132.82,17.22
135.5,17.273
138.2,17.325
140.92,17.377
143.66,17.429
146.43,17.48
149.22,17.532
152.02,17.583
154.85,17.635
157.71,17.686
160.58,17.737
163.47,17.787
166.39,17.838
169.32,17.888
172.28,17.938
175.25,17.988
178.25,18.037
181.26,18.086
184.3,18.135
187.35,18.183
190.43,18.231
193.52,18.279
196.63,18.326
199.76,18.373
202.91,18.42
206.08,18.466
209.27,18.512
212.47,18.557
215.69,18.603
218.93,18.648
222.19,18.692
225.46,18.736
228.75,18.78
232.06,18.824
235.38,18.868
238.72,18.911
242.08,18.954
245.45,18.996
248.84,19.039
252.24,19.081
255.66,19.122
259.09,19.164
262.54,19.205
266,19.246
269.48,19.287
272.97,19.328
276.48,19.368
279.99,19.408
283.53,19.448
287.07,19.488
290.63,19.527
294.21,19.565
297.79,19.604
301.39,19.642
305,19.679
308.62,19.716
312.25,19.752
315.9,19.788
319.55,19.823
323.22,19.858
326.9,19.892
330.59,19.926
334.29,19.959
338,19.992
341.72,20.023
345.45,20.055
349.19,20.086
352.93,20.116
356.69,20.146
360.46,20.175
364.23,20.204
368.02,20.232
371.81,20.26
375.61,20.287
379.41,20.313
383.23,20.339
387.05,20.365
390.88,20.389
394.71,20.414
398.56,20.437
402.4,20.46
406.26,20.482
410.12,20.503
413.98,20.524
417.85,20.544
421.73,20.563
425.61,20.582
429.49,20.599
433.38,20.616
437.28,20.632
441.18,20.648
445.08,20.662
448.98,20.675
452.89,20.688
456.8,20.699
460.71,20.71
464.63,20.72
468.55,20.729
472.46,20.736
476.39,20.743
480.31,20.749
484.23,20.754
488.16,20.758
492.08,20.76
496.01,20.762
