X,Y
0.83099,0.83041
1.131,1.1297
1.4771,1.4744
1.8693,1.8637
2.3075,2.2963
2.7918,2.7702
3.3221,3.2822
3.8984,3.8279
4.5205,4.4014
5.1886,4.9955
5.9026,5.6023
6.6623,6.2129
7.4678,6.8189
8.319,7.4123
9.2159,7.9862
10.158,8.535
11.146,9.055
12.18,9.5435
13.259,9.9995
14.383,10.423
15.553,10.815
16.768,11.176
18.028,11.509
19.333,11.816
20.683,12.098
22.077,12.358
23.517,12.599
25.002,12.821
26.531,13.027
28.104,13.218
29.722,13.397
31.385,13.564
33.091,13.72
34.842,13.867
36.637,14.006
38.475,14.138
40.358,14.263
42.284,14.382
44.254,14.496
46.267,14.605
48.323,14.71
50.423,14.812
52.566,14.91
54.752,15.006
56.98,15.1
59.251,15.192
61.565,15.282
63.921,15.371
66.319,15.459
68.76,15.547
71.242,15.633
73.766,15.718
76.332,15.803
78.939,15.888
81.587,15.973
84.277,16.057
87.007,16.142
89.779,16.226
92.591,16.31
95.443,16.395
98.336,16.479
101.27,16.564
104.24,16.65
107.25,16.736
110.31,16.823
113.4,16.911
116.53,16.999
119.7,17.087
122.91,17.176
126.15,17.266
129.44,17.357
132.76,17.448
136.12,17.54
139.52,17.633
142.96,17.726
146.43,17.821
149.95,17.917
153.49,18.013
157.08,18.11
160.7,18.209
164.36,18.308
168.05,18.408
171.78,18.509
175.55,18.611
179.35,18.713
183.18,18.817
187.05,18.92
190.96,19.024
194.9,19.129
198.87,19.234
202.88,19.34
206.92,19.445
211,19.551
215.1,19.657
219.25,19.762
223.42,19.868
227.63,19.974
231.86,20.079
236.13,20.185
240.43,20.291
244.77,20.397
249.13,20.503
253.53,20.609
257.95,20.715
262.41,20.822
266.89,20.928
271.41,21.034
275.95,21.14
280.53,21.246
285.13,21.351
289.76,21.455
294.42,21.559
299.11,21.663
303.82,21.767
308.56,21.87
313.33,21.972
318.13,22.074
322.95,22.176
327.8,22.277
332.68,22.378
337.58,22.478
342.51,22.578
347.46,22.678
352.43,22.777
357.43,22.876
362.46,22.976
367.51,23.075
372.58,23.175
377.68,23.274
382.79,23.374
387.93,23.472
393.1,23.571
398.28,23.67
403.49,23.768
408.72,23.867
413.97,23.966
419.23,24.065
424.52,24.164
429.83,24.264
435.16,24.364
440.51,24.464
445.88,24.565
451.27,24.665
456.67,24.764
462.09,24.863
467.53,24.96
472.99,25.057
478.47,25.152
483.96,25.246
489.47,25.338
494.99,25.428
500.53,25.517
506.08,25.605
511.65,25.691
517.24,25.776
522.84,25.859
528.45,25.942
534.07,26.023
539.71,26.104
545.36,26.183
551.03,26.262
556.71,26.34
562.39,26.417
568.09,26.492
573.81,26.566
579.53,26.637
585.26,26.707
591,26.775
596.76,26.841
602.52,26.905
608.29,26.968
614.07,27.028
619.85,27.087
625.65,27.144
631.45,27.199
637.26,27.253
643.08,27.304
648.9,27.354
654.73,27.401
660.57,27.446
666.41,27.489
672.26,27.53
678.11,27.568
683.96,27.604
689.82,27.637
695.68,27.668
701.55,27.695
707.42,27.719
713.29,27.74
719.16,27.758
725.04,27.773
730.92,27.784
736.79,27.792
742.67,27.796
748.55,27.797
