X,Z,Y
-1,0.3,5.3412
-1,0.3102,5.3787
-1,0.32041,5.4149
-1,0.33061,5.45
-1,0.34082,5.4841
-1,0.35102,5.5171
-1,0.36122,5.5492
-1,0.37143,5.5804
-1,0.38163,5.6108
-1,0.39184,5.6403
-1,0.40204,5.6691
-1,0.41224,5.6972
-1,0.42245,5.7246
-1,0.43265,5.7513
-1,0.44286,5.7774
-1,0.45306,5.8029
-1,0.46327,5.8279
-1,0.47347,5.8523
-1,0.48367,5.8762
-1,0.49388,5.8995
-1,0.50408,5.9225
-1,0.51429,5.9449
-1,0.52449,5.9669
-1,0.53469,5.9885
-1,0.5449,6.0097
-1,0.5551,6.0304
-1,0.56531,6.0508
-1,0.57551,6.0709
-1,0.58571,6.0906
-1,0.59592,6.1099
-1,0.60612,6.1289
-1,0.61633,6.1476
-1,0.62653,6.166
-1,0.63673,6.1841
-1,0.64694,6.2019
-1,0.65714,6.2194
-1,0.66735,6.2367
-1,0.67755,6.2537
-1,0.68776,6.2704
-1,0.69796,6.2869
-1,0.70816,6.3032
-1,0.71837,6.3192
-1,0.72857,6.335
-1,0.73878,6.3506
-1,0.74898,6.3659
-1,0.75918,6.3811
-1,0.76939,6.3961
-1,0.77959,6.4108
-1,0.7898,6.4254
-1,0.8,6.4398
-0.95918,0.3,5.3412
-0.95918,0.3102,5.3787
-0.95918,0.32041,5.4149
-0.95918,0.33061,5.45
-0.95918,0.34082,5.4841
-0.95918,0.35102,5.5171
-0.95918,0.36122,5.5492
-0.95918,0.37143,5.5804
-0.95918,0.38163,5.6108
-0.95918,0.39184,5.6403
-0.95918,0.40204,5.6691
-0.95918,0.41224,5.6972
-0.95918,0.42245,5.7246
-0.95918,0.43265,5.7513
-0.95918,0.44286,5.7774
-0.95918,0.45306,5.8029
-0.95918,0.46327,5.8279
-0.95918,0.47347,5.8523
-0.95918,0.48367,5.8762
-0.95918,0.49388,5.8995
-0.95918,0.50408,5.9225
-0.95918,0.51429,5.9449
-0.95918,0.52449,5.9669
-0.95918,0.53469,5.9885
-0.95918,0.5449,6.0097
-0.95918,0.5551,6.0304
-0.95918,0.56531,6.0508
-0.95918,0.57551,6.0709
-0.95918,0.58571,6.0906
-0.95918,0.59592,6.1099
-0.95918,0.60612,6.1289
-0.95918,0.61633,6.1476
-0.95918,0.62653,6.166
-0.95918,0.63673,6.1841
-0.95918,0.64694,6.2019
-0.95918,0.65714,6.2194
-0.95918,0.66735,6.2367
