X,Z,Y
-1,0.05,16.117
-1,0.069388,18.678
-1,0.088776,20.868
-1,0.10816,22.808
-1,0.12755,24.564
-1,0.14694,26.179
-1,0.16633,27.681
-1,0.18571,29.089
-1,0.2051,30.418
-1,0.22449,31.68
-1,0.24388,32.883
-1,0.26327,34.034
-1,0.28265,35.14
-1,0.30204,36.205
-1,0.32143,37.233
-1,0.34082,38.228
-1,0.3602,39.191
-1,0.37959,40.127
-1,0.39898,41.036
-1,0.41837,41.922
-1,0.43776,42.785
-1,0.45714,43.628
-1,0.47653,44.451
-1,0.49592,45.256
-1,0.51531,46.044
-1,0.53469,46.815
-1,0.55408,47.572
-1,0.57347,48.314
-1,0.59286,49.042
-1,0.61224,49.757
-1,0.63163,50.46
-1,0.65102,51.152
-1,0.67041,51.832
-1,0.6898,52.501
-1,0.70918,53.16
-1,0.72857,53.809
-1,0.74796,54.449
-1,0.76735,55.079
-1,0.78673,55.701
-1,0.80612,56.315
-1,0.82551,56.92
-1,0.8449,57.518
-1,0.86429,58.108
-1,0.88367,58.691
-1,0.90306,59.267
-1,0.92245,59.836
-1,0.94184,60.399
-1,0.96122,60.956
-1,0.98061,61.506
-1,1,62.05
-0.95918,0.05,16.117
-0.95918,0.069388,18.678
-0.95918,0.088776,20.868
-0.95918,0.10816,22.808
-0.95918,0.12755,24.564
-0.95918,0.14694,26.179
-0.95918,0.16633,27.681
-0.95918,0.18571,29.089
-0.95918,0.2051,30.418
-0.95918,0.22449,31.68
-0.95918,0.24388,32.883
-0.95918,0.26327,34.034
-0.95918,0.28265,35.14
-0.95918,0.30204,36.205
-0.95918,0.32143,37.233
-0.95918,0.34082,38.228
-0.95918,0.3602,39.191
-0.95918,0.37959,40.127
-0.95918,0.39898,41.036
-0.95918,0.41837,41.922
-0.95918,0.43776,42.785
-0.95918,0.45714,43.628
-0.95918,0.47653,44.451
-0.95918,0.49592,45.256
-0.95918,0.51531,46.044
-0.95918,0.53469,46.815
-0.95918,0.55408,47.572
-0.95918,0.57347,48.314
-0.95918,0.59286,49.042
-0.95918,0.61224,49.757
-0.95918,0.63163,50.46
-0.95918,0.65102,51.152
-0.95918,0.67041,51.832
-0.95918,0.6898,52.501
-0.95918,0.70918,53.16
-0.95918,0.72857,53.809
-0.95918,0.74796,54.449
-0.95918,0.76735,55.079
-0.95918,0.78673,55.701
-0.95918,0.80612,56.315
-0.95918,0.82551,56.92
-0.95918,0.8449,57.518
-0.95918,0.86429,58.108
-0.95918,0.88367,58.691
-0.95918,0.90306,59.267
-0.95918,0.92245,59.836
-0.95918,0.94184,60.399
-0.95918,0.96122,60.956
-0.95918,0.98061,61.506
-0.95918,1,62.05
-0.91837,0.05,16.117
-0.91837,0.069388,18.678
-0.91837,0.088776,20.868
-0.91837,0.10816,22.808
-0.91837,0.12755,24.564
-0.91837,0.14694,26.179
-0.91837,0.16633,27.681
-0.91837,0.18571,29.089
-0.91837,0.2051,30.418
-0.91837,0.22449,31.68
-0.91837,0.24388,32.883
-0.91837,0.26327,34.034
-0.91837,0.28265,35.14
-0.91837,0.30204,36.205
-0.91837,0.32143,37.233
-0.91837,0.34082,38.228
-0.91837,0.3602,39.191
-0.91837,0.37959,40.127
-0.91837,0.39898,41.036
-0.91837,0.41837,41.922
-0.91837,0.43776,42.785
-0.91837,0.45714,43.628
-0.91837,0.47653,44.451
-0.91837,0.49592,45.256
-0.91837,0.51531,46.044
