X,Z,Y
-1,0.3,36.095
-1,0.3102,36.642
-1,0.32041,37.18
-1,0.33061,37.708
-1,0.34082,38.228
-1,0.35102,38.738
-1,0.36122,39.241
-1,0.37143,39.736
-1,0.38163,40.224
-1,0.39184,40.704
-1,0.40204,41.178
-1,0.41224,41.645
-1,0.42245,42.106
-1,0.43265,42.56
-1,0.44286,43.009
-1,0.45306,43.452
-1,0.46327,43.89
-1,0.47347,44.322
-1,0.48367,44.75
-1,0.49388,45.172
-1,0.50408,45.59
-1,0.51429,46.003
-1,0.52449,46.411
-1,0.53469,46.815
-1,0.5449,47.215
-1,0.5551,47.611
-1,0.56531,48.003
-1,0.57551,48.391
-1,0.58571,48.775
-1,0.59592,49.156
-1,0.60612,49.533
-1,0.61633,49.906
-1,0.62653,50.277
-1,0.63673,50.643
-1,0.64694,51.007
-1,0.65714,51.368
-1,0.66735,51.725
-1,0.67755,52.079
-1,0.68776,52.431
-1,0.69796,52.78
-1,0.70816,53.125
-1,0.71837,53.468
-1,0.72857,53.809
-1,0.73878,54.147
-1,0.74898,54.482
-1,0.75918,54.815
-1,0.76939,55.145
-1,0.77959,55.473
-1,0.7898,55.799
-1,0.8,56.122
-0.95918,0.3,36.095
-0.95918,0.3102,36.642
-0.95918,0.32041,37.18
-0.95918,0.33061,37.708
-0.95918,0.34082,38.228
-0.95918,0.35102,38.738
-0.95918,0.36122,39.241
-0.95918,0.37143,39.736
-0.95918,0.38163,40.224
-0.95918,0.39184,40.704
-0.95918,0.40204,41.178
-0.95918,0.41224,41.645
-0.95918,0.42245,42.106
-0.95918,0.43265,42.56
-0.95918,0.44286,43.009
-0.95918,0.45306,43.452
-0.95918,0.46327,43.89
-0.95918,0.47347,44.322
-0.95918,0.48367,44.75
-0.95918,0.49388,45.172
-0.95918,0.50408,45.59
-0.95918,0.51429,46.003
-0.95918,0.52449,46.411
-0.95918,0.53469,46.815
-0.95918,0.5449,47.215
-0.95918,0.5551,47.611
-0.95918,0.56531,48.003
-0.95918,0.57551,48.391
-0.95918,0.58571,48.775
-0.95918,0.59592,49.156
-0.95918,0.60612,49.533
-0.95918,0.61633,49.906
-0.95918,0.62653,50.277
-0.95918,0.63673,50.643
-0.95918,0.64694,51.007
-0.95918,0.65714,51.368
-0.95918,0.66735,51.725
-0.95918,0.67755,52.079
-0.95918,0.68776,52.431
-0.95918,0.69796,52.78
-0.95918,0.70816,53.125
-0.95918,0.71837,53.468
-0.95918,0.72857,53.809
-0.95918,0.73878,54.147
-0.95918,0.74898,54.482
-0.95918,0.75918,54.815
-0.95918,0.76939,55.145
-0.95918,0.77959,55.473
-0.95918,0.7898,55.799
-0.95918,0.8,56.122
-0.91837,0.3,36.095
-0.91837,0.3102,36.642
-0.91837,0.32041,37.18
-0.91837,0.33061,37.708
-0.91837,0.34082,38.228
-0.91837,0.35102,38.738
-0.91837,0.36122,39.241
-0.91837,0.37143,39.736
-0.91837,0.38163,40.224
-0.91837,0.39184,40.704
-0.91837,0.40204,41.178
-0.91837,0.41224,41.645
-0.91837,0.42245,42.106
-0.91837,0.43265,42.56
-0.91837,0.44286,43.009
