X,Y
0,0
0.015414,0.015413
0.061653,0.061645
0.13872,0.13868
0.2466,0.24647
0.38529,0.38496
0.55479,0.55405
0.75508,0.75354
0.98615,0.98309
1.248,1.2421
1.5406,1.5294
1.8639,1.8434
2.2179,2.1813
2.6026,2.5392
3.018,2.9118
3.4641,3.292
3.9407,3.6715
4.4479,4.0408
4.9857,4.3898
5.554,4.7087
6.1528,4.9886
6.782,5.2222
7.4417,5.405
8.1317,5.5345
8.852,5.6111
9.6026,5.6376
10.383,5.6183
11.195,5.559
12.036,5.4661
12.907,5.3464
13.808,5.2061
14.74,5.0512
15.701,4.8867
16.692,4.7171
17.713,4.5459
18.763,4.3759
19.843,4.2091
20.953,4.0471
22.093,3.8911
23.261,3.742
24.46,3.6005
25.687,3.4671
26.944,3.3422
28.23,3.226
29.545,3.1186
30.889,3.0199
32.262,2.9296
33.664,2.8478
35.094,2.7745
36.554,2.7098
38.041,2.6536
39.558,2.6057
41.102,2.566
42.675,2.534
44.277,2.5092
45.906,2.4911
47.563,2.4793
49.248,2.4734
50.961,2.4732
52.702,2.4787
54.47,2.4899
56.266,2.5071
58.089,2.5301
59.939,2.5587
61.816,2.5925
63.721,2.6309
65.652,2.6731
67.61,2.7187
69.595,2.7671
71.606,2.8181
73.644,2.8717
75.708,2.9281
77.798,2.9874
79.914,3.0495
82.056,3.1143
84.224,3.1811
86.417,3.2494
88.636,3.3186
90.88,3.3887
93.15,3.4598
95.444,3.5322
97.764,3.6058
100.11,3.6802
102.48,3.7551
104.87,3.83
107.29,3.9049
109.73,3.9797
112.2,4.0546
114.69,4.1303
117.2,4.2079
119.74,4.2888
122.3,4.3734
124.88,4.4615
127.49,4.5522
130.12,4.6448
132.77,4.7391
135.45,4.8345
138.15,4.9303
140.87,5.0257
143.61,5.1199
146.37,5.2124
149.16,5.3034
151.97,5.3936
154.8,5.4831
157.65,5.5722
160.52,5.6618
163.41,5.7526
166.33,5.8443
169.26,5.9354
172.22,6.0246
175.19,6.1113
178.18,6.1942
181.2,6.2722
184.23,6.3458
187.29,6.4165
190.36,6.4873
193.45,6.56
196.56,6.6339
199.69,6.7084
202.84,6.7837
206.01,6.8586
209.19,6.9312
212.39,6.9999
215.61,7.0637
218.85,7.1215
222.11,7.1739
225.38,7.2226
228.67,7.2681
231.97,7.3113
235.29,7.3542
238.63,7.3971
241.99,7.4381
245.36,7.4761
248.74,7.5118
252.15,7.5457
255.56,7.5778
259,7.6095
262.44,7.6412
265.9,7.6702
269.38,7.6923
272.87,7.7042
276.37,7.7068
279.89,7.7039
283.42,7.6963
286.97,7.6839
290.53,7.6701
294.1,7.6588
297.68,7.6503
301.28,7.6433
304.89,7.6373
308.51,7.6304
312.14,7.6187
315.78,7.5986
319.44,7.5702
323.1,7.5365
326.78,7.4978
330.47,7.451
334.17,7.3952
337.87,7.3346
341.59,7.2757
345.32,7.2209
349.06,7.168
352.81,7.1136
356.56,7.0576
360.33,7.0034
364.1,6.9548
367.88,6.9127
371.67,6.8739
375.47,6.833
379.28,6.7834
383.09,6.7207
386.91,6.6437
390.74,6.5534
394.57,6.4509
398.41,6.3371
402.26,6.2142
406.11,6.0839
409.97,5.9476
413.83,5.8056
417.7,5.6583
421.58,5.5056
425.45,5.3461
429.34,5.178
433.23,5.0008
437.12,4.8134
441.01,4.6142
444.91,4.4021
448.82,4.1765
452.72,3.9367
456.63,3.6818
460.54,3.4116
464.46,3.1266
468.37,2.8277
472.29,2.5156
476.21,2.1897
480.13,1.8492
484.06,1.4929
487.98,1.1205
491.9,0.73382
495.83,0.33688
499.75,-0.065995
503.68,-0.472
507.6,-0.88034
511.53,-1.2913
515.45,-1.7052
519.37,-2.1219
523.3,-2.5404
527.22,-2.9582
531.13,-3.3732
535.05,-3.7844
538.96,-4.1914
542.88,-4.593
546.78,-4.9871
550.69,-5.3726
554.59,-5.7498
558.49,-6.1206
562.39,-6.4882
566.28,-6.8549
570.17,-7.2206
574.05,-7.583
577.93,-7.9397
581.81,-8.2876
585.68,-8.6238
589.54,-8.9482
593.4,-9.2637
597.25,-9.5734
601.1,-9.8785
604.94,-10.18
608.77,-10.479
612.6,-10.776
616.42,-11.067
620.23,-11.351
624.04,-11.625
627.84,-11.891
631.63,-12.151
635.41,-12.407
639.18,-12.66
642.95,-12.91
646.7,-13.163
650.45,-13.422
654.19,-13.686
657.91,-13.955
661.63,-14.226
665.34,-14.498
669.04,-14.771
672.73,-15.047
676.4,-15.333
680.07,-15.634
683.73,-15.947
687.37,-16.268
691,-16.59
694.62,-16.906
698.23,-17.217
701.83,-17.527
705.41,-17.845
708.98,-18.178
712.54,-18.529
716.08,-18.891
719.62,-19.263
723.13,-19.646
726.64,-20.041
730.13,-20.443
733.6,-20.844
737.07,-21.238
740.51,-21.618
743.94,-21.979
747.36,-22.313
750.76,-22.623
754.15,-22.927
757.52,-23.238
760.87,-23.555
764.21,-23.871
767.54,-24.171
770.84,-24.451
774.13,-24.712
777.4,-24.965
780.66,-25.223
783.89,-25.495
787.12,-25.783
790.32,-26.077
793.5,-26.369
796.67,-26.653
799.82,-26.927
802.95,-27.191
806.06,-27.445
809.15,-27.687
812.22,-27.914
815.27,-28.129
818.31,-28.333
821.32,-28.528
824.32,-28.716
827.29,-28.899
830.25,-29.078
833.18,-29.253
836.09,-29.43
838.99,-29.61
841.86,-29.793
844.71,-29.974
847.54,-30.151
850.35,-30.32
853.13,-30.479
855.9,-30.627
858.64,-30.764
861.36,-30.89
864.06,-31.008
866.73,-31.118
869.39,-31.226
872.02,-31.336
874.62,-31.455
877.21,-31.581
879.77,-31.712
882.31,-31.848
884.82,-31.988
887.31,-32.134
889.78,-32.289
892.22,-32.458
894.64,-32.635
897.03,-32.814
899.4,-32.99
901.74,-33.166
904.06,-33.347
906.36,-33.532
908.63,-33.719
910.87,-33.908
913.09,-34.108
915.28,-34.328
917.45,-34.578
919.59,-34.862
921.71,-35.182
923.8,-35.538
925.86,-35.928
927.9,-36.353
929.91,-36.816
931.9,-37.325
933.86,-37.89
935.79,-38.524
937.69,-39.237
939.57,-40.038
941.42,-40.943
943.24,-41.97
945.04,-43.134
946.81,-44.451
948.55,-45.935
950.26,-47.606
951.94,-49.488
953.6,-51.608
955.23,-53.997
956.83,-56.689
958.41,-59.727
959.95,-63.153
961.47,-67.013
962.95,-71.357
964.41,-76.239
965.84,-81.72
967.25,-87.869
968.62,-94.762
969.96,-102.49
971.28,-111.13
972.56,-120.81
973.82,-131.62
975.05,-143.71
976.25,-157.2
977.42,-172.27
978.55,-189.07
979.66,-207.78
980.74,-228.62
981.8,-251.76
982.82,-277.41
983.81,-305.74
984.77,-336.88
985.7,-370.91
986.6,-407.82
987.47,-447.5
988.31,-489.72
989.12,-534.08
989.91,-580.04
990.66,-626.86
991.38,-673.71
992.07,-719.62
992.73,-763.61
993.35,-804.73
993.95,-842.17
994.52,-875.31
995.06,-903.77
995.57,-927.47
996.04,-946.58
996.49,-961.5
996.91,-972.77
997.29,-981.03
997.64,-986.92
997.97,-991.01
998.26,-993.8
998.52,-995.7
998.75,-997
998.95,-997.9
999.12,-998.54
999.26,-999.01
999.37,-999.35
999.45,-999.59
999.49,-999.73
999.51,-999.79
