X,Y
-0.22412,-0.05352
1.4859,0.35318
3.2258,0.75204
4.9957,1.1213
6.7954,1.4462
8.6247,1.718
10.484,1.9314
12.372,2.0856
14.29,2.1872
16.237,2.2475
18.213,2.2837
20.218,2.2932
22.251,2.2735
24.314,2.2503
26.405,2.2337
28.525,2.2238
30.673,2.22
32.849,2.2202
35.053,2.2233
37.285,2.2286
39.545,2.2355
41.833,2.2437
44.148,2.2527
46.49,2.262
48.86,2.2714
51.257,2.281
53.681,2.291
56.131,2.3018
58.609,2.3135
61.112,2.3259
63.642,2.339
66.198,2.3522
68.781,2.3655
71.389,2.3791
74.022,2.3934
76.682,2.4084
79.366,2.424
82.076,2.4398
84.811,2.4555
87.571,2.4712
90.355,2.4869
93.164,2.5028
95.997,2.5185
98.855,2.5342
101.74,2.55
104.64,2.566
107.57,2.5822
110.52,2.5986
113.5,2.6152
116.5,2.632
119.52,2.6485
122.56,2.6645
125.63,2.6794
128.72,2.6934
131.83,2.7067
134.96,2.7197
138.12,2.7323
141.3,2.7445
144.49,2.7563
147.71,2.768
150.95,2.7795
154.22,2.7911
157.5,2.8032
160.8,2.8164
164.12,2.8304
167.46,2.8447
170.83,2.859
174.21,2.8733
177.61,2.8878
181.03,2.9026
184.47,2.9174
187.92,2.9319
191.4,2.9459
194.9,2.9592
198.41,2.9718
201.94,2.9839
205.49,2.9954
209.05,3.0059
212.63,3.0153
216.23,3.0237
219.85,3.0312
223.48,3.0381
227.13,3.0451
230.8,3.0527
234.48,3.0606
238.18,3.0682
241.89,3.0749
245.62,3.0806
249.36,3.0855
253.12,3.09
256.89,3.0937
260.67,3.0962
264.47,3.0973
268.29,3.0968
272.11,3.0952
275.95,3.0933
279.81,3.0914
283.67,3.0893
287.55,3.087
291.44,3.0845
295.35,3.0818
299.26,3.0789
303.19,3.0756
307.13,3.0714
311.08,3.0658
315.04,3.0582
319.01,3.0481
322.99,3.035
326.98,3.0188
330.98,2.9999
335,2.9785
339.02,2.9542
343.05,2.9265
347.08,2.8947
351.13,2.8587
355.19,2.819
359.25,2.7756
363.32,2.7285
367.4,2.6773
371.49,2.6223
375.59,2.564
379.69,2.5026
383.8,2.4384
387.91,2.3715
392.03,2.3016
396.16,2.2284
400.29,2.1515
404.43,2.0708
408.57,1.9863
412.72,1.898
416.87,1.8058
421.03,1.7103
425.19,1.612
429.35,1.5114
433.52,1.4083
437.69,1.3023
441.87,1.1931
446.04,1.0806
450.22,0.96521
454.41,0.90917
