X,Y
0.12342,0.036419
1.9751,0.58623
3.8566,1.1345
5.768,1.6018
7.7091,1.8918
9.6798,2.0008
11.68,2.036
13.709,2.0578
15.768,2.0803
17.856,2.1064
19.972,2.1344
22.118,2.163
24.292,2.1906
26.495,2.2162
28.726,2.2393
30.985,2.2598
33.273,2.2772
35.588,2.291
37.932,2.3011
40.303,2.3084
42.701,2.3145
45.127,2.3202
47.581,2.3256
50.061,2.3301
52.568,2.3337
55.103,2.3372
57.663,2.3412
60.251,2.3463
62.864,2.3528
65.504,2.3608
68.17,2.3711
70.862,2.3839
73.579,2.3991
76.322,2.4164
79.09,2.4358
81.884,2.4575
84.702,2.4819
87.545,2.5086
90.413,2.537
93.305,2.5669
96.222,2.5987
99.163,2.6328
102.13,2.6695
105.12,2.7079
108.13,2.7469
111.16,2.7861
114.22,2.8254
117.3,2.8645
120.41,2.9031
123.53,2.9415
126.68,2.9795
129.86,3.0169
133.05,3.0546
136.26,3.0936
139.5,3.1332
142.76,3.1731
146.04,3.2138
149.34,3.2563
152.66,3.3006
156,3.3458
159.37,3.3901
162.75,3.4328
166.15,3.475
169.58,3.5174
173.02,3.5597
176.48,3.6006
179.96,3.6395
183.46,3.6778
186.98,3.7173
190.52,3.758
194.07,3.7986
197.65,3.8389
201.24,3.8799
204.85,3.9228
208.47,3.9676
212.12,4.0135
215.78,4.0606
219.45,4.1077
223.15,4.1524
226.86,4.1929
230.58,4.2297
234.33,4.2645
238.08,4.2984
241.86,4.3321
245.64,4.3651
249.45,4.3975
253.26,4.4299
257.1,4.4625
260.94,4.4935
264.8,4.5205
268.68,4.5436
272.56,4.5639
276.46,4.5808
280.38,4.5943
284.3,4.6044
288.24,4.6111
292.19,4.6144
296.16,4.6151
300.13,4.614
304.12,4.6112
308.12,4.6055
312.13,4.5958
316.14,4.5811
320.17,4.5603
324.22,4.5327
328.27,4.4992
332.33,4.4616
336.4,4.4206
340.47,4.3768
344.56,4.3308
348.66,4.2832
352.77,4.2334
356.88,4.1811
361,4.1261
365.13,4.0683
369.27,4.0074
373.41,3.9438
377.56,3.8778
381.72,3.808
385.89,3.7319
390.06,3.6483
394.23,3.5578
398.42,3.4618
402.6,3.3615
406.8,3.2566
411,3.1453
415.2,3.0247
419.41,2.894
423.62,2.7532
427.83,2.603
432.05,2.4444
436.27,2.2796
440.5,2.111
444.73,2.0316
