X,Z,Y
-1,0.05,27.3
-1,0.069388,27.3
-1,0.088776,27.3
-1,0.10816,27.3
-1,0.12755,27.3
-1,0.14694,27.3
-1,0.16633,27.3
-1,0.18571,27.3
-1,0.2051,27.3
-1,0.22449,27.3
-1,0.24388,27.3
-1,0.26327,27.3
-1,0.28265,27.3
-1,0.30204,27.3
-1,0.32143,27.3
-1,0.34082,27.3
-1,0.3602,27.3
-1,0.37959,27.3
-1,0.39898,27.3
-1,0.41837,27.3
-1,0.43776,27.3
-1,0.45714,27.3
-1,0.47653,27.3
-1,0.49592,27.3
-1,0.51531,27.3
-1,0.53469,27.3
-1,0.55408,27.3
-1,0.57347,27.3
-1,0.59286,27.3
-1,0.61224,27.3
-1,0.63163,27.3
-1,0.65102,27.3
-1,0.67041,27.3
-1,0.6898,27.3
-1,0.70918,27.3
-1,0.72857,27.3
-1,0.74796,27.3
-1,0.76735,27.3
-1,0.78673,27.3
-1,0.80612,27.3
-1,0.82551,27.3
-1,0.8449,27.3
-1,0.86429,27.3
-1,0.88367,27.3
-1,0.90306,27.3
-1,0.92245,27.3
-1,0.94184,27.3
-1,0.96122,27.3
-1,0.98061,27.3
-1,1,27.3
-0.96,0.05,26.822
-0.96,0.069388,26.822
-0.96,0.088776,26.822
-0.96,0.10816,26.822
-0.96,0.12755,26.822
-0.96,0.14694,26.822
-0.96,0.16633,26.822
-0.96,0.18571,26.822
-0.96,0.2051,26.822
-0.96,0.22449,26.822
-0.96,0.24388,26.822
-0.96,0.26327,26.822
-0.96,0.28265,26.822
-0.96,0.30204,26.822
-0.96,0.32143,26.822
-0.96,0.34082,26.822
-0.96,0.3602,26.822
-0.96,0.37959,26.822
-0.96,0.39898,26.822
-0.96,0.41837,26.822
-0.96,0.43776,26.822
-0.96,0.45714,26.822
-0.96,0.47653,26.822
-0.96,0.49592,26.822
-0.96,0.51531,26.822
-0.96,0.53469,26.822
-0.96,0.55408,26.822
-0.96,0.57347,26.822
-0.96,0.59286,26.822
-0.96,0.61224,26.822
-0.96,0.63163,26.822
-0.96,0.65102,26.822
-0.96,0.67041,26.822
-0.96,0.6898,26.822
-0.96,0.70918,26.822
-0.96,0.72857,26.822
-0.96,0.74796,26.822
-0.96,0.76735,26.822
-0.96,0.78673,26.822
-0.96,0.80612,26.822
-0.96,0.82551,26.822
-0.96,0.8449,26.822
-0.96,0.86429,26.822
-0.96,0.88367,26.822
-0.96,0.90306,26.822
-0.96,0.92245,26.822
-0.96,0.94184,26.822
-0.96,0.96122,26.822
-0.96,0.98061,26.822
-0.96,1,26.822
-0.92,0.05,26.371
-0.92,0.069388,26.371
-0.92,0.088776,26.371
-0.92,0.10816,26.371
-0.92,0.12755,26.371
-0.92,0.14694,26.371
-0.92,0.16633,26.371
-0.92,0.18571,26.371
-0.92,0.2051,26.371
-0.92,0.22449,26.371
-0.92,0.24388,26.371
-0.92,0.26327,26.371
-0.92,0.28265,26.371
-0.92,0.30204,26.371
-0.92,0.32143,26.371
-0.92,0.34082,26.371
-0.92,0.3602,26.371
-0.92,0.37959,26.371
-0.92,0.39898,26.371
-0.92,0.41837,26.371
-0.92,0.43776,26.371
-0.92,0.45714,26.371
-0.92,0.47653,26.371
-0.92,0.49592,26.371
-0.92,0.51531,26.371
-0.92,0.53469,26.371
-0.92,0.55408,26.371
-0.92,0.57347,26.371
-0.92,0.59286,26.371
-0.92,0.61224,26.371
-0.92,0.63163,26.371
-0.92,0.65102,26.371
-0.92,0.67041,26.371
-0.92,0.6898,26.371
-0.92,0.70918,26.371
-0.92,0.72857,26.371
-0.92,0.74796,26.371
-0.92,0.76735,26.371
-0.92,0.78673,26.371
-0.92,0.80612,26.371
-0.92,0.82551,26.371
-0.92,0.8449,26.371
-0.92,0.86429,26.371
-0.92,0.88367,26.371
-0.92,0.90306,26.371
-0.92,0.92245,26.371
-0.92,0.94184,26.371
-0.92,0.96122,26.371
-0.92,0.98061,26.371
-0.92,1,26.371
-0.88,0.05,25.943
-0.88,0.069388,25.943
-0.88,0.088776,25.943
-0.88,0.10816,25.943
-0.88,0.12755,25.943
-0.88,0.14694,25.943
-0.88,0.16633,25.943
-0.88,0.18571,25.943
-0.88,0.2051,25.943
-0.88,0.22449,25.943
-0.88,0.24388,25.943
-0.88,0.26327,25.943
-0.88,0.28265,25.943
-0.88,0.30204,25.943
-0.88,0.32143,25.943
-0.88,0.34082,25.943
-0.88,0.3602,25.943
-0.88,0.37959,25.943
-0.88,0.39898,25.943
-0.88,0.41837,25.943
-0.88,0.43776,25.943
-0.88,0.45714,25.943
-0.88,0.47653,25.943
-0.88,0.49592,25.943
-0.88,0.51531,25.943
-0.88,0.53469,25.943
-0.88,0.55408,25.943
-0.88,0.57347,25.943
-0.88,0.59286,25.943
-0.88,0.61224,25.943
-0.88,0.63163,25.943
-0.88,0.65102,25.943
-0.88,0.67041,25.943
-0.88,0.6898,25.943
-0.88,0.70918,25.943
-0.88,0.72857,25.943
-0.88,0.74796,25.943
-0.88,0.76735,25.943
-0.88,0.78673,25.943
-0.88,0.80612,25.943
-0.88,0.82551,25.943
-0.88,0.8449,25.943
-0.88,0.86429,25.943
-0.88,0.88367,25.943
-0.88,0.90306,25.943
-0.88,0.92245,25.943
-0.88,0.94184,25.943
-0.88,0.96122,25.943
-0.88,0.98061,25.943
-0.88,1,25.943
-0.84,0.05,25.536
-0.84,0.069388,25.536
-0.84,0.088776,25.536
-0.84,0.10816,25.536
-0.84,0.12755,25.536
-0.84,0.14694,25.536
-0.84,0.16633,25.536
-0.84,0.18571,25.536
-0.84,0.2051,25.536
-0.84,0.22449,25.536
-0.84,0.24388,25.536
-0.84,0.26327,25.536
-0.84,0.28265,25.536
-0.84,0.30204,25.536
-0.84,0.32143,25.536
-0.84,0.34082,25.536
-0.84,0.3602,25.536
-0.84,0.37959,25.536
-0.84,0.39898,25.536
-0.84,0.41837,25.536
-0.84,0.43776,25.536
-0.84,0.45714,25.536
-0.84,0.47653,25.536
-0.84,0.49592,25.536
-0.84,0.51531,25.536
-0.84,0.53469,25.536
-0.84,0.55408,25.536
-0.84,0.57347,25.536
-0.84,0.59286,25.536
-0.84,0.61224,25.536
-0.84,0.63163,25.536
-0.84,0.65102,25.536
-0.84,0.67041,25.536
-0.84,0.6898,25.536
-0.84,0.70918,25.536
-0.84,0.72857,25.536
-0.84,0.74796,25.536
-0.84,0.76735,25.536
-0.84,0.78673,25.536
