X,Z,Y
-1,0.1,27.3
-1,0.11429,27.3
-1,0.12857,27.3
-1,0.14286,27.3
-1,0.15714,27.3
-1,0.17143,27.3
-1,0.18571,27.3
-1,0.2,27.3
-1,0.21429,27.3
-1,0.22857,27.3
-1,0.24286,27.3
-1,0.25714,27.3
-1,0.27143,27.3
-1,0.28571,27.3
-1,0.3,27.3
-1,0.31429,27.3
-1,0.32857,27.3
-1,0.34286,27.3
-1,0.35714,27.3
-1,0.37143,27.3
-1,0.38571,27.3
-1,0.4,27.3
-1,0.41429,27.3
-1,0.42857,27.3
-1,0.44286,27.3
-1,0.45714,27.3
-1,0.47143,27.3
-1,0.48571,27.3
-1,0.5,27.3
-1,0.51429,27.3
-1,0.52857,27.3
-1,0.54286,27.3
-1,0.55714,27.3
-1,0.57143,27.3
-1,0.58571,27.3
-1,0.6,27.3
-1,0.61429,27.3
-1,0.62857,27.3
-1,0.64286,27.3
-1,0.65714,27.3
-1,0.67143,27.3
-1,0.68571,27.3
-1,0.7,27.3
-1,0.71429,27.3
-1,0.72857,27.3
-1,0.74286,27.3
-1,0.75714,27.3
-1,0.77143,27.3
-1,0.78571,27.3
-1,0.8,27.3
-0.96,0.1,26.822
-0.96,0.11429,26.822
-0.96,0.12857,26.822
-0.96,0.14286,26.822
-0.96,0.15714,26.822
-0.96,0.17143,26.822
-0.96,0.18571,26.822
-0.96,0.2,26.822
-0.96,0.21429,26.822
-0.96,0.22857,26.822
-0.96,0.24286,26.822
-0.96,0.25714,26.822
-0.96,0.27143,26.822
-0.96,0.28571,26.822
-0.96,0.3,26.822
-0.96,0.31429,26.822
-0.96,0.32857,26.822
-0.96,0.34286,26.822
-0.96,0.35714,26.822
-0.96,0.37143,26.822
-0.96,0.38571,26.822
-0.96,0.4,26.822
-0.96,0.41429,26.822
-0.96,0.42857,26.822
-0.96,0.44286,26.822
-0.96,0.45714,26.822
-0.96,0.47143,26.822
-0.96,0.48571,26.822
-0.96,0.5,26.822
-0.96,0.51429,26.822
-0.96,0.52857,26.822
-0.96,0.54286,26.822
-0.96,0.55714,26.822
-0.96,0.57143,26.822
-0.96,0.58571,26.822
-0.96,0.6,26.822
-0.96,0.61429,26.822
-0.96,0.62857,26.822
-0.96,0.64286,26.822
-0.96,0.65714,26.822
-0.96,0.67143,26.822
-0.96,0.68571,26.822
-0.96,0.7,26.822
-0.96,0.71429,26.822
-0.96,0.72857,26.822
-0.96,0.74286,26.822
-0.96,0.75714,26.822
-0.96,0.77143,26.822
-0.96,0.78571,26.822
-0.96,0.8,26.822
-0.92,0.1,26.371
-0.92,0.11429,26.371
-0.92,0.12857,26.371
-0.92,0.14286,26.371
-0.92,0.15714,26.371
-0.92,0.17143,26.371
-0.92,0.18571,26.371
-0.92,0.2,26.371
-0.92,0.21429,26.371
-0.92,0.22857,26.371
-0.92,0.24286,26.371
-0.92,0.25714,26.371
-0.92,0.27143,26.371
-0.92,0.28571,26.371
-0.92,0.3,26.371
-0.92,0.31429,26.371
-0.92,0.32857,26.371
-0.92,0.34286,26.371
-0.92,0.35714,26.371
-0.92,0.37143,26.371
-0.92,0.38571,26.371
-0.92,0.4,26.371
-0.92,0.41429,26.371
-0.92,0.42857,26.371
-0.92,0.44286,26.371
-0.92,0.45714,26.371
-0.92,0.47143,26.371
-0.92,0.48571,26.371
-0.92,0.5,26.371
-0.92,0.51429,26.371
-0.92,0.52857,26.371
-0.92,0.54286,26.371
-0.92,0.55714,26.371
-0.92,0.57143,26.371
-0.92,0.58571,26.371
-0.92,0.6,26.371
-0.92,0.61429,26.371
-0.92,0.62857,26.371
-0.92,0.64286,26.371
-0.92,0.65714,26.371
-0.92,0.67143,26.371
-0.92,0.68571,26.371
-0.92,0.7,26.371
-0.92,0.71429,26.371
-0.92,0.72857,26.371
-0.92,0.74286,26.371
-0.92,0.75714,26.371
-0.92,0.77143,26.371
-0.92,0.78571,26.371
-0.92,0.8,26.371
-0.88,0.1,25.943
-0.88,0.11429,25.943
-0.88,0.12857,25.943
-0.88,0.14286,25.943
-0.88,0.15714,25.943
-0.88,0.17143,25.943
-0.88,0.18571,25.943
-0.88,0.2,25.943
-0.88,0.21429,25.943
-0.88,0.22857,25.943
-0.88,0.24286,25.943
-0.88,0.25714,25.943
-0.88,0.27143,25.943
-0.88,0.28571,25.943
-0.88,0.3,25.943
-0.88,0.31429,25.943
-0.88,0.32857,25.943
-0.88,0.34286,25.943
-0.88,0.35714,25.943
-0.88,0.37143,25.943
-0.88,0.38571,25.943
-0.88,0.4,25.943
-0.88,0.41429,25.943
-0.88,0.42857,25.943
-0.88,0.44286,25.943
-0.88,0.45714,25.943
-0.88,0.47143,25.943
-0.88,0.48571,25.943
-0.88,0.5,25.943
-0.88,0.51429,25.943
-0.88,0.52857,25.943
-0.88,0.54286,25.943
-0.88,0.55714,25.943
-0.88,0.57143,25.943
-0.88,0.58571,25.943
-0.88,0.6,25.943
-0.88,0.61429,25.943
-0.88,0.62857,25.943
-0.88,0.64286,25.943
-0.88,0.65714,25.943
-0.88,0.67143,25.943
-0.88,0.68571,25.943
-0.88,0.7,25.943
-0.88,0.71429,25.943
-0.88,0.72857,25.943
-0.88,0.74286,25.943
-0.88,0.75714,25.943
-0.88,0.77143,25.943
-0.88,0.78571,25.943
-0.88,0.8,25.943
-0.84,0.1,25.536
-0.84,0.11429,25.536
-0.84,0.12857,25.536
-0.84,0.14286,25.536
-0.84,0.15714,25.536
-0.84,0.17143,25.536
-0.84,0.18571,25.536
-0.84,0.2,25.536
-0.84,0.21429,25.536
-0.84,0.22857,25.536
-0.84,0.24286,25.536
-0.84,0.25714,25.536
-0.84,0.27143,25.536
-0.84,0.28571,25.536
-0.84,0.3,25.536
-0.84,0.31429,25.536
-0.84,0.32857,25.536
-0.84,0.34286,25.536
-0.84,0.35714,25.536
-0.84,0.37143,25.536
