X,Y
0,2.5744
0.0078125,2.7042
0.015625,2.835
0.023438,2.9383
0.03125,3.028
0.039062,3.0632
0.046875,3.0314
0.054688,2.916
0.0625,2.7293
0.070312,2.4849
0.078125,2.2381
0.085938,2.0188
0.09375,1.866
0.10156,1.8144
0.10938,1.8672
0.11719,2.013
0.125,2.2117
0.13281,2.4248
0.14062,2.6318
0.14844,2.79
0.15625,2.8744
0.16406,2.8951
0.17188,2.863
0.17969,2.7959
0.1875,2.713
0.19531,2.6368
0.20312,2.5928
0.21094,2.591
0.21875,2.6334
0.22656,2.711
0.23438,2.8072
0.24219,2.9013
0.25,2.9856
0.25781,3.0444
0.26562,3.0681
0.27344,3.0601
0.28125,3.0388
0.28906,3.0223
0.29688,3.0365
0.30469,3.0945
0.3125,3.2014
0.32031,3.3422
0.32812,3.4946
0.33594,3.623
0.34375,3.7029
0.35156,3.7025
0.35938,3.6158
0.36719,3.4606
0.375,3.2577
0.38281,3.0446
0.39062,2.8678
0.39844,2.7564
0.40625,2.7092
0.41406,2.7297
0.42188,2.789
0.42969,2.8611
0.4375,2.9236
0.44531,2.9618
0.45312,2.9719
0.46094,2.9634
0.46875,2.9442
0.47656,2.9218
0.48438,2.8836
0.49219,2.813
0.5,2.6666
0.50781,2.4274
0.51562,2.0916
0.52344,1.6602
0.53125,1.1887
0.53906,0.72651
0.54688,0.39588
0.55469,0.22031
0.5625,0.24529
0.57031,0.46021
0.57812,0.84267
0.58594,1.3226
0.59375,1.7895
0.60156,2.1723
0.60938,2.4236
0.61719,2.5355
0.625,2.5447
0.63281,2.5202
0.64062,2.5394
0.64844,2.6628
0.65625,2.9028
0.66406,3.2472
0.67188,3.632
0.67969,3.9829
0.6875,4.2211
0.69531,4.2974
0.70312,4.1934
0.71094,3.9579
0.71875,3.661
0.72656,3.391
0.73438,3.2304
0.74219,3.2229
0.75,3.3769
0.75781,3.6436
0.76562,3.9526
0.77344,4.2162
0.78125,4.3529
0.78906,4.3105
0.79688,4.0877
0.80469,3.7308
0.8125,3.3088
0.82031,2.9022
0.82812,2.592
0.83594,2.4351
0.84375,2.4521
0.85156,2.6299
0.85938,2.9175
0.86719,3.2599
0.875,3.5902
0.88281,3.8591
0.89062,4.0374
0.89844,4.1119
0.90625,4.0942
0.91406,4.0083
0.92188,3.891
0.92969,3.769
0.9375,3.6709
0.94531,3.6138
0.95312,3.6039
0.96094,3.6316
0.96875,3.6788
0.97656,3.7233
0.98438,3.7441
0.99219,3.7242
1,3.6535
1.0078,3.5324
1.0156,3.3836
1.0234,3.2298
1.0312,3.1027
1.0391,3.0313
1.0469,3.0428
1.0547,3.1398
1.0625,3.3013
1.0703,3.497
1.0781,3.6828
1.0859,3.8171
1.0938,3.8517
1.1016,3.7627
1.1094,3.5487
1.1172,3.2292
1.125,2.8326
1.1328,2.4177
1.1406,2.0296
1.1484,1.7057
1.1562,1.4899
1.1641,1.3837
1.1719,1.377
1.1797,1.4561
1.1875,1.5975
1.1953,1.7827
1.2031,1.9887
1.2109,2.1986
1.2188,2.4063
1.2266,2.6222
1.2344,2.8433
1.2422,3.0744
1.25,3.326
1.2578,3.5784
1.2656,3.8367
1.2734,4.0791
1.2812,4.2899
1.2891,4.4502
1.2969,4.5377
1.3047,4.547
1.3125,4.4837
1.3203,4.3512
1.3281,4.1844
1.3359,4.0203
1.3438,3.8855
1.3516,3.8091
1.3594,3.8127
1.3672,3.897
1.375,4.0462
1.3828,4.2333
1.3906,4.4144
1.3984,4.5369
1.4062,4.562
1.4141,4.4679
1.4219,4.2411
1.4297,3.9147
1.4375,3.526
1.4453,3.1167
1.4531,2.7512
1.4609,2.4645
1.4688,2.301
1.4766,2.2616
1.4844,2.3191
1.4922,2.444
1.5,2.5935
1.5078,2.7146
1.5156,2.763
1.5234,2.726
1.5312,2.6077
1.5391,2.4403
1.5469,2.2752
1.5547,2.1545
1.5625,2.1126
1.5703,2.1766
1.5781,2.3434
1.5859,2.5961
1.5938,2.8869
1.6016,3.1637
1.6094,3.3834
1.6172,3.513
1.625,3.5527
1.6328,3.5205
1.6406,3.4461
1.6484,3.3646
1.6562,3.3124
1.6641,3.3046
1.6719,3.3368
1.6797,3.3848
1.6875,3.4153
1.6953,3.394
1.7031,3.3059
1.7109,3.1576
1.7188,2.9703
1.7266,2.7998
1.7344,2.6797
1.7422,2.6414
1.75,2.708
1.7578,2.8398
1.7656,2.9995
1.7734,3.1332
1.7812,3.175
1.7891,3.0899
1.7969,2.8877
1.8047,2.5966
1.8125,2.288
1.8203,2.0495
1.8281,1.9295
1.8359,1.9874
1.8438,2.1967
1.8516,2.5229
1.8594,2.8842
1.8672,3.1776
1.875,3.3204
1.8828,3.2641
1.8906,3.0013
1.8984,2.5799
1.9062,2.0754
1.9141,1.5799
1.9219,1.1885
1.9297,0.943
1.9375,0.87652
1.9453,0.98916
1.9531,1.2216
1.9609,1.5049
1.9688,1.799
1.9766,2.0774
1.9844,2.2935
1.9922,2.4736
