X,Y
0,-0.41787
0.0078125,-0.3716
0.015625,-0.22977
0.023438,-0.51578
0.03125,-0.49703
0.039062,-0.017642
0.046875,0.55704
0.054688,1.6871
0.0625,1.9573
0.070312,1.3159
0.078125,1.0519
0.085938,0.49456
0.09375,0.25436
0.10156,-0.03663
0.10938,-0.41463
0.11719,-0.26923
0.125,0.16222
0.13281,0.13784
0.14062,0.095175
0.14844,0.1644
0.15625,0.022135
0.16406,-0.077484
0.17188,-0.14345
0.17969,-0.097986
0.1875,-0.082002
0.19531,-0.057565
0.20312,-0.09865
0.21094,-0.063674
0.21875,-0.028537
0.22656,0.39374
0.23438,1.3691
0.24219,1.9919
0.25,2.5405
0.25781,0.67711
0.26562,-0.30419
0.27344,0.27397
0.28125,-0.33544
0.28906,-0.44595
0.29688,-0.44992
0.30469,-0.50696
0.3125,-0.55422
0.32031,-0.51706
0.32812,-0.60839
0.33594,-0.44474
0.34375,-0.30919
0.35156,-0.22637
0.35938,-0.15021
0.36719,-0.11459
0.375,-0.089275
0.38281,-0.077441
0.39062,-0.12144
0.39844,-0.25373
0.40625,-0.39966
0.41406,-0.3327
0.42188,-0.12722
0.42969,-0.10431
0.4375,-0.25267
0.44531,-0.38562
0.45312,-0.37166
0.46094,-0.30592
0.46875,-0.21295
0.47656,-0.21706
0.48438,-0.26802
0.49219,-0.23053
0.5,0.17354
0.50781,0.42948
0.51562,0.31524
0.52344,0.41371
0.53125,0.38232
0.53906,0.44649
0.54688,0.58849
0.55469,0.62098
0.5625,1.6764
0.57031,2.6185
0.57812,3.6438
0.58594,3.9585
0.59375,2.1126
0.60156,1.1328
0.60938,1.1094
0.61719,1.3779
0.625,0.56487
0.63281,-0.027883
0.64062,0.26731
0.64844,0.14511
0.65625,0.16195
0.66406,0.10028
0.67188,0.064926
0.67969,-0.07386
0.6875,0.081783
0.69531,-0.027047
0.70312,0.015928
0.71094,0.1872
0.71875,0.92755
0.72656,1.6578
0.73438,0.50268
0.74219,0.38253
0.75,0.41515
0.75781,-0.098024
0.76562,0.10408
0.77344,0.074651
0.78125,0.026599
0.78906,0.0027586
0.79688,-0.0088459
0.80469,-0.051084
0.8125,-0.087486
0.82031,-0.13886
0.82812,-0.13186
0.83594,-0.13154
0.84375,-0.11668
0.85156,-0.13892
0.85938,-0.12784
0.86719,-0.14612
0.875,-0.16448
0.88281,-0.17176
0.89062,-0.19714
0.89844,-0.22454
0.90625,-0.24204
0.91406,-0.011641
0.92188,0.1463
0.92969,0.066467
0.9375,-0.054652
0.94531,-0.33989
0.95312,-0.55288
0.96094,-0.43787
0.96875,-0.20069
0.97656,-0.043848
0.98438,0.039011
0.99219,-0.058426
1,-0.11908
1.0078,-0.082065
1.0156,-0.15242
1.0234,-0.21689
1.0312,-0.32138
1.0391,-0.44462
1.0469,-0.40436
1.0547,-0.40133
1.0625,-0.35499
1.0703,-0.23952
1.0781,-0.10443
1.0859,0.0094175
1.0938,0.20241
1.1016,0.48733
1.1094,1.2814
1.1172,1.5013
1.125,1.2535
1.1328,0.79743
1.1406,0.26701
1.1484,0.1184
1.1562,0.15795
1.1641,0.39488
1.1719,0.63269
1.1797,1.0113
1.1875,1.719
1.1953,2.8379
1.2031,5.2709
1.2109,7.7268
1.2188,6.3934
1.2266,2.4863
1.2344,1.6373
1.2422,2.4532
1.25,0.49841
1.2578,0.28633
1.2656,0.59565
1.2734,0.062809
1.2812,0.39411
1.2891,0.37572
1.2969,0.02897
1.3047,0.18269
1.3125,0.18218
1.3203,0.020114
1.3281,0.16201
1.3359,-0.1028
1.3438,-0.15702
1.3516,-0.036854
1.3594,-0.18399
1.3672,-0.44458
1.375,-0.36291
1.3828,-0.63436
1.3906,-0.67379
1.3984,-0.30408
1.4062,-0.0072518
1.4141,0.12737
1.4219,-0.01145
1.4297,-0.019994
1.4375,-0.021136
1.4453,-0.078836
1.4531,-0.094839
1.4609,-0.15816
1.4688,-0.23761
1.4766,-0.40444
1.4844,-0.52631
1.4922,-0.69253
1.5,-0.7937
1.5078,-0.90515
1.5156,-0.73399
1.5234,-0.50287
1.5312,-0.61659
1.5391,-0.59665
1.5469,-0.53407
1.5547,-0.42779
1.5625,-0.3343
1.5703,-0.29782
1.5781,-0.32003
1.5859,-0.28885
1.5938,-0.24928
1.6016,-0.2271
1.6094,-0.16839
1.6172,-0.10895
1.625,-0.068762
1.6328,0.06794
1.6406,0.7291
1.6484,0.83647
1.6562,0.60492
1.6641,0.58567
1.6719,0.47188
1.6797,0.42768
1.6875,0.3556
1.6953,0.2895
1.7031,0.37463
1.7109,0.47574
1.7188,0.50673
1.7266,0.55583
1.7344,0.57054
1.7422,0.33804
1.75,-0.5583
1.7578,-0.55214
1.7656,-0.14255
1.7734,-0.10633
1.7812,0.084913
1.7891,0.25608
1.7969,0.22576
1.8047,0.50525
1.8125,0.85972
1.8203,1.102
1.8281,0.96391
1.8359,3.8004
1.8438,6.5271
1.8516,4.2511
1.8594,1.4458
1.8672,0.54044
1.875,0.8361
1.8828,0.84291
1.8906,0.6422
1.8984,0.46566
1.9062,0.3136
1.9141,0.22725
1.9219,0.1345
1.9297,-0.0056105
1.9375,-0.092856
1.9453,-0.14052
1.9531,-0.1265
1.9609,-0.11352
1.9688,-0.10873
1.9766,-0.12464
1.9844,-0.12852
