X,Y
0,0.21309
0.0078125,0.28839
0.015625,0.35628
0.023438,0.20763
0.03125,0.18594
0.039062,0.34148
0.046875,0.27327
0.054688,0.094833
0.0625,0.029702
0.070312,-0.073323
0.078125,-0.070994
0.085938,-0.11282
0.09375,-0.22018
0.10156,-0.27343
0.10938,-0.2871
0.11719,-0.32206
0.125,-0.34848
0.13281,-0.33179
0.14062,-0.3801
0.14844,-0.44682
0.15625,-0.45479
0.16406,-0.20219
0.17188,0.279
0.17969,0.44654
0.1875,0.74394
0.19531,0.50768
0.20312,0.16962
0.21094,0.10732
0.21875,0.0088705
0.22656,0.1076
0.23438,0.050035
0.24219,0.035198
0.25,0.019127
0.25781,0.082482
0.26562,0.10418
0.27344,0.17189
0.28125,0.22665
0.28906,0.29444
0.29688,0.31051
0.30469,0.3106
0.3125,0.083525
0.32031,0.30989
0.32812,0.8406
0.33594,1.0253
0.34375,1.2371
0.35156,2.7272
0.35938,4.8201
0.36719,4.2599
0.375,2.0507
0.38281,1.7329
0.39062,0.97378
0.39844,0.70138
0.40625,1.1054
0.41406,0.10735
0.42188,0.19623
0.42969,0.029631
0.4375,-0.2704
0.44531,-0.13203
0.45312,-0.36563
0.46094,-0.44152
0.46875,-0.16776
0.47656,-0.23884
0.48438,-0.29782
0.49219,-0.33505
0.5,-0.37194
0.50781,-0.28713
0.51562,-0.23199
0.52344,-0.21344
0.53125,-0.23219
0.53906,-0.27049
0.54688,-0.24747
0.55469,-0.27687
0.5625,-0.3153
0.57031,-0.19535
0.57812,-0.07898
0.58594,-0.11354
0.59375,-0.087956
0.60156,-0.083491
0.60938,-0.14463
0.61719,-0.21062
0.625,-0.43517
0.63281,-0.48169
0.64062,-0.31758
0.64844,-0.20101
0.65625,-0.095685
0.66406,0.054649
0.67188,0.22788
0.67969,0.037237
0.6875,-0.31938
0.69531,-0.39309
0.70312,-0.40536
0.71094,-0.28575
0.71875,-0.23462
0.72656,-0.11975
0.73438,-0.018531
0.74219,0.021385
0.75,0.069811
0.75781,0.21854
0.76562,0.23664
0.77344,0.45912
0.78125,0.25045
0.78906,2.1648
0.79688,5.0517
0.80469,3.0025
0.8125,1.4575
0.82031,0.3708
0.82812,-0.28555
0.83594,0.29236
0.84375,-0.24803
0.85156,-0.17247
0.85938,0.18193
0.86719,-0.039616
0.875,-0.046975
0.88281,0.17231
0.89062,-0.17433
0.89844,-0.35412
0.90625,-0.427
0.91406,-0.20009
0.92188,-0.06226
0.92969,0.071738
0.9375,0.10301
0.94531,0.36878
0.95312,0.53575
0.96094,0.69768
0.96875,1.4604
0.97656,2.1079
0.98438,4.7731
0.99219,5.0319
1,3.0289
1.0078,2.3472
1.0156,1.435
1.0234,0.91134
1.0312,0.93958
1.0391,0.70868
1.0469,-0.14521
1.0547,-0.02506
1.0625,0.19611
1.0703,-0.0097139
1.0781,-0.11142
1.0859,-0.12387
1.0938,-0.17982
1.1016,-0.17417
1.1094,-0.13071
1.1172,-0.11826
1.125,-0.15193
1.1328,-0.14483
1.1406,-0.31738
1.1484,-0.51161
1.1562,-0.33036
1.1641,-0.59827
1.1719,-0.88108
1.1797,-0.56027
1.1875,-0.20499
1.1953,0.013161
1.2031,0.015301
1.2109,-0.00040876
1.2188,-0.0019663
1.2266,0.024234
1.2344,-0.0060301
1.2422,-0.006874
1.25,-0.076275
1.2578,-0.11509
1.2656,-0.19963
1.2734,-0.37065
1.2812,-0.49495
1.2891,-0.45616
1.2969,-0.32352
1.3047,-0.1789
1.3125,-0.14525
1.3203,-0.18553
1.3281,-0.2335
1.3359,-0.34482
1.3438,-0.33185
1.3516,-0.35919
1.3594,-0.32078
1.3672,-0.29153
1.375,-0.1662
1.3828,0.02182
1.3906,0.11411
1.3984,0.64578
1.4062,1.081
1.4141,0.47936
1.4219,-0.26932
1.4297,1.7752
1.4375,7.29
1.4453,5.7874
1.4531,2.319
1.4609,3.0258
1.4688,1.6294
1.4766,0.98575
1.4844,0.73118
1.4922,0.41347
1.5,0.29814
1.5078,0.060874
1.5156,-0.10162
1.5234,-0.078607
1.5312,-0.090491
1.5391,-0.25468
1.5469,-0.29743
1.5547,-0.25281
1.5625,-0.20632
1.5703,-0.1905
1.5781,-0.17977
1.5859,-0.14328
1.5938,0.045244
1.6016,0.090008
1.6094,0.15228
1.6172,0.12032
1.625,-0.078383
1.6328,-0.18441
1.6406,-0.23526
1.6484,-0.18779
1.6562,-0.18764
1.6641,-0.22394
1.6719,-0.22848
1.6797,-0.25428
1.6875,-0.24607
1.6953,-0.25158
1.7031,-0.21899
1.7109,-0.19168
1.7188,-0.16646
1.7266,-0.076281
1.7344,-0.075599
1.7422,-0.071975
1.75,0.029663
1.7578,0.13902
1.7656,0.46313
1.7734,1.304
1.7812,2.1572
1.7891,2.2643
1.7969,0.59739
1.8047,-0.33295
1.8125,0.1785
1.8203,0.23828
1.8281,0.12332
1.8359,0.038467
1.8438,0.072525
1.8516,0.057776
1.8594,0.11399
1.8672,0.20524
1.875,0.38071
1.8828,0.33377
1.8906,0.28215
1.8984,0.042262
1.9062,0.85406
1.9141,0.84484
1.9219,0.085588
1.9297,0.56216
1.9375,0.49892
1.9453,1.394
1.9531,1.7138
1.9609,1.8798
1.9688,1.6945
1.9766,0.78774
1.9844,0.72693
