X,Y
0,0
0.4,0.00076493
0.4,0.00076493
0.8,0.0015221
0.8,0.0015221
1.2,0.0029902
1.2,0.0029902
1.6,0.0037666
1.6,0.0037666
2,0.003877
2,0.003877
2.4,0.0041615
2.4,0.0041615
2.8,0.0048149
2.8,0.0048149
3.2,0.0050703
3.2,0.0050703
3.6,0.0055242
3.6,0.0055242
4,0.0062226
4,0.0062226
4.4,0.0059773
4.4,0.0059773
4.8,0.0064073
4.8,0.0064073
5.2,0.0062988
5.2,0.0062988
5.6,0.0062714
5.6,0.0062714
6,0.0070048
6,0.0070048
6.4,0.0053935
6.4,0.0053935
6.8,0.005965
6.8,0.005965
7.2,0.0060586
7.2,0.0060586
7.6,0.0054735
7.6,0.0054735
8,0.0055387
8,0.0055387
8.4,0.0047903
8.4,0.0047903
8.8,0.0042094
8.8,0.0042094
9.2,0.0030446
9.2,0.0030446
9.6,0.0029113
9.6,0.0029113
10,0.0009876
10,0.0009876
10.4,6.0293e-06
10.4,6.0293e-06
10.8,2.8307e-06
10.8,2.8307e-06
11.2,2.1437e-06
11.2,2.1437e-06
11.6,2.4731e-06
11.6,2.4731e-06
12,1.9942e-06
12,1.9942e-06
12.4,1.6407e-06
12.4,1.6407e-06
12.8,2.0121e-06
12.8,2.0121e-06
13.2,1.9053e-06
13.2,1.9053e-06
13.6,1.4811e-06
13.6,1.4811e-06
14,1.7253e-06
14,1.7253e-06
14.4,1.8678e-06
14.4,1.8678e-06
14.8,1.4556e-06
14.8,1.4556e-06
15.2,1.5617e-06
15.2,1.5617e-06
15.6,1.7962e-06
15.6,1.7962e-06
16,1.4422e-06
16,1.4422e-06
16.4,1.3569e-06
16.4,1.3569e-06
16.8,1.6583e-06
16.8,1.6583e-06
17.2,1.4987e-06
17.2,1.4987e-06
17.6,1.2509e-06
17.6,1.2509e-06
18,1.5554e-06
18,1.5554e-06
18.4,1.489e-06
18.4,1.489e-06
18.8,1.1201e-06
18.8,1.1201e-06
19.2,1.2838e-06
19.2,1.2838e-06
19.6,1.5091e-06
19.6,1.5091e-06
20,1.1099e-06
20,1.1099e-06
20.4,1.1007e-06
20.4,1.1007e-06
20.8,1.3685e-06
20.8,1.3685e-06
21.2,1.1573e-06
21.2,1.1573e-06
21.6,9.7648e-07
21.6,9.7648e-07
22,1.1634e-06
22,1.1634e-06
22.4,1.1529e-06
22.4,1.1529e-06
22.8,9.1474e-07
22.8,9.1474e-07
23.2,1.017e-06
23.2,1.017e-06
23.6,1.0876e-06
23.6,1.0876e-06
24,8.2571e-07
24,8.2571e-07
24.4,8.729e-07
24.4,8.729e-07
24.8,1.0036e-06
24.8,1.0036e-06
25.2,7.6551e-07
25.2,7.6551e-07
25.6,7.1872e-07
25.6,7.1872e-07
26,8.7218e-07
26,8.7218e-07
26.4,7.2738e-07
26.4,7.2738e-07
26.8,5.6456e-07
26.8,5.6456e-07
27.2,7.3199e-07
27.2,7.3199e-07
27.6,7.1285e-07
27.6,7.1285e-07
28,4.9227e-07
28,4.9227e-07
28.4,5.1331e-07
28.4,5.1331e-07
28.8,6.0984e-07
28.8,6.0984e-07
29.2,4.7911e-07
29.2,4.7911e-07
29.6,4.4411e-07
29.6,4.4411e-07
30,4.6816e-07
30,4.6816e-07
30.4,4.2982e-07
30.4,4.2982e-07
30.8,3.5511e-07
30.8,3.5511e-07
31.2,3.9799e-07
31.2,3.9799e-07
31.6,3.6772e-07
31.6,3.6772e-07
32,3.074e-07
32,3.074e-07
32.4,3.2101e-07
32.4,3.2101e-07
32.8,3.1072e-07
32.8,3.1072e-07
33.2,2.5923e-07
33.2,2.5923e-07
33.6,2.7477e-07
33.6,2.7477e-07
34,2.8429e-07
34,2.8429e-07
34.4,2.0918e-07
34.4,2.0918e-07
34.8,2.2416e-07
34.8,2.2416e-07
35.2,2.4116e-07
