X,Z,Y
-1,0.05,3.8925
-1,0.069388,4.2609
-1,0.088776,4.5379
-1,0.10816,4.7599
-1,0.12755,4.9453
-1,0.14694,5.1043
-1,0.16633,5.2437
-1,0.18571,5.3676
-1,0.2051,5.4792
-1,0.22449,5.5808
-1,0.24388,5.6739
-1,0.26327,5.7599
-1,0.28265,5.8398
-1,0.30204,5.9144
-1,0.32143,5.9843
-1,0.34082,6.0501
-1,0.3602,6.1123
-1,0.37959,6.1713
-1,0.39898,6.2273
-1,0.41837,6.2806
-1,0.43776,6.3315
-1,0.45714,6.3802
-1,0.47653,6.4269
-1,0.49592,6.4718
-1,0.51531,6.5149
-1,0.53469,6.5564
-1,0.55408,6.5964
-1,0.57347,6.6351
-1,0.59286,6.6725
-1,0.61224,6.7087
-1,0.63163,6.7437
-1,0.65102,6.7777
-1,0.67041,6.8107
-1,0.6898,6.8427
-1,0.70918,6.8739
-1,0.72857,6.9042
-1,0.74796,6.9337
-1,0.76735,6.9625
-1,0.78673,6.9905
-1,0.80612,7.0179
-1,0.82551,7.0446
-1,0.8449,7.0707
-1,0.86429,7.0962
-1,0.88367,7.1212
-1,0.90306,7.1456
-1,0.92245,7.1694
-1,0.94184,7.1928
-1,0.96122,7.2157
-1,0.98061,7.2382
-1,1,7.2602
-0.95918,0.05,3.905
-0.95918,0.069388,4.2723
-0.95918,0.088776,4.5484
-0.95918,0.10816,4.7698
-0.95918,0.12755,4.9546
-0.95918,0.14694,5.1132
-0.95918,0.16633,5.2521
-0.95918,0.18571,5.3757
-0.95918,0.2051,5.487
-0.95918,0.22449,5.5882
-0.95918,0.24388,5.681
-0.95918,0.26327,5.7668
-0.95918,0.28265,5.8464
-0.95918,0.30204,5.9208
-0.95918,0.32143,5.9905
-0.95918,0.34082,6.0561
-0.95918,0.3602,6.1181
-0.95918,0.37959,6.1769
-0.95918,0.39898,6.2327
-0.95918,0.41837,6.2859
-0.95918,0.43776,6.3367
-0.95918,0.45714,6.3853
-0.95918,0.47653,6.4318
-0.95918,0.49592,6.4765
-0.95918,0.51531,6.5195
-0.95918,0.53469,6.5609
-0.95918,0.55408,6.6008
-0.95918,0.57347,6.6393
-0.95918,0.59286,6.6766
-0.95918,0.61224,6.7127
-0.95918,0.63163,6.7476
-0.95918,0.65102,6.7815
-0.95918,0.67041,6.8144
-0.95918,0.6898,6.8463
-0.95918,0.70918,6.8774
-0.95918,0.72857,6.9076
-0.95918,0.74796,6.9371
-0.95918,0.76735,6.9657
-0.95918,0.78673,6.9937
-0.95918,0.80612,7.021
-0.95918,0.82551,7.0476
-0.95918,0.8449,7.0736
-0.95918,0.86429,7.0991
-0.95918,0.88367,7.1239
-0.95918,0.90306,7.1483
-0.95918,0.92245,7.1721
-0.95918,0.94184,7.1954
-0.95918,0.96122,7.2182
-0.95918,0.98061,7.2406
-0.95918,1,7.2625
-0.91837,0.05,3.9175
-0.91837,0.069388,4.2836
-0.91837,0.088776,4.559
-0.91837,0.10816,4.7797
-0.91837,0.12755,4.9639
-0.91837,0.14694,5.122
-0.91837,0.16633,5.2605
-0.91837,0.18571,5.3837
-0.91837,0.2051,5.4947
-0.91837,0.22449,5.5956
-0.91837,0.24388,5.6882
-0.91837,0.26327,5.7736
-0.91837,0.28265,5.853
-0.91837,0.30204,5.9272
-0.91837,0.32143,5.9967
-0.91837,0.34082,6.0621
-0.91837,0.3602,6.1239
-0.91837,0.37959,6.1825
-0.91837,0.39898,6.2382
-0.91837,0.41837,6.2912
-0.91837,0.43776,6.3418
-0.91837,0.45714,6.3902
-0.91837,0.47653,6.4367
-0.91837,0.49592,6.4812
-0.91837,0.51531,6.5241
-0.91837,0.53469,6.5653
-0.91837,0.55408,6.6051
-0.91837,0.57347,6.6436
-0.91837,0.59286,6.6807
-0.91837,0.61224,6.7167
-0.91837,0.63163,6.7515
-0.91837,0.65102,6.7853
-0.91837,0.67041,6.8181
-0.91837,0.6898,6.8499
-0.91837,0.70918,6.8809
-0.91837,0.72857,6.911
-0.91837,0.74796,6.9404
-0.91837,0.76735,6.969
-0.91837,0.78673,6.9969
-0.91837,0.80612,7.0241
-0.91837,0.82551,7.0506
-0.91837,0.8449,7.0766
-0.91837,0.86429,7.1019
-0.91837,0.88367,7.1267
-0.91837,0.90306,7.151
-0.91837,0.92245,7.1747
-0.91837,0.94184,7.1979
-0.91837,0.96122,7.2207
-0.91837,0.98061,7.243
