X,Z,Y
-1,0.05,3.8925
-1,0.061224,4.1202
-1,0.072449,4.3094
-1,0.083673,4.4713
-1,0.094898,4.6129
-1,0.10612,4.7385
-1,0.11735,4.8515
-1,0.12857,4.9542
-1,0.1398,5.0483
-1,0.15102,5.1351
-1,0.16224,5.2157
-1,0.17347,5.2909
-1,0.18469,5.3614
-1,0.19592,5.4277
-1,0.20714,5.4904
-1,0.21837,5.5497
-1,0.22959,5.606
-1,0.24082,5.6597
-1,0.25204,5.7109
-1,0.26327,5.7599
-1,0.27449,5.8068
-1,0.28571,5.8519
-1,0.29694,5.8952
-1,0.30816,5.9369
-1,0.31939,5.9771
-1,0.33061,6.016
-1,0.34184,6.0535
-1,0.35306,6.0898
-1,0.36429,6.125
-1,0.37551,6.1591
-1,0.38673,6.1922
-1,0.39796,6.2244
-1,0.40918,6.2557
-1,0.42041,6.2861
-1,0.43163,6.3157
-1,0.44286,6.3446
-1,0.45408,6.3727
-1,0.46531,6.4001
-1,0.47653,6.4269
-1,0.48776,6.4531
-1,0.49898,6.4787
-1,0.5102,6.5037
-1,0.52143,6.5282
-1,0.53265,6.5521
-1,0.54388,6.5755
-1,0.5551,6.5985
-1,0.56633,6.621
-1,0.57755,6.6431
-1,0.58878,6.6647
-1,0.6,6.6859
-0.95918,0.05,3.905
-0.95918,0.061224,4.132
-0.95918,0.072449,4.3207
-0.95918,0.083673,4.4821
-0.95918,0.094898,4.6232
-0.95918,0.10612,4.7485
-0.95918,0.11735,4.8612
-0.95918,0.12857,4.9635
-0.95918,0.1398,5.0573
-0.95918,0.15102,5.1439
-0.95918,0.16224,5.2243
-0.95918,0.17347,5.2992
-0.95918,0.18469,5.3695
-0.95918,0.19592,5.4356
-0.95918,0.20714,5.4981
-0.95918,0.21837,5.5572
-0.95918,0.22959,5.6134
-0.95918,0.24082,5.6669
-0.95918,0.25204,5.7179
-0.95918,0.26327,5.7668
-0.95918,0.27449,5.8136
-0.95918,0.28571,5.8585
-0.95918,0.29694,5.9017
-0.95918,0.30816,5.9433
-0.95918,0.31939,5.9834
-0.95918,0.33061,6.0221
-0.95918,0.34184,6.0595
-0.95918,0.35306,6.0957
-0.95918,0.36429,6.1308
-0.95918,0.37551,6.1648
-0.95918,0.38673,6.1978
-0.95918,0.39796,6.2299
-0.95918,0.40918,6.261
-0.95918,0.42041,6.2914
-0.95918,0.43163,6.3209
-0.95918,0.44286,6.3497
-0.95918,0.45408,6.3777
-0.95918,0.46531,6.4051
-0.95918,0.47653,6.4318
-0.95918,0.48776,6.4579
-0.95918,0.49898,6.4834
-0.95918,0.5102,6.5083
-0.95918,0.52143,6.5327
-0.95918,0.53265,6.5566
-0.95918,0.54388,6.58
-0.95918,0.5551,6.6029
-0.95918,0.56633,6.6253
-0.95918,0.57755,6.6473
-0.95918,0.58878,6.6689
-0.95918,0.6,6.69
-0.91837,0.05,3.9175
-0.91837,0.061224,4.1438
-0.91837,0.072449,4.3319
-0.91837,0.083673,4.4928
-0.91837,0.094898,4.6335
-0.91837,0.10612,4.7584
-0.91837,0.11735,4.8707
-0.91837,0.12857,4.9728
-0.91837,0.1398,5.0663
-0.91837,0.15102,5.1526
-0.91837,0.16224,5.2327
-0.91837,0.17347,5.3075
-0.91837,0.18469,5.3776
-0.91837,0.19592,5.4435
-0.91837,0.20714,5.5057
-0.91837,0.21837,5.5647
-0.91837,0.22959,5.6207
-0.91837,0.24082,5.674
-0.91837,0.25204,5.7249
-0.91837,0.26327,5.7736
-0.91837,0.27449,5.8203
-0.91837,0.28571,5.8651
-0.91837,0.29694,5.9081
-0.91837,0.30816,5.9496
-0.91837,0.31939,5.9896
-0.91837,0.33061,6.0281
-0.91837,0.34184,6.0655
-0.91837,0.35306,6.1016
-0.91837,0.36429,6.1365
-0.91837,0.37551,6.1704
-0.91837,0.38673,6.2033
-0.91837,0.39796,6.2353
-0.91837,0.40918,6.2664
-0.91837,0.42041,6.2966
-0.91837,0.43163,6.3261
-0.91837,0.44286,6.3548
-0.91837,0.45408,6.3827
-0.91837,0.46531,6.41
-0.91837,0.47653,6.4367
-0.91837,0.48776,6.4627
-0.91837,0.49898,6.4881
-0.91837,0.5102,6.5129
-0.91837,0.52143,6.5373
-0.91837,0.53265,6.5611
-0.91837,0.54388,6.5844
-0.91837,0.5551,6.6072
-0.91837,0.56633,6.6296
-0.91837,0.57755,6.6515
-0.91837,0.58878,6.673
-0.91837,0.6,6.6941
-0.87755,0.05,3.9299
-0.87755,0.061224,4.1555
-0.87755,0.072449,4.3431
-0.87755,0.083673,4.5035
-0.87755,0.094898,4.6438
-0.87755,0.10612,4.7683
-0.87755,0.11735,4.8803
-0.87755,0.12857,4.9821
-0.87755,0.1398,5.0753
-0.87755,0.15102,5.1613
-0.87755,0.16224,5.2412
-0.87755,0.17347,5.3157
-0.87755,0.18469,5.3856
-0.87755,0.19592,5.4513
-0.87755,0.20714,5.5134
-0.87755,0.21837,5.5722
-0.87755,0.22959,5.628
-0.87755,0.24082,5.6812
-0.87755,0.25204,5.7319
-0.87755,0.26327,5.7805
-0.87755,0.27449,5.827
-0.87755,0.28571,5.8716
-0.87755,0.29694,5.9145
-0.87755,0.30816,5.9559
-0.87755,0.31939,5.9957
-0.87755,0.33061,6.0342
-0.87755,0.34184,6.0714
-0.87755,0.35306,6.1074
-0.87755,0.36429,6.1423
-0.87755,0.37551,6.1761
-0.87755,0.38673,6.2089
-0.87755,0.39796,6.2408
-0.87755,0.40918,6.2717
-0.87755,0.42041,6.3019
-0.87755,0.43163,6.3312
-0.87755,0.44286,6.3598
-0.87755,0.45408,6.3877
-0.87755,0.46531,6.4149
-0.87755,0.47653,6.4415
-0.87755,0.48776,6.4674
-0.87755,0.49898,6.4928
-0.87755,0.5102,6.5175
-0.87755,0.52143,6.5418
-0.87755,0.53265,6.5655
-0.87755,0.54388,6.5887
-0.87755,0.5551,6.6115
-0.87755,0.56633,6.6338
-0.87755,0.57755,6.6557
-0.87755,0.58878,6.6771
-0.87755,0.6,6.6982
-0.83673,0.05,3.9423
-0.83673,0.061224,4.1672
-0.83673,0.072449,4.3542
-0.83673,0.083673,4.5142
-0.83673,0.094898,4.654
-0.83673,0.10612,4.7782
-0.83673,0.11735,4.8898
-0.83673,0.12857,4.9913
-0.83673,0.1398,5.0842
-0.83673,0.15102,5.17
-0.83673,0.16224,5.2497
-0.83673,0.17347,5.3239
-0.83673,0.18469,5.3936
-0.83673,0.19592,5.4591
-0.83673,0.20714,5.521
-0.83673,0.21837,5.5796
-0.83673,0.22959,5.6353
-0.83673,0.24082,5.6883
-0.83673,0.25204,5.7389
-0.83673,0.26327,5.7873
-0.83673,0.27449,5.8336
-0.83673,0.28571,5.8782
-0.83673,0.29694,5.921
-0.83673,0.30816,5.9622
-0.83673,0.31939,6.0019
-0.83673,0.33061,6.0403
-0.83673,0.34184,6.0773
-0.83673,0.35306,6.1132
-0.83673,0.36429,6.148
-0.83673,0.37551,6.1817
-0.83673,0.38673,6.2144
-0.83673,0.39796,6.2462
-0.83673,0.40918,6.2771
-0.83673,0.42041,6.3071
-0.83673,0.43163,6.3364
-0.83673,0.44286,6.3649
-0.83673,0.45408,6.3927
-0.83673,0.46531,6.4198
-0.83673,0.47653,6.4463
-0.83673,0.48776,6.4722
-0.83673,0.49898,6.4974
-0.83673,0.5102,6.5221
-0.83673,0.52143,6.5463
-0.83673,0.53265,6.57
-0.83673,0.54388,6.5931
-0.83673,0.5551,6.6158
-0.83673,0.56633,6.638
-0.83673,0.57755,6.6598
-0.83673,0.58878,6.6812
-0.83673,0.6,6.7022
-0.79592,0.05,3.9547
-0.79592,0.061224,4.1789
-0.79592,0.072449,4.3653
-0.79592,0.083673,4.5248
-0.79592,0.094898,4.6642
-0.79592,0.10612,4.788
-0.79592,0.11735,4.8993
-0.79592,0.12857,5.0005
-0.79592,0.1398,5.0932
-0.79592,0.15102,5.1787
-0.79592,0.16224,5.2581
-0.79592,0.17347,5.3321
-0.79592,0.18469,5.4016
-0.79592,0.19592,5.4669
-0.79592,0.20714,5.5286
-0.79592,0.21837,5.587
-0.79592,0.22959,5.6425
-0.79592,0.24082,5.6954
-0.79592,0.25204,5.7458
-0.79592,0.26327,5.7941
-0.79592,0.27449,5.8403
-0.79592,0.28571,5.8847
-0.79592,0.29694,5.9273
-0.79592,0.30816,5.9684
-0.79592,0.31939,6.008
-0.79592,0.33061,6.0463
-0.79592,0.34184,6.0833
-0.79592,0.35306,6.119
-0.79592,0.36429,6.1537
-0.79592,0.37551,6.1873
-0.79592,0.38673,6.2199
-0.79592,0.39796,6.2516
-0.79592,0.40918,6.2824
-0.79592,0.42041,6.3124
-0.79592,0.43163,6.3415
-0.79592,0.44286,6.37
-0.79592,0.45408,6.3977
-0.79592,0.46531,6.4247
-0.79592,0.47653,6.4511
-0.79592,0.48776,6.4769
-0.79592,0.49898,6.5021
-0.79592,0.5102,6.5267
-0.79592,0.52143,6.5508
-0.79592,0.53265,6.5744
-0.79592,0.54388,6.5975
-0.79592,0.5551,6.6201
-0.79592,0.56633,6.6423
-0.79592,0.57755,6.664
-0.79592,0.58878,6.6853
-0.79592,0.6,6.7062
-0.7551,0.05,3.967
-0.7551,0.061224,4.1906
-0.7551,0.072449,4.3764
-0.7551,0.083673,4.5354
-0.7551,0.094898,4.6744
-0.7551,0.10612,4.7978
-0.7551,0.11735,4.9088
-0.7551,0.12857,5.0096
-0.7551,0.1398,5.102
-0.7551,0.15102,5.1873
-0.7551,0.16224,5.2665
-0.7551,0.17347,5.3403
-0.7551,0.18469,5.4095
-0.7551,0.19592,5.4747
-0.7551,0.20714,5.5362
-0.7551,0.21837,5.5944
-0.7551,0.22959,5.6497
-0.7551,0.24082,5.7024
-0.7551,0.25204,5.7527
-0.7551,0.26327,5.8008
-0.7551,0.27449,5.8469
-0.7551,0.28571,5.8912
-0.7551,0.29694,5.9337
-0.7551,0.30816,5.9747
-0.7551,0.31939,6.0142
-0.7551,0.33061,6.0523
-0.7551,0.34184,6.0892
-0.7551,0.35306,6.1248
-0.7551,0.36429,6.1594
-0.7551,0.37551,6.1929
-0.7551,0.38673,6.2254
-0.7551,0.39796,6.257
-0.7551,0.40918,6.2877
-0.7551,0.42041,6.3176
-0.7551,0.43163,6.3467
-0.7551,0.44286,6.375
-0.7551,0.45408,6.4026
-0.7551,0.46531,6.4296
-0.7551,0.47653,6.4559
-0.7551,0.48776,6.4816
-0.7551,0.49898,6.5067
-0.7551,0.5102,6.5313
-0.7551,0.52143,6.5553
-0.7551,0.53265,6.5788
-0.7551,0.54388,6.6018
-0.7551,0.5551,6.6244
-0.7551,0.56633,6.6465
-0.7551,0.57755,6.6682
-0.7551,0.58878,6.6894
-0.7551,0.6,6.7103
-0.71429,0.05,3.9793
-0.71429,0.061224,4.2022
-0.71429,0.072449,4.3875
-0.71429,0.083673,4.546
-0.71429,0.094898,4.6845
-0.71429,0.10612,4.8076
-0.71429,0.11735,4.9182
-0.71429,0.12857,5.0188
-0.71429,0.1398,5.1109
-0.71429,0.15102,5.1959
-0.71429,0.16224,5.2748
