X,Z,Y
15,0.3,6.7266
15,0.3102,6.764
15,0.32041,6.8003
15,0.33061,6.8354
15,0.34082,6.8694
15,0.35102,6.9025
15,0.36122,6.9346
15,0.37143,6.9658
15,0.38163,6.9961
15,0.39184,7.0257
15,0.40204,7.0545
15,0.41224,7.0825
15,0.42245,7.1099
15,0.43265,7.1366
15,0.44286,7.1628
15,0.45306,7.1883
15,0.46327,7.2132
15,0.47347,7.2376
15,0.48367,7.2615
15,0.49388,7.2849
15,0.50408,7.3078
15,0.51429,7.3302
15,0.52449,7.3522
15,0.53469,7.3738
15,0.5449,7.395
15,0.5551,7.4158
15,0.56531,7.4362
15,0.57551,7.4562
15,0.58571,7.4759
15,0.59592,7.4952
15,0.60612,7.5142
15,0.61633,7.5329
15,0.62653,7.5513
15,0.63673,7.5694
15,0.64694,7.5872
15,0.65714,7.6048
15,0.66735,7.622
15,0.67755,7.639
15,0.68776,7.6558
15,0.69796,7.6723
15,0.70816,7.6885
15,0.71837,7.7045
15,0.72857,7.7203
15,0.73878,7.7359
15,0.74898,7.7513
15,0.75918,7.7664
15,0.76939,7.7814
15,0.77959,7.7961
15,0.7898,7.8107
15,0.8,7.8251
15.51,0.3,6.8081
15.51,0.3102,6.8456
15.51,0.32041,6.8818
15.51,0.33061,6.917
15.51,0.34082,6.951
15.51,0.35102,6.984
15.51,0.36122,7.0161
15.51,0.37143,7.0473
15.51,0.38163,7.0777
15.51,0.39184,7.1072
15.51,0.40204,7.136
15.51,0.41224,7.1641
15.51,0.42245,7.1915
15.51,0.43265,7.2182
15.51,0.44286,7.2443
15.51,0.45306,7.2698
15.51,0.46327,7.2948
15.51,0.47347,7.3192
15.51,0.48367,7.3431
15.51,0.49388,7.3665
15.51,0.50408,7.3894
15.51,0.51429,7.4118
15.51,0.52449,7.4338
15.51,0.53469,7.4554
15.51,0.5449,7.4766
15.51,0.5551,7.4973
15.51,0.56531,7.5177
15.51,0.57551,7.5378
15.51,0.58571,7.5575
15.51,0.59592,7.5768
15.51,0.60612,7.5958
15.51,0.61633,7.6145
15.51,0.62653,7.6329
15.51,0.63673,7.651
15.51,0.64694,7.6688
15.51,0.65714,7.6863
15.51,0.66735,7.7036
15.51,0.67755,7.7206
15.51,0.68776,7.7373
15.51,0.69796,7.7538
15.51,0.70816,7.7701
15.51,0.71837,7.7861
15.51,0.72857,7.8019
15.51,0.73878,7.8175
15.51,0.74898,7.8329
15.51,0.75918,7.848
15.51,0.76939,7.863
15.51,0.77959,7.8777
15.51,0.7898,7.8923
15.51,0.8,7.9067
16.02,0.3,6.8871
16.02,0.3102,6.9245
16.02,0.32041,6.9608
16.02,0.33061,6.9959
16.02,0.34082,7.0299
16.02,0.35102,7.063
16.02,0.36122,7.0951
16.02,0.37143,7.1263
16.02,0.38163,7.1566
16.02,0.39184,7.1862
16.02,0.40204,7.215
